region,country,quarter,inflationLogarithm
Central America,Belize,1970q1,
Central America,Belize,1970q2,
Central America,Belize,1970q3,
Central America,Belize,1970q4,
Central America,Belize,1971q1,
Central America,Belize,1971q2,
Central America,Belize,1971q3,
Central America,Belize,1971q4,
Central America,Belize,1972q1,
Central America,Belize,1972q2,
Central America,Belize,1972q3,
Central America,Belize,1972q4,
Central America,Belize,1973q1,
Central America,Belize,1973q2,
Central America,Belize,1973q3,
Central America,Belize,1973q4,
Central America,Belize,1974q1,
Central America,Belize,1974q2,
Central America,Belize,1974q3,
Central America,Belize,1974q4,
Central America,Belize,1975q1,
Central America,Belize,1975q2,
Central America,Belize,1975q3,
Central America,Belize,1975q4,
Central America,Belize,1976q1,
Central America,Belize,1976q2,
Central America,Belize,1976q3,
Central America,Belize,1976q4,
Central America,Belize,1977q1,
Central America,Belize,1977q2,
Central America,Belize,1977q3,
Central America,Belize,1977q4,
Central America,Belize,1978q1,
Central America,Belize,1978q2,
Central America,Belize,1978q3,
Central America,Belize,1978q4,
Central America,Belize,1979q1,
Central America,Belize,1979q2,
Central America,Belize,1979q3,
Central America,Belize,1979q4,
Central America,Belize,1980q1,
Central America,Belize,1980q2,
Central America,Belize,1980q3,
Central America,Belize,1980q4,0.085286908
Central America,Belize,1981q1,
Central America,Belize,1981q2,
Central America,Belize,1981q3,
Central America,Belize,1981q4,
Central America,Belize,1982q1,
Central America,Belize,1982q2,
Central America,Belize,1982q3,
Central America,Belize,1982q4,
Central America,Belize,1983q1,
Central America,Belize,1983q2,0.002600566
Central America,Belize,1983q3,0.002596679
Central America,Belize,1983q4,0.038491484
Central America,Belize,1984q1,-0.043688726
Central America,Belize,1984q2,0.053810697
Central America,Belize,1984q3,0.028776381
Central America,Belize,1984q4,0.060959864
Central America,Belize,1985q1,0.011853824
Central America,Belize,1985q2,0.039708655
Central America,Belize,1985q3,-0.009842395
Central America,Belize,1985q4,-0.017858068
Central America,Belize,1986q1,0.009943804
Central America,Belize,1986q2,-0.009943806
Central America,Belize,1986q3,0.037487406
Central America,Belize,1986q4,0.003899391
Central America,Belize,1987q1,-0.003899391
Central America,Belize,1987q2,0.003899391
Central America,Belize,1987q3,0.030883975
Central America,Belize,1987q4,0.003822175
Central America,Belize,1988q1,0.013311774
Central America,Belize,1988q2,0.013210542
Central America,Belize,1988q3,0.014975765
Central America,Belize,1988q4,0.014847766
Central America,Belize,1989q1,-0.00555305
Central America,Belize,1989q2,0.009245247
Central America,Belize,1989q3,0.020167992
Central America,Belize,1989q4,0.012713331
Central America,Belize,1990q1,0.005420216
Central America,Belize,1990q2,0.008996281
Central America,Belize,1990q3,0.016076826
Central America,Belize,1990q4,0.040421743
Central America,Belize,1991q1,-0.046649121
Central America,Belize,1991q2,0.010564866
Central America,Belize,1991q3,0.022185056
Central America,Belize,1991q4,0.001345803
Central America,Belize,1992q1,0.013964663
Central America,Belize,1992q2,0.009475839
Central America,Belize,1992q3,0.009967593
Central America,Belize,1992q4,0.001543635
Central America,Belize,1993q1,0.005562864
Central America,Belize,1993q2,0.003719335
Central America,Belize,1993q3,0.003949714
Central America,Belize,1993q4,0.026108708
Central America,Belize,1994q1,0.005330516
Central America,Belize,1994q2,0.016229101
Central America,Belize,1994q3,0.00625843
Central America,Belize,1994q4,0.003896503
Central America,Belize,1995q1,0.014436937
Central America,Belize,1995q2,0.016079511
Central America,Belize,1995q3,0.014636514
Central America,Belize,1995q4,0.021934019
Central America,Belize,1996q1,0.067057662
Central America,Belize,1996q2,0.000496713
Central America,Belize,1996q3,0.007834717
Central America,Belize,1996q4,0.006445353
Central America,Belize,1997q1,0.004403861
Central America,Belize,1997q2,0.010393513
Central America,Belize,1997q3,-0.005626185
Central America,Belize,1997q4,0.006361539
Central America,Belize,1998q1,0.00378342
Central America,Belize,1998q2,0.028050765
Central America,Belize,1998q3,0.009482441
Central America,Belize,1998q4,0.014030173
Central America,Belize,1999q1,0.010566801
Central America,Belize,1999q2,0.003867791
Central America,Belize,1999q3,0.011203999
Central America,Belize,1999q4,0.01467686
Central America,Belize,2000q1,0.015456811
Central America,Belize,2000q2,0.013895112
Central America,Belize,2000q3,0.013359236
Central America,Belize,2000q4,0.009340597
Central America,Belize,2001q1,0.003192941
Central America,Belize,2001q2,0.036724441
Central America,Belize,2001q3,0.026026754
Central America,Belize,2001q4,0.004962435
Central America,Belize,2002q1,0.017654128
Central America,Belize,2002q2,0.020832626
Central America,Belize,2002q3,0.039918404
Central America,Belize,2002q4,-0.027777225
Central America,Belize,2003q1,0.011278978
Central America,Belize,2003q2,0.01732666
Central America,Belize,2003q3,0.0039836
Central America,Belize,2003q4,0.036875404
Central America,Belize,2004q1,0.022019697
Central America,Belize,2004q2,0.053495534
Central America,Belize,2004q3,0.04606431
Central America,Belize,2004q4,-0.046821713
Central America,Belize,2005q1,-0.027696872
Central America,Belize,2005q2,-0.002210413
Central America,Belize,2005q3,0.01346366
Central America,Belize,2005q4,0.009500557
Central America,Belize,2006q1,
Central America,Belize,2006q2,0.021245753
Central America,Belize,2006q3,0.04058205
Central America,Belize,2006q4,-0.02816776
Central America,Belize,2007q1,0.011076624
Central America,Belize,2007q2,0.017091136
Central America,Belize,2007q3,0.004852456
Central America,Belize,2007q4,0.035967704
Central America,Belize,2008q1,0.022400297
Central America,Belize,2008q2,0.053065341
Central America,Belize,2008q3,0.045968667
Central America,Belize,2008q4,-0.04596867
Central America,Belize,2009q1,-0.027483942
Central America,Belize,2009q2,-0.002310077
Central America,Belize,2009q3,0.012667578
Central America,Belize,2009q4,0.010296113
Central America,Belize,2010q1,0.002634084
Central America,Belize,2010q2,0.004253082
Central America,Belize,2010q3,-0.007689087
Central America,Belize,2010q4,0.000652663
Central America,Belize,2011q1,0.017614678
Central America,Belize,2011q2,0.005241694
Central America,Belize,2011q3,0.015010221
Central America,Belize,2011q4,0.003295499
Central America,Belize,2012q1,0.00716242
Central America,Belize,2012q2,0.005788874
Central America,Belize,2012q3,-0.001451208
Central America,Belize,2012q4,0.001634246
Central America,Belize,2013q1,-0.001437252
Central America,Belize,2013q2,0.000564244
Central America,Belize,2013q3,0.009170856
Central America,Belize,2013q4,0.013163869
Central America,Belize,2014q1,0.005837457
Central America,Belize,2014q2,-0.000617159
Central America,Belize,2014q3,0.002266898
Central America,Belize,2014q4,-0.001347095
Central America,Belize,2015q1,-0.017919846
Central America,Belize,2015q2,0.001723949
Central America,Belize,2015q3,0.004264603
Central America,Belize,2015q4,-0.002030503
Central America,Belize,2016q1,0.000142955
Central America,Belize,2016q2,0.009542696
Central America,Belize,2016q3,0.004223199
Central America,Belize,2016q4,0.004094753
Central America,Belize,2017q1,0.013384761
Central America,Belize,2017q2,-0.00136261
Central America,Belize,2017q3,-0.00471226
Central America,Belize,2017q4,0.009031293
Central America,Belize,2018q1,-0.004487456
Central America,Belize,2018q2,0.002433196
Central America,Belize,2018q3,0.00739558
Central America,Belize,2018q4,-0.001718988
Central America,Belize,2019q1,-0.002452526
Central America,Belize,2019q2,0.003129206
Central America,Belize,2019q3,0.001257324
Central America,Belize,2019q4,-0.001157257
Central America,Belize,2020q1,0.001589833
Central America,Belize,2020q2,-0.000868773
Central America,Belize,2020q3,0.003366161
Central America,Belize,2020q4,-0.004224213
Central America,Belize,2021q1,0.023844069
Central America,Belize,2021q2,0.023948858
Central America,Belize,2021q3,0.018895121
Central America,Belize,2021q4,0.022408934
Central America,Belize,2022q1,0.015838897
Central America,Belize,2022q2,0.050180227
Central America,Belize,2022q3,0.033466555
Central America,Belize,2022q4,0.012307488
Central America,Belize,2023q1,0.010421576
Central America,Belize,2023q2,0.008061474
Central America,Belize,2023q3,0.028356167
Central America,Belize,2023q4,0.022857934
Central America,Costa Rica,1970q1,
Central America,Costa Rica,1970q2,0.009028634
Central America,Costa Rica,1970q3,0.017405396
Central America,Costa Rica,1970q4,0.018348487
Central America,Costa Rica,1971q1,0.019661238
Central America,Costa Rica,1971q2,-0.000200528
Central America,Costa Rica,1971q3,0.008552001
Central America,Costa Rica,1971q4,0.01717633
Central America,Costa Rica,1972q1,0.002961352
Central America,Costa Rica,1972q2,0.039202627
Central America,Costa Rica,1972q3,0.050977662
Central America,Costa Rica,1972q4,0.010967806
Central America,Costa Rica,1973q1,
Central America,Costa Rica,1973q2,
Central America,Costa Rica,1973q3,
Central America,Costa Rica,1973q4,
Central America,Costa Rica,1974q1,
Central America,Costa Rica,1974q2,
Central America,Costa Rica,1974q3,
Central America,Costa Rica,1974q4,
Central America,Costa Rica,1975q1,0.103930555
Central America,Costa Rica,1975q2,0.089826018
Central America,Costa Rica,1975q3,0.092147537
Central America,Costa Rica,1975q4,0.046197508
Central America,Costa Rica,1976q1,-0.063285835
Central America,Costa Rica,1976q2,0.018566381
Central America,Costa Rica,1976q3,0.020804776
Central America,Costa Rica,1976q4,-0.008536519
Central America,Costa Rica,1977q1,0.023073656
Central America,Costa Rica,1977q2,0.041718114
Central America,Costa Rica,1977q3,0.015243643
Central America,Costa Rica,1977q4,0.002333349
Central America,Costa Rica,1978q1,0.027758429
Central America,Costa Rica,1978q2,0.044182323
Central America,Costa Rica,1978q3,0.02664095
Central America,Costa Rica,1978q4,0.028407317
Central America,Costa Rica,1979q1,0.031146528
Central America,Costa Rica,1979q2,0.037903566
Central America,Costa Rica,1979q3,0.050296996
Central America,Costa Rica,1979q4,0.085864954
Central America,Costa Rica,1980q1,0.091895916
Central America,Costa Rica,1980q2,0.070695847
Central America,Costa Rica,1980q3,0.057781905
Central America,Costa Rica,1980q4,0.065750152
Central America,Costa Rica,1981q1,0.151630595
Central America,Costa Rica,1981q2,0.159367859
Central America,Costa Rica,1981q3,0.194871157
Central America,Costa Rica,1981q4,0.274401695
Central America,Costa Rica,1982q1,0.358098537
Central America,Costa Rica,1982q2,0.253673583
Central America,Costa Rica,1982q3,0.349400133
Central America,Costa Rica,1982q4,0.162680119
Central America,Costa Rica,1983q1,0.095317192
Central America,Costa Rica,1983q2,0.077310488
Central America,Costa Rica,1983q3,-0.010658327
Central America,Costa Rica,1983q4,0.02933784
Central America,Costa Rica,1984q1,0.061482441
Central America,Costa Rica,1984q2,0.06370791
Central America,Costa Rica,1984q3,0.056396663
Central America,Costa Rica,1984q4,0.085291885
Central America,Costa Rica,1985q1,0.092864767
Central America,Costa Rica,1985q2,0.017401585
Central America,Costa Rica,1985q3,0.042564299
Central America,Costa Rica,1985q4,0.038356561
Central America,Costa Rica,1986q1,0.038262922
Central America,Costa Rica,1986q2,0.049085811
Central America,Costa Rica,1986q3,0.103476323
Central America,Costa Rica,1986q4,0.046814505
Central America,Costa Rica,1987q1,0.085957922
Central America,Costa Rica,1987q2,0.071164466
Central America,Costa Rica,1987q3,0.030700063
Central America,Costa Rica,1987q4,0.069309011
Central America,Costa Rica,1988q1,0.118741319
Central America,Costa Rica,1988q2,0.087970667
Central America,Costa Rica,1988q3,0.057600822
Central America,Costa Rica,1988q4,0.114433579
Central America,Costa Rica,1989q1,0.070124328
Central America,Costa Rica,1989q2,0.027383266
Central America,Costa Rica,1989q3,0.054441564
Central America,Costa Rica,1989q4,0.051070005
Central America,Costa Rica,1990q1,0.081240691
Central America,Costa Rica,1990q2,0.086166486
Central America,Costa Rica,1990q3,0.108761929
Central America,Costa Rica,1990q4,0.108598538
Central America,Costa Rica,1991q1,0.131507188
Central America,Costa Rica,1991q2,0.111650303
Central America,Costa Rica,1991q3,0.096534722
Central America,Costa Rica,1991q4,0.072520636
Central America,Costa Rica,1992q1,0.127132028
Central America,Costa Rica,1992q2,0.077726454
Central America,Costa Rica,1992q3,0.038291104
Central America,Costa Rica,1992q4,0.03828026
Central America,Costa Rica,1993q1,0.033463135
Central America,Costa Rica,1993q2,0.04330869
Central America,Costa Rica,1993q3,0.04200156
Central America,Costa Rica,1993q4,0.032815371
Central America,Costa Rica,1994q1,0.052948903
Central America,Costa Rica,1994q2,0.063715041
Central America,Costa Rica,1994q3,0.075912736
Central America,Costa Rica,1994q4,0.094939545
Central America,Costa Rica,1995q1,0.136655033
Central America,Costa Rica,1995q2,0.046594288
Central America,Costa Rica,1995q3,0.07475283
Central America,Costa Rica,1995q4,0.11253532
Central America,Costa Rica,1996q1,0.063549519
Central America,Costa Rica,1996q2,0.052625183
Central America,Costa Rica,1996q3,0.061694037
Central America,Costa Rica,1996q4,0.056423742
Central America,Costa Rica,1997q1,0.067244194
Central America,Costa Rica,1997q2,0.04968344
Central America,Costa Rica,1997q3,0.037353586
Central America,Costa Rica,1997q4,0.029052509
Central America,Costa Rica,1998q1,0.064554855
Central America,Costa Rica,1998q2,0.045191579
Central America,Costa Rica,1998q3,0.063850872
Central America,Costa Rica,1998q4,0.031983308
Central America,Costa Rica,1999q1,0.053362772
Central America,Costa Rica,1999q2,0.019447466
Central America,Costa Rica,1999q3,0.035616197
Central America,Costa Rica,1999q4,0.054716188
Central America,Costa Rica,2000q1,0.071656212
Central America,Costa Rica,2000q2,0.016931249
Central America,Costa Rica,2000q3,0.04764254
Central America,Costa Rica,2000q4,0.035448376
Central America,Costa Rica,2001q1,0.065359481
Central America,Costa Rica,2001q2,0.057344805
Central America,Costa Rica,2001q3,0.030379737
Central America,Costa Rica,2001q4,0.028036291
Central America,Costa Rica,2002q1,0.046709213
Central America,Costa Rica,2002q2,0.025558382
Central America,Costa Rica,2002q3,0.052207276
Central America,Costa Rica,2002q4,0.039097168
Central America,Costa Rica,2003q1,0.039023966
Central America,Costa Rica,2003q2,0.038720939
Central America,Costa Rica,2003q3,0.030161316
Central America,Costa Rica,2003q4,0.047730621
Central America,Costa Rica,2004q1,0.069407478
Central America,Costa Rica,2004q2,0.042450689
Central America,Costa Rica,2004q3,0.054155521
Central America,Costa Rica,2004q4,0.050036881
Central America,Costa Rica,2005q1,0.071941264
Central America,Costa Rica,2005q2,0.050897393
Central America,Costa Rica,2005q3,0.05064892
Central America,Costa Rica,2005q4,0.05516196
Central America,Costa Rica,2006q1,0.052347567
Central America,Costa Rica,2006q2,0.038291376
Central America,Costa Rica,2006q3,0.045239978
Central America,Costa Rica,2006q4,0.024073342
Central America,Costa Rica,2007q1,0.042245053
Central America,Costa Rica,2007q2,0.041677915
Central America,Costa Rica,2007q3,0.040372394
Central America,Costa Rica,2007q4,0.045216095
Central America,Costa Rica,2008q1,0.054022867
Central America,Costa Rica,2008q2,0.055574074
Central America,Costa Rica,2008q3,0.089726411
Central America,Costa Rica,2008q4,0.050845195
Central America,Costa Rica,2009q1,0.0139202
Central America,Costa Rica,2009q2,0.007974855
Central America,Costa Rica,2009q3,0.025320755
Central America,Costa Rica,2009q4,0.013130551
Central America,Costa Rica,2010q1,0.048157483
Central America,Costa Rica,2010q2,0.015164887
Central America,Costa Rica,2010q3,0.013178519
Central America,Costa Rica,2010q4,0.020298272
Central America,Costa Rica,2011q1,0.030537182
Central America,Costa Rica,2011q2,0.019122012
Central America,Costa Rica,2011q3,0.018211121
Central America,Costa Rica,2011q4,0.012555392
Central America,Costa Rica,2012q1,0.020885553
Central America,Costa Rica,2012q2,0.029547853
Central America,Costa Rica,2012q3,0.008741084
Central America,Costa Rica,2012q4,0.02254211
Central America,Costa Rica,2013q1,0.042900264
Central America,Costa Rica,2013q2,0.020044127
Central America,Costa Rica,2013q3,0.00747852
Central America,Costa Rica,2013q4,-0.006600874
Central America,Costa Rica,2014q1,0.031001288
Central America,Costa Rica,2014q2,0.038918991
Central America,Costa Rica,2014q3,0.026254794
Central America,Costa Rica,2014q4,-0.002002232
Central America,Costa Rica,2015q1,-0.000887175
Central America,Costa Rica,2015q2,-0.00152725
