region,country,year,age,percentage
Latin America,Regional aggregate,2024,65,9.764257431
Latin America,Regional aggregate,2024,80,1.842909694
Latin America,Regional aggregate,2050,65,18.94295311
Latin America,Regional aggregate,2050,80,5.041827679
Latin America,Regional aggregate,2100,65,32.01252365
Latin America,Regional aggregate,2100,80,13.79332352
Latin America,Argentina,2024,65,12.41600439
Latin America,Argentina,2024,80,2.912752517
Latin America,Argentina,2050,65,19.9461922
Latin America,Argentina,2050,80,5.343097821
Latin America,Argentina,2100,65,34.35578346
Latin America,Argentina,2100,80,16.74259305
Latin America,Belize,2024,65,5.023833364
Latin America,Belize,2024,80,0.729250629
Latin America,Belize,2050,65,12.87679523
Latin America,Belize,2050,80,2.505966462
Latin America,Belize,2100,65,32.37377107
Latin America,Belize,2100,80,12.56222427
Latin America,Bolivia,2024,65,5.641474575
Latin America,Bolivia,2024,80,0.966043305
Latin America,Bolivia,2050,65,9.829247743
Latin America,Bolivia,2050,80,1.70114357
Latin America,Bolivia,2100,65,21.21369839
Latin America,Bolivia,2100,80,6.066206843
Latin America,Brazil,2024,65,11.04918569
Latin America,Brazil,2024,80,1.963495836
Latin America,Brazil,2050,65,22.50401378
Latin America,Brazil,2050,80,6.052988023
Latin America,Brazil,2100,65,33.55928361
Latin America,Brazil,2100,80,14.67191726
Latin America,Chile,2024,65,14.13508654
Latin America,Chile,2024,80,3.265405819
Latin America,Chile,2050,65,26.67108774
Latin America,Chile,2050,80,9.200174361
Latin America,Chile,2100,65,42.07417369
Latin America,Chile,2100,80,22.97657579
Latin America,Colombia,2024,65,9.778435528
Latin America,Colombia,2024,80,1.571603678
Latin America,Colombia,2050,65,20.58232576
Latin America,Colombia,2050,80,5.815299228
Latin America,Colombia,2100,65,35.4031235
Latin America,Colombia,2100,80,15.82638472
Latin America,Costa Rica,2024,65,12.22515628
Latin America,Costa Rica,2024,80,2.595103905
Latin America,Costa Rica,2050,65,25.2791822
Latin America,Costa Rica,2050,80,8.419600129
Latin America,Costa Rica,2100,65,40.51097631
Latin America,Costa Rica,2100,80,21.86023295
Latin America,Ecuador,2024,65,8.343998343
Latin America,Ecuador,2024,80,1.580054685
Latin America,Ecuador,2050,65,17.24352092
Latin America,Ecuador,2050,80,4.337567091
Latin America,Ecuador,2100,65,32.95321763
Latin America,Ecuador,2100,80,14.65076953
Latin America,El Salvador,2024,65,8.148616552
Latin America,El Salvador,2024,80,1.572443359
Latin America,El Salvador,2050,65,14.68013972
Latin America,El Salvador,2050,80,3.523769975
Latin America,El Salvador,2100,65,32.85246789
Latin America,El Salvador,2100,80,13.45859915
Latin America,Guatemala,2024,65,4.849334806
Latin America,Guatemala,2024,80,0.724358391
Latin America,Guatemala,2050,65,9.624561667
Latin America,Guatemala,2050,80,1.699375547
Latin America,Guatemala,2100,65,26.04243457
Latin America,Guatemala,2100,80,9.025081992
Latin America,Guyana,2024,65,6.734914333
Latin America,Guyana,2024,80,1.012469083
Latin America,Guyana,2050,65,11.1812897
Latin America,Guyana,2050,80,2.706178091
Latin America,Guyana,2100,65,24.12981987
Latin America,Guyana,2100,80,8.092112839
Latin America,French Guiana,2024,65,7.035315782
Latin America,French Guiana,2024,80,1.183708105
Latin America,French Guiana,2050,65,12.26944998
Latin America,French Guiana,2050,80,2.952644043
Latin America,French Guiana,2100,65,21.1577341
Latin America,French Guiana,2100,80,7.493366301
Latin America,Honduras,2024,65,4.4177223
Latin America,Honduras,2024,80,0.527249835
Latin America,Honduras,2050,65,10.18244177
Latin America,Honduras,2050,80,1.643871702
Latin America,Honduras,2100,65,25.22599399
Latin America,Honduras,2100,80,8.572651446
Latin America,Mexico,2024,65,8.248569816
Latin America,Mexico,2024,80,1.568324864
Latin America,Mexico,2050,65,16.95580781
Latin America,Mexico,2050,80,4.369723052
Latin America,Mexico,2100,65,31.8559587
Latin America,Mexico,2100,80,13.5358125
Latin America,Nicaragua,2024,65,5.533585325
Latin America,Nicaragua,2024,80,0.889390614
Latin America,Nicaragua,2050,65,12.83286214
Latin America,Nicaragua,2050,80,2.555413544
Latin America,Nicaragua,2100,65,28.93755138
