sdgNumber,sdgName,goal,region,trendMovingAwayFromGoal,correctTrendButProgressTooSlow,goalAchievedOrLikelyToAchieve,insufficientData
1,End poverty,1.1,Latin America and the Caribbean,1,,,
1,End poverty,1.2,Latin America and the Caribbean,,1,,
1,End poverty,1.3,Latin America and the Caribbean,1,,,
1,End poverty,1.4,Latin America and the Caribbean,,1,,
1,End poverty,1.5,Latin America and the Caribbean,,1,,
1,End poverty,1.a,Latin America and the Caribbean,,1,,
1,End poverty,1.b,Latin America and the Caribbean,,,,1
2,Ending hunger,2.1,Latin America and the Caribbean,1,,,
2,Ending hunger,2.2,Latin America and the Caribbean,,1,,
2,Ending hunger,2.3,Latin America and the Caribbean,,,,1
2,Ending hunger,2.4,Latin America and the Caribbean,1,,,
2,Ending hunger,2.5,Latin America and the Caribbean,,1,,
2,Ending hunger,2.a,Latin America and the Caribbean,1,,,
2,Ending hunger,2.b,Latin America and the Caribbean,,,1,
2,Ending hunger,2.c,Latin America and the Caribbean,,1,,
3,Health and well-being,3.1,Latin America and the Caribbean,,1,,
3,Health and well-being,3.2,Latin America and the Caribbean,,,1,
3,Health and well-being,3.3,Latin America and the Caribbean,,1,,
3,Health and well-being,3.4,Latin America and the Caribbean,1,,,
3,Health and well-being,3.5,Latin America and the Caribbean,,,1,
3,Health and well-being,3.6,Latin America and the Caribbean,,1,,
3,Health and well-being,3.7,Latin America and the Caribbean,,1,,
3,Health and well-being,3.8,Latin America and the Caribbean,1,,,
3,Health and well-being,3.9,Latin America and the Caribbean,,,1,
3,Health and well-being,3.a,Latin America and the Caribbean,,,,
3,Health and well-being,3.b,Latin America and the Caribbean,1,,,
3,Health and well-being,3.c,Latin America and the Caribbean,,,1,
3,Health and well-being,3.d,Latin America and the Caribbean,1,,,
4,Quality education,4.1,Latin America and the Caribbean,1,,,
4,Quality education,4.2,Latin America and the Caribbean,,1,,
4,Quality education,4.3,Latin America and the Caribbean,,,1,
4,Quality education,4.4,Latin America and the Caribbean,,,,1
4,Quality education,4.5,Latin America and the Caribbean,,,1,
4,Quality education,4.6,Latin America and the Caribbean,,1,,
4,Quality education,4.7,Latin America and the Caribbean,,,,1
4,Quality education,4.a,Latin America and the Caribbean,,1,,
4,Quality education,4.b,Latin America and the Caribbean,1,,,
4,Quality education,4.c,Latin America and the Caribbean,,1,,
5,Gender equality,5.1,Latin America and the Caribbean,,,,1
5,Gender equality,5.2,Latin America and the Caribbean,,1,,
5,Gender equality,5.3,Latin America and the Caribbean,,1,,
5,Gender equality,5.4,Latin America and the Caribbean,,1,,
5,Gender equality,5.5,Latin America and the Caribbean,,1,,
5,Gender equality,5.6,Latin America and the Caribbean,,,,1
5,Gender equality,5.a,Latin America and the Caribbean,,,,1
