region,country,dstIndex,digitalServices,cyberIndex,aiReadiness,techInvestment,logisticIndex,connectivityIndex,ictImports
LAC,Argentina,0.660,0.640,0.501,0.349,0.349,0.560,0.668,0.197
OECD,Australia,0.939,0.709,0.975,0.754,0.512,0.740,0.906,0.204
OECD,Austria,0.798,0.745,0.939,0.707,0.537,0.800,0.868,0.176
OECD,Belgium,0.838,0.794,0.963,0.588,0.456,0.800,0.834,0.114
LAC,Belize,0.000,,0.103,0.448,0.235,0.000,0.603,0.096
LAC,Bolivia,0.758,0.314,0.161,0.422,0.066,0.480,0.593,0.085
LAC,Brazil,0.777,0.707,0.966,0.401,0.284,0.640,0.762,0.226
ASEAN,Brunei,0.768,,0.561,0.938,0.703,0.000,0.712,0.088
ASEAN,Cambodia,0.595,0.410,0.191,0.000,0.311,0.480,0.546,0.050
OECD,Canada,1.000,0.817,0.977,0.774,0.742,0.800,0.855,0.176
LAC,Chile,0.737,0.491,0.688,0.358,0.381,0.600,0.761,0.128
,China,0.692,0.883,0.925,0.432,1.000,0.740,0.807,0.000
LAC,Colombia,0.701,0.551,0.637,0.425,0.379,0.580,0.678,0.152
LAC,Costa Rica,0.957,0.595,0.675,0.363,0.343,0.580,0.706,0.197
OECD,Czech Republic,0.837,0.692,0.744,0.663,0.492,0.660,0.823,0.411
OECD,Denmark,0.896,0.739,0.926,0.886,0.456,0.820,0.909,0.196
LAC,Dominican Rep.,0.960,0.468,0.751,0.303,0.315,0.520,0.635,0.101
LAC,Ecuador,0.957,0.396,0.263,0.198,0.217,0.000,0.652,0.114
LAC,El Salvador,,0.488,0.133,0.203,0.059,0.540,0.571,0.000
OECD,Estonia,0.917,0.558,0.995,0.866,0.519,0.720,0.844,0.151
OECD,Finland,0.877,0.759,0.958,0.803,0.831,0.840,0.905,0.188
OECD,France,0.877,0.860,0.976,0.720,0.748,0.780,0.846,0.164
OECD,Germany,0.877,0.912,0.974,0.697,0.734,0.820,0.860,0.249
OECD,Greece,0.816,0.626,0.940,0.739,0.178,0.740,0.785,0.106
LAC,Guatemala,0.895,,0.131,0.163,0.089,0.520,0.550,0.092
LAC,Guyana,,,0.281,0.374,0.368,0.480,0.556,0.070
LAC,Honduras,,0.364,0.022,0.343,0.022,0.580,0.513,0.088
OECD,Hungary,0.834,0.654,0.913,0.600,0.465,0.640,0.817,0.362
OECD,Iceland,0.733,0.502,0.798,0.906,0.469,0.720,0.866,0.170
ASEAN,Indonesia,0.693,0.642,0.949,0.427,0.604,0.600,0.679,0.178
OECD,Ireland,0.856,0.923,0.859,0.721,0.578,0.720,0.889,0.355
