region,buildings,energy,industry,transport,agriculture,utcuts,total,population,populationShare
North America,668.5472623,2646.351884,1159.013996,2035.510133,515.5173419,51.5303128,7076.470929,371.9679102,4.791611195
Eastern Europe and central-western Asia,303.4573039,1845.412388,872.6615782,365.1898127,285.8759697,57.01665205,3729.613705,301.1427268,3.879256248
"Australia, Japan and New Zealand",124.6762518,817.5824149,446.698348,327.1770118,208.714803,-29.56753957,1895.28129,156.1078838,2.01094842
Middle East,169.168592,1731.809159,796.1429155,433.3918946,77.57331612,2.37910848,3210.464986,268.155261,3.454318762
East Asia,738.3018562,6812.334686,5771.491328,1169.131206,961.0650033,166.7680103,15619.09209,1534.59321,19.76830292
Latin America and the Caribbean,112.7640855,784.1223703,957.5528487,626.6054086,1213.167203,1530.462009,5224.673925,646.7345997,8.331096649
Europe,640.6598916,1474.155468,1250.635288,1100.13413,543.51477,-153.8375223,4855.262025,618.191672,7.963413239
Southeast Asia and Pacific,106.1584059,1141.462857,791.1134725,422.4522418,618.9476978,1634.99312,4715.127795,676.8590299,8.719153404
Africa,219.3672753,1176.521181,650.7189865,395.7926585,875.5985644,1274.527725,4592.526391,1327.701153,17.10316277
Southern Asia,225.6370523,1522.888203,1318.661978,438.9725783,1179.716725,52.28890736,4738.165443,1861.445123,23.97873878
