region,period,sector,ghgEmissionsVariationAnnualized
Latin America and the Caribbean,1990-1999,ASOUT,3.150114775
Latin America and the Caribbean,2000-2009,ASOUT,-0.37498033
Latin America and the Caribbean,2010-2019,ASOUT,-1.080895901
Latin America and the Caribbean,1990-1999,FFI,2.956233263
Latin America and the Caribbean,2000-2009,FFI,1.861494184
Latin America and the Caribbean,2010-2019,FFI,0.460330665
Latin America and the Caribbean,1990-1999,Total,3.083995104
Latin America and the Caribbean,2000-2009,Total,0.47426787
Latin America and the Caribbean,2010-2019,Total,-0.383818418
Latin America,1990-1999,ASOUT,3.231691599
Latin America,2000-2009,ASOUT,-0.331060529
Latin America,2010-2019,ASOUT,-1.076005459
Latin America,1990-1999,FFI,3.065881968
Latin America,2000-2009,FFI,1.80706656
Latin America,2010-2019,FFI,0.507297993
Latin America,1990-1999,Total,3.176950693
Latin America,2000-2009,Total,0.455059201
Latin America,2010-2019,Total,-0.381629974
Caribbean,1990-1999,ASOUT,-1.590640664
Caribbean,2000-2009,ASOUT,-4.179039478
Caribbean,2010-2019,ASOUT,-1.676388502
Caribbean,1990-1999,FFI,1.351010561
Caribbean,2000-2009,FFI,2.696906805
Caribbean,2010-2019,FFI,-0.253078014
Caribbean,1990-1999,Total,0.360542178
Caribbean,2000-2009,Total,1.084304571
Caribbean,2010-2019,Total,-0.449209183
