service,zone,region,country,year,percentage
Potable water,Rural,Central America,Belize,2000,81.48888278
Potable water,Rural,Central America,Belize,2022,95.91039904
Potable water,Urban,Central America,Belize,2000,89.00257513
Potable water,Urban,Central America,Belize,2022,98.216176
Potable water,Rural,Central America,Costa Rica,2000,87.29355177
Potable water,Rural,Central America,Costa Rica,2022,98.66547857
Potable water,Urban,Central America,Costa Rica,2000,99.15033454
Potable water,Urban,Central America,Costa Rica,2022,99.42368286
Sanitation,Rural,Central America,Costa Rica,2000,34.71374082
Sanitation,Rural,Central America,Costa Rica,2022,35.60075894
Sanitation,Urban,Central America,Costa Rica,2000,18.130431
Sanitation,Urban,Central America,Costa Rica,2022,23.10946565
Potable water,Rural,Central America,El Salvador,2000,48.69992058
Potable water,Rural,Central America,El Salvador,2022,80.93429845
Potable water,Urban,Central America,El Salvador,2000,88.70827034
Potable water,Urban,Central America,El Salvador,2022,97.023492
Sanitation,Urban,Central America,El Salvador,2000,18.44324606
Sanitation,Urban,Central America,El Salvador,2022,17.39490778
Potable water,Rural,Central America,Guatemala,2000,59.0841574
Potable water,Rural,Central America,Guatemala,2022,79.98282413
Potable water,Urban,Central America,Guatemala,2000,88.94180761
Potable water,Urban,Central America,Guatemala,2022,94.94683195
Potable water,Rural,Central America,Honduras,2000,72.08628771
Potable water,Rural,Central America,Honduras,2022,80.32108952
Potable water,Urban,Central America,Honduras,2000,93.01300864
Potable water,Urban,Central America,Honduras,2022,96.66247031
Sanitation,Rural,Central America,Honduras,2000,48.07022103
Sanitation,Rural,Central America,Honduras,2022,70.52318199
Sanitation,Urban,Central America,Honduras,2000,38.09071481
Sanitation,Urban,Central America,Honduras,2022,40.46088734
Potable water,Rural,Central America,Mexico,2000,60.22444143
Potable water,Rural,Central America,Mexico,2022,87.87378224
Potable water,Urban,Central America,Mexico,2000,89.58041994
Potable water,Urban,Central America,Mexico,2022,98.35408949
Sanitation,Urban,Central America,Mexico,2000,17.55921809
Sanitation,Urban,Central America,Mexico,2022,65.08604847
Potable water,Rural,Central America,Nicaragua,2000,26.16187099
Potable water,Rural,Central America,Nicaragua,2020,53.98626876
Potable water,Urban,Central America,Nicaragua,2000,86.31787647
Potable water,Urban,Central America,Nicaragua,2020,97.17107933
Potable water,Rural,Central America,Panama,2000,73.03440402
