country,institutionsAccessLAC,institutionsDepthLAC,institutionsEfficiencyLAC,marketsAccessLAC,marketsDepthLAC,marketsEfficiencyLAC,,institutionsAccessEUC,institutionsDepthEUC,institutionsEfficiencyEUC,marketsAccessEUC,marketsDepthEUC,marketsEfficiencyEUC
Costa Rica,0.31463968,0.145991132,-0.061589645,-0.044686148,0.020941265,-0.046932355,,-0.298809444,-0.592431655,-0.127814951,-0.629705937,-0.930496816,-0.843152001
El Salvador,0.091185348,0.205149987,-0.225261029,-0.068465558,-0.002618811,-0.084379354,,-0.533117061,-0.531585534,-0.291843111,-0.640615416,-0.95033951,-0.870966579
Guatemala,0.326784481,-0.038427249,-0.042915223,-0.090980795,-0.014738021,-0.094306337,,-0.293139741,-0.771748825,-0.077443309,-0.652792162,-0.967246281,-0.870966579
Honduras,0.119688446,0.008397715,-0.13806789,-0.104225546,0.089501382,-0.114514838,,-0.493953186,-0.706172537,-0.199973131,-0.646256084,-0.857722823,-0.870966579
México,0.187846992,0.09728659,-0.040331732,0.291860168,0.248197198,0.188991216,,-0.419611981,-0.641760721,-0.113172588,-0.23529167,-0.701956194,-0.569848046
Nicaragua,-0.046729575,-0.032336038,-0.083491176,-0.132885647,-0.029896321,-0.052695736,,-0.648121756,-0.764777102,-0.171004064,-0.663071903,-0.979039806,-0.870966579
Panamá,0.298326157,0.083812261,0.078799955,0.499981812,0.219986953,-0.026836308,,-0.285428189,-0.63945621,-0.013200892,-0.01691588,-0.725516316,-0.839837577
Argentina,0.155574872,0.024459428,-0.110480593,0.42183998,0.026438737,-0.000220946,,-0.456558168,-0.699900125,-0.195375574,-0.132554958,-0.920034794,-0.796791258
Bolivia,0.359965178,0.224590597,-0.026332969,-0.069626253,-0.032937676,-0.076391051,,-0.261223331,-0.503264636,-0.115466105,-0.648574471,-0.977023774,-0.870966579
Brasil,0.501182881,0.349845423,-0.065155919,0.331000891,0.369973543,0.834205944,,-0.114053495,-0.374202701,-0.155949893,-0.245185318,-0.572725683,0.042568535
Chile,0.223288898,0.482056548,-6.13495E-05,0.341436592,0.400974373,0.121793205,,-0.394680699,-0.243747848,-0.076917862,-0.236787329,-0.541968048,-0.674022696
Colombia,0.146210729,0.176465528,-0.050044031,0.44665286,0.201164657,0.067645862,,-0.471574021,-0.562471004,-0.130217945,-0.138301296,-0.750042508,-0.728824961
