region,country,year,age,percentage
América Latina,Agregado regional,2024,65,9.764257431
América Latina,Agregado regional,2024,80,1.842909694
América Latina,Agregado regional,2050,65,18.94295311
América Latina,Agregado regional,2050,80,5.041827679
América Latina,Agregado regional,2100,65,32.01252365
América Latina,Agregado regional,2100,80,13.79332352
América Latina,Argentina,2024,65,12.41600439
América Latina,Argentina,2024,80,2.912752517
América Latina,Argentina,2050,65,19.9461922
América Latina,Argentina,2050,80,5.343097821
América Latina,Argentina,2100,65,34.35578346
América Latina,Argentina,2100,80,16.74259305
América Latina,Belice,2024,65,5.023833364
América Latina,Belice,2024,80,0.729250629
América Latina,Belice,2050,65,12.87679523
América Latina,Belice,2050,80,2.505966462
América Latina,Belice,2100,65,32.37377107
América Latina,Belice,2100,80,12.56222427
América Latina,Bolivia,2024,65,5.641474575
América Latina,Bolivia,2024,80,0.966043305
América Latina,Bolivia,2050,65,9.829247743
América Latina,Bolivia,2050,80,1.70114357
América Latina,Bolivia,2100,65,21.21369839
América Latina,Bolivia,2100,80,6.066206843
América Latina,Brasil,2024,65,11.04918569
América Latina,Brasil,2024,80,1.963495836
América Latina,Brasil,2050,65,22.50401378
América Latina,Brasil,2050,80,6.052988023
América Latina,Brasil,2100,65,33.55928361
América Latina,Brasil,2100,80,14.67191726
América Latina,Chile,2024,65,14.13508654
América Latina,Chile,2024,80,3.265405819
América Latina,Chile,2050,65,26.67108774
América Latina,Chile,2050,80,9.200174361
América Latina,Chile,2100,65,42.07417369
América Latina,Chile,2100,80,22.97657579
América Latina,Colombia,2024,65,9.778435528
América Latina,Colombia,2024,80,1.571603678
América Latina,Colombia,2050,65,20.58232576
América Latina,Colombia,2050,80,5.815299228
América Latina,Colombia,2100,65,35.4031235
América Latina,Colombia,2100,80,15.82638472
América Latina,Costa Rica,2024,65,12.22515628
América Latina,Costa Rica,2024,80,2.595103905
América Latina,Costa Rica,2050,65,25.2791822
América Latina,Costa Rica,2050,80,8.419600129
América Latina,Costa Rica,2100,65,40.51097631
América Latina,Costa Rica,2100,80,21.86023295
América Latina,Ecuador,2024,65,8.343998343
América Latina,Ecuador,2024,80,1.580054685
América Latina,Ecuador,2050,65,17.24352092
América Latina,Ecuador,2050,80,4.337567091
América Latina,Ecuador,2100,65,32.95321763
América Latina,Ecuador,2100,80,14.65076953
América Latina,El Salvador,2024,65,8.148616552
América Latina,El Salvador,2024,80,1.572443359
América Latina,El Salvador,2050,65,14.68013972
América Latina,El Salvador,2050,80,3.523769975
América Latina,El Salvador,2100,65,32.85246789
América Latina,El Salvador,2100,80,13.45859915
América Latina,Guatemala,2024,65,4.849334806
América Latina,Guatemala,2024,80,0.724358391
América Latina,Guatemala,2050,65,9.624561667
América Latina,Guatemala,2050,80,1.699375547
América Latina,Guatemala,2100,65,26.04243457
América Latina,Guatemala,2100,80,9.025081992
América Latina,Guyana,2024,65,6.734914333
América Latina,Guyana,2024,80,1.012469083
América Latina,Guyana,2050,65,11.1812897
América Latina,Guyana,2050,80,2.706178091
América Latina,Guyana,2100,65,24.12981987
América Latina,Guyana,2100,80,8.092112839
América Latina,Guayana Francesa,2024,65,7.035315782
América Latina,Guayana Francesa,2024,80,1.183708105
América Latina,Guayana Francesa,2050,65,12.26944998
América Latina,Guayana Francesa,2050,80,2.952644043
América Latina,Guayana Francesa,2100,65,21.1577341
América Latina,Guayana Francesa,2100,80,7.493366301
América Latina,Honduras,2024,65,4.4177223
América Latina,Honduras,2024,80,0.527249835
América Latina,Honduras,2050,65,10.18244177
América Latina,Honduras,2050,80,1.643871702
