country,year,region,dependencyRate
Anguila,1950,Caribe,0.795083404
Anguila,1951,Caribe,0.812978506
Anguila,1952,Caribe,0.839958906
Anguila,1953,Caribe,0.877195895
Anguila,1954,Caribe,0.913220346
Anguila,1955,Caribe,0.951393545
Anguila,1956,Caribe,0.99293226
Anguila,1957,Caribe,1.036184788
Anguila,1958,Caribe,1.080983996
Anguila,1959,Caribe,1.131734252
Anguila,1960,Caribe,1.151255846
Anguila,1961,Caribe,1.132002831
Anguila,1962,Caribe,1.110273004
Anguila,1963,Caribe,1.091631413
Anguila,1964,Caribe,1.077431917
Anguila,1965,Caribe,1.066094279
Anguila,1966,Caribe,1.060580254
Anguila,1967,Caribe,1.061197042
Anguila,1968,Caribe,1.064096093
Anguila,1969,Caribe,1.066931725
Anguila,1970,Caribe,1.074604869
Anguila,1971,Caribe,1.085658193
Anguila,1972,Caribe,1.092483521
Anguila,1973,Caribe,1.100684285
Anguila,1974,Caribe,1.086473465
Anguila,1975,Caribe,1.046284676
Anguila,1976,Caribe,1.005382061
Anguila,1977,Caribe,0.967965007
Anguila,1978,Caribe,0.935969293
Anguila,1979,Caribe,0.910662413
Anguila,1980,Caribe,0.889845133
Anguila,1981,Caribe,0.872678339
Anguila,1982,Caribe,0.860612035
Anguila,1983,Caribe,0.85308063
Anguila,1984,Caribe,0.833061337
Anguila,1985,Caribe,0.792627931
Anguila,1986,Caribe,0.751971841
Anguila,1987,Caribe,0.718363166
Anguila,1988,Caribe,0.690194368
Anguila,1989,Caribe,0.670624614
Anguila,1990,Caribe,0.657097697
Anguila,1991,Caribe,0.645085037
Anguila,1992,Caribe,0.631607652
Anguila,1993,Caribe,0.618379593
Anguila,1994,Caribe,0.606209695
Anguila,1995,Caribe,0.592328548
Anguila,1996,Caribe,0.578718364
Anguila,1997,Caribe,0.56661576
Anguila,1998,Caribe,0.556926489
Anguila,1999,Caribe,0.549821377
Anguila,2000,Caribe,0.547455847
Anguila,2001,Caribe,0.540522397
Anguila,2002,Caribe,0.52207607
Anguila,2003,Caribe,0.49996838
Anguila,2004,Caribe,0.480856538
Anguila,2005,Caribe,0.467109263
Anguila,2006,Caribe,0.457398355
Anguila,2007,Caribe,0.451588899
Anguila,2008,Caribe,0.448990971
Anguila,2009,Caribe,0.44676742
Anguila,2010,Caribe,0.447499722
Anguila,2011,Caribe,0.444947243
Anguila,2012,Caribe,0.454871684
Anguila,2013,Caribe,0.455144435
Anguila,2014,Caribe,0.421390504
Anguila,2015,Caribe,0.397472471
Anguila,2016,Caribe,0.395420223
Anguila,2017,Caribe,0.392912328
