sdgNumber,sdgName,goal,region,trendMovingAwayFromGoal,correctTrendButProgressTooSlow,goalAchievedOrLikelyToAchieve,insufficientData
1,Fin de la pobreza,1.1,América Latina y el Caribe,1,,,
1,Fin de la pobreza,1.2,América Latina y el Caribe,,1,,
1,Fin de la pobreza,1.3,América Latina y el Caribe,1,,,
1,Fin de la pobreza,1.4,América Latina y el Caribe,,1,,
1,Fin de la pobreza,1.5,América Latina y el Caribe,,1,,
1,Fin de la pobreza,1.a,América Latina y el Caribe,,1,,
1,Fin de la pobreza,1.b,América Latina y el Caribe,,,,1
2,Poner fin al hambre,2.1,América Latina y el Caribe,1,,,
2,Poner fin al hambre,2.2,América Latina y el Caribe,,1,,
2,Poner fin al hambre,2.3,América Latina y el Caribe,,,,1
2,Poner fin al hambre,2.4,América Latina y el Caribe,1,,,
2,Poner fin al hambre,2.5,América Latina y el Caribe,,1,,
2,Poner fin al hambre,2.a,América Latina y el Caribe,1,,,
2,Poner fin al hambre,2.b,América Latina y el Caribe,,,1,
2,Poner fin al hambre,2.c,América Latina y el Caribe,,1,,
3,Salud y bienestar,3.1,América Latina y el Caribe,,1,,
3,Salud y bienestar,3.2,América Latina y el Caribe,,,1,
3,Salud y bienestar,3.3,América Latina y el Caribe,,1,,
3,Salud y bienestar,3.4,América Latina y el Caribe,1,,,
3,Salud y bienestar,3.5,América Latina y el Caribe,,,1,
3,Salud y bienestar,3.6,América Latina y el Caribe,,1,,
3,Salud y bienestar,3.7,América Latina y el Caribe,,1,,
3,Salud y bienestar,3.8,América Latina y el Caribe,1,,,
3,Salud y bienestar,3.9,América Latina y el Caribe,,,1,
3,Salud y bienestar,3.a,América Latina y el Caribe,,,,
3,Salud y bienestar,3.b,América Latina y el Caribe,1,,,
3,Salud y bienestar,3.c,América Latina y el Caribe,,,1,
3,Salud y bienestar,3.d,América Latina y el Caribe,1,,,
4,Educación de calidad,4.1,América Latina y el Caribe,1,,,
4,Educación de calidad,4.2,América Latina y el Caribe,,1,,
4,Educación de calidad,4.3,América Latina y el Caribe,,,1,
4,Educación de calidad,4.4,América Latina y el Caribe,,,,1
4,Educación de calidad,4.5,América Latina y el Caribe,,,1,
4,Educación de calidad,4.6,América Latina y el Caribe,,1,,
4,Educación de calidad,4.7,América Latina y el Caribe,,,,1
4,Educación de calidad,4.a,América Latina y el Caribe,,1,,
4,Educación de calidad,4.b,América Latina y el Caribe,1,,,
4,Educación de calidad,4.c,América Latina y el Caribe,,1,,
5,Igualdad de género,5.1,América Latina y el Caribe,,,,1
5,Igualdad de género,5.2,América Latina y el Caribe,,1,,
5,Igualdad de género,5.3,América Latina y el Caribe,,1,,
5,Igualdad de género,5.4,América Latina y el Caribe,,1,,
5,Igualdad de género,5.5,América Latina y el Caribe,,1,,
5,Igualdad de género,5.6,América Latina y el Caribe,,,,1
5,Igualdad de género,5.a,América Latina y el Caribe,,,,1
5,Igualdad de género,5.b,América Latina y el Caribe,,1,,
5,Igualdad de género,5.c,América Latina y el Caribe,,,1,
6,Agua limpia y saneamiento,6.1,América Latina y el Caribe,,1,,
6,Agua limpia y saneamiento,6.2,América Latina y el Caribe,,1,,
6,Agua limpia y saneamiento,6.3,América Latina y el Caribe,,1,,
6,Agua limpia y saneamiento,6.4,América Latina y el Caribe,1,,,
6,Agua limpia y saneamiento,6.5,América Latina y el Caribe,,1,,
6,Agua limpia y saneamiento,6.6,América Latina y el Caribe,1,,,
6,Agua limpia y saneamiento,6.a,América Latina y el Caribe,,1,,
6,Agua limpia y saneamiento,6.b,América Latina y el Caribe,1,,,
7,Energía asequible y no contaminable,7.1,América Latina y el Caribe,,1,,
7,Energía asequible y no contaminable,7.2,América Latina y el Caribe,,,1,
7,Energía asequible y no contaminable,7.3,América Latina y el Caribe,,1,,
7,Energía asequible y no contaminable,7.a,América Latina y el Caribe,1,,,
7,Energía asequible y no contaminable,7.b,América Latina y el Caribe,,,1,
8,Trabajo decente y crecimiento económico,8.1,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.2,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.3,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.4,América Latina y el Caribe,1,,,
8,Trabajo decente y crecimiento económico,8.5,América Latina y el Caribe,1,,,
8,Trabajo decente y crecimiento económico,8.6,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.7,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.8,América Latina y el Caribe,,,1,
8,Trabajo decente y crecimiento económico,8.9,América Latina y el Caribe,,,1,
8,Trabajo decente y crecimiento económico,8.10,América Latina y el Caribe,,1,,
8,Trabajo decente y crecimiento económico,8.a,América Latina y el Caribe,1,,,
8,Trabajo decente y crecimiento económico,8.b,América Latina y el Caribe,,,,1
9,"Industria, innovación e infraestructura",9.1,América Latina y el Caribe,1,,,
9,"Industria, innovación e infraestructura",9.2,América Latina y el Caribe,1,,,
9,"Industria, innovación e infraestructura",9.3,América Latina y el Caribe,,,,1
