year,latinAmericaAndCaribbean,subSaharanAfrica,northAmerica,eastAsiaAndPacific,middleEastAndNorthAfrica,southAsia,europeAndCentralAsia
1990,49.68236426,,34.82300582,38.4096741,39.54905721,30.53882612,29.22239777
1991,50.10802753,48.1455604,35.08166647,,,30.624193,29.80196331
1992,50.50825766,47.7167877,35.32115388,38.60439892,38.87689019,,30.37360879
1993,50.8722411,47.23203242,35.54202918,38.57477906,,31.14161367,30.87647336
1994,51.18784096,46.78596754,35.74704652,38.47145689,38.44505965,,31.28489357
1995,51.44675071,46.40363971,35.93738629,38.3549676,38.31438798,31.87811947,31.59953911
1996,51.64483565,46.07596322,36.11545372,38.26434546,38.21682864,32.33591655,31.83490964
1997,51.78240822,45.7760072,36.28349392,38.20364183,38.11762833,,32.01066733
1998,51.86092804,45.49481127,36.44165795,38.15931112,37.99339955,33.1513576,32.14461251
1999,51.88167416,45.238617,36.58822126,38.12205517,37.83962447,,32.24894338
2000,51.84654678,45.00774601,36.71965468,38.08508447,37.66003971,33.94799081,32.32700906
2001,51.7561368,44.79038518,36.83236781,38.04679595,37.46196007,34.29948893,32.37305184
2002,51.60932733,44.57221,36.92443539,38.00736172,37.25565974,34.45792708,32.37526708
2003,51.40311321,44.35806324,36.99725993,38.01055901,37.02403072,34.52533821,32.32748646
2004,51.14045216,44.16113203,37.0547654,37.94398241,36.80821618,34.53640856,32.24082208
2005,50.82764163,43.9965335,37.1008407,37.92170174,36.65130867,34.62433236,32.13358276
2006,50.47512581,43.8574143,37.1366545,37.91370603,36.51500072,34.77413326,32.01759417
2007,50.0881237,43.72754202,37.1643708,37.90577929,36.30778269,34.84960416,31.90214827
2008,49.67086551,43.59861544,37.18471292,37.88653454,36.07220932,,31.80074322
2009,49.23334866,43.45570714,37.19761609,37.8396303,35.81973122,34.65815083,31.7222963
2010,48.78628443,43.27045711,37.21128835,37.75757947,35.56552323,34.54717635,31.66557239
2011,48.33951832,43.03672722,37.23562594,37.64530145,35.32353379,34.33151382,31.61933895
2012,47.90952412,42.78718648,37.27336703,37.50459397,35.10573061,34.14377315,31.57355384
2013,47.50232451,42.5354305,37.32548383,37.34439414,34.91173866,33.98475314,31.52539641
2014,47.12123034,42.28322772,37.39447064,37.18191869,34.74089305,,31.471545
2015,46.76989091,42.02643364,37.48504731,37.02217195,34.58903549,33.68943158,31.41121463
2016,46.45276697,41.76618161,37.60271371,36.86370032,34.4484124,33.53634567,31.34342855
2017,46.1759,41.5087479,37.75230645,36.70719454,34.31040262,33.40017767,31.26333407
2018,45.94436528,41.26767286,37.93669282,36.55433421,34.16107136,33.28016472,31.1632938
2019,45.75950911,41.05479696,38.16017509,36.42370888,33.99208864,33.14874741,31.03524275
2020,45.62096964,40.83668141,38.4351535,36.33681296,33.79794399,32.95256975,30.8726461
2021,45.53184077,40.56056668,38.79266393,36.30611373,33.56124663,32.65474885,30.67171791
2022,45.50601305,40.24724732,,36.34857692,33.28890607,32.1989205,30.43073662
2023,45.57309553,,,36.46895128,,,
