region,period,sector,ghgEmissionsVariationAnnualized
América Latina y el Caribe,1990-1999,ASOUT,3.150114775
América Latina y el Caribe,2000-2009,ASOUT,-0.37498033
América Latina y el Caribe,2010-2019,ASOUT,-1.080895901
América Latina y el Caribe,1990-1999,CFPI,2.956233263
América Latina y el Caribe,2000-2009,CFPI,1.861494184
América Latina y el Caribe,2010-2019,CFPI,0.460330665
América Latina y el Caribe,1990-1999,Total,3.083995104
América Latina y el Caribe,2000-2009,Total,0.47426787
América Latina y el Caribe,2010-2019,Total,-0.383818418
América Latina,1990-1999,ASOUT,3.231691599
América Latina,2000-2009,ASOUT,-0.331060529
América Latina,2010-2019,ASOUT,-1.076005459
América Latina,1990-1999,CFPI,3.065881968
América Latina,2000-2009,CFPI,1.80706656
América Latina,2010-2019,CFPI,0.507297993
América Latina,1990-1999,Total,3.176950693
América Latina,2000-2009,Total,0.455059201
América Latina,2010-2019,Total,-0.381629974
Caribe,1990-1999,ASOUT,-1.590640664
Caribe,2000-2009,ASOUT,-4.179039478
Caribe,2010-2019,ASOUT,-1.676388502
Caribe,1990-1999,CFPI,1.351010561
Caribe,2000-2009,CFPI,2.696906805
Caribe,2010-2019,CFPI,-0.253078014
Caribe,1990-1999,Total,0.360542178
Caribe,2000-2009,Total,1.084304571
Caribe,2010-2019,Total,-0.449209183
