country,subregion,informalityRate,year,logGdpPerCapita,linearPrediction
República Democrática del Congo,Otros,97.344,2012,6.480500698,124.7729874
Burundi,Otros,98.305,2014,6.613924503,121.5039368
Mozambique,Otros,95.673,2015,7.172709465,107.8130188
Malaui,Otros,87.079,2013,7.359745502,103.2304001
Sierra Leona,Otros,93.11,2018,7.391451359,102.4535675
Liberia,Otros,89.649,2017,7.428390503,101.5485153
Somalia,Otros,82.487,2019,7.432626247,101.4447327
Chad,Otros,96.923,2018,7.433348179,101.4270477
Níger,Otros,98.49,2022,7.481891632,100.2376709
Madagascar,Otros,96.083,2022,7.485369682,100.1524582
Afganistán,Otros,86.395,2021,7.668033123,95.67697144
Guinea-Bisáu,Otros,94.774,2022,7.81871891,91.98498535
Lesoto,Otros,80.854,2019,7.843666553,91.37374115
Malí,Otros,95.416,2022,7.854249001,91.11445618
Etiopía,Otros,85.212,2021,7.874109268,90.62785339
Uganda,Otros,95.197,2021,7.896651745,90.07553864
Kiribati,Otros,56.147,2020,7.908979893,89.77348328
Burkina Faso,Otros,95.155,2023,7.910936356,89.72554779
Haití,Caribe,91.607,2012,7.944256783,88.9091568
Togo,Otros,92.343,2022,7.981847763,87.98812866
Tayikistán,Otros,64.575,2016,7.993185997,87.71032715
Gambia,Otros,81.594,2023,8.059120178,86.09485626
Vanuatu,Otros,72.401,2019,8.064735413,85.95728302
República Unida de Tanzania,Otros,93.319,2020,8.086898804,85.41424561
Ruanda,Otros,86.777,2023,8.120025635,84.6026001
Camerún,Otros,87.099,2014,8.127249718,84.42560577
Comoras,Otros,88.809,2021,8.139369965,84.12863922
Sudán,Otros,94.405,2022,8.169639587,83.38700104
Nepal,Otros,81.557,2017,8.183868408,83.03837585
Zimbabue,Otros,88.074,2023,8.268706322,80.95973969
Benin,Otros,96.347,2022,8.283484459,80.59765625
Zambia,Otros,83.832,2023,8.324973106,79.58113861
Nicaragua,América Central,81.789,2012,8.391915321,77.94097137
Senegal,Otros,95.1,2022,8.436566353,76.84696198
Camboya,Otros,89.405,2019,8.438358307,76.80305481
Kenia,Otros,86.489,2019,8.457550049,76.33283997
Yibuti,Otros,50.517,2017,8.464296341,76.1675415
Congo,Otros,85.278,2009,8.482177734,75.72943115
Ghana,Otros,78.051,2015,8.548677444,74.10010529
Tuvalu,Otros,20.23,2022,8.593085289,73.01205444
Pakistán,Otros,84.265,2021,8.622379303,72.29431915
Honduras,América Central,82.612,2017,8.630174637,72.10332489
Myanmar,Otros,80.96,2020,8.647745132,71.67282104
Mauritania,Otros,89.355,2019,8.651277542,71.58627319
Samoa,Otros,51.575,2022,8.709002495,70.17194366
Estado de Palestina,Otros,53.873,2022,8.725533485,69.76691437
Cabo Verde,Otros,63.819,2015,8.746016502,69.2650528
Nigeria,Otros,92.956,2023,8.75118351,69.13845825
Tonga,Otros,80.966,2018,8.764922142,68.80184174
Kirguistán,Otros,59.115,2022,8.790631294,68.17193604
Islas Marshall,Otros,33.08,2021,8.791408539,68.15289307
Timor-Leste,Otros,80.586,2021,8.849370956,66.73274231
Costa de Marfil,Otros,92.125,2022,8.88657856,65.82110596
Angola,Otros,90.254,2021,8.91116333,65.21875
Bangladés,Otros,84.91,2022,9.030581474,62.29286194
República Democrática Popular Lao,Otros,90.489,2022,9.081774712,61.03856277
Jordania,Otros,53.155,2022,9.197444916,58.20449829
India,Otros,88.759,2023,9.22776413,57.46164322
Esuatini,Otros,55.27,2021,9.230388641,57.39733887
Namibia,Otros,55.763,2018,9.264526367,56.56092072
Bolivia,América del Sur,84.471,2023,9.280519485,56.1690712
Nauru,Otros,47.967,2021,9.336094856,54.80740738
Jamaica,Caribe,54.64,2023,9.34792614,54.51752472
Fiyi,Otros,43.642,2016,9.392239571,53.4317894
Túnez,Otros,36.911,2019,9.418498993,52.78840256
El Salvador,América Central,66.495,2023,9.436862946,52.33846283
Irak,Otros,67.639,2021,9.441176414,52.23277664
Armenia,Otros,47.878,2017,9.441875458,52.21564865
Guyana,América del Sur,51.168,2019,9.502166748,50.73843765
Granada,Caribe,51.063,2020,9.511245728,50.51599503
Egipto,Otros,67.002,2019,9.518449783,50.33948517
Guatemala,América Central,83.189,2023,9.551551819,49.52844238
Sri Lanka,Otros,67.038,2022,9.559750557,49.32756424
Surinam,América del Sur,52.108,2016,9.590983391,48.56232071
Vietnam,Otros,67.661,2023,9.628678322,47.63874817
Indonesia,Otros,81.188,2023,9.655846596,46.97309494
Sudáfrica,Otros,34.013,2023,9.670762062,46.60764694
Ecuador,América del Sur,68.146,2023,9.67220211,46.57236481
Barbados,Caribe,61.974,2016,9.707402229,45.70991516
Perú,América del Sur,71.648,2023,9.724204063,45.29825211
Georgia,Otros,55.627,2020,9.728613853,45.19020462
República de Moldova,Otros,52.661,2023,9.763327599,44.3396759
Paraguay,América del Sur,66.838,2023,9.768003464,44.22511292
Mongolia,Otros,41.942,2023,9.804109573,43.34046936
Tailandia,Otros,64.982,2018,9.849143028,42.23709106
Botsuana,Otros,76.137,2023,9.872160912,41.67312622
Brasil,América del Sur,37.035,2023,9.932290077,40.19988632
Colombia,América del Sur,55.916,2023,9.978038788,39.07898712
Líbano,Otros,55.449,2019,9.98774147,38.841259
Maldivas,Otros,48.146,2019,10.01278114,38.2277565
Bosnia y Herzegovina,Otros,19.666,2023,10.03651047,37.64635849
Santa Lucía,Caribe,30.347,2022,10.06675053,36.90544128
Macedonia del Norte,Otros,9.692,2023,10.12152767,35.5633316
México,América Central,56.333,2023,10.15041065,34.8556633
Rep. Dominicana,Caribe,55.676,2023,10.15075779,34.84716034
Serbia,Otros,17.837,2023,10.21836376,33.19073105
Costa Rica,América Central,37.102,2023,10.23826122,32.70321655
Argentina,América del Sur,50.445,2023,10.28748035,31.49728775
Mauricio,Otros,33.908,2023,10.29209328,31.3842659
Seychelles,Otros,16.552,2023,10.39493561,28.86450195
Chile,América del Sur,27.355,2023,10.41284657,28.42566109
Uruguay,América del Sur,31.757,2023,10.43592358,27.86024475
Bahamas,Caribe,18.361,2019,10.44992256,27.51725388
Bulgaria,Otros,1.305,2022,10.47626114,26.87192535
Hungría,Otros,17.828,2021,10.56225014,24.76508904
Grecia,Otros,4.469,2022,10.56932735,24.59168816
Panamá,América Central,56.127,2023,10.58898258,24.11011124
Eslovaquia,Otros,3.893,2022,10.62271881,23.28353119
Letonia,Otros,1.978,2022,10.62392235,23.25404358
Croacia,Otros,1.558,2022,10.65488338,22.49546051
República de Corea,Otros,26.619,2019,10.68887329,21.66266632
Federación Rusa,Otros,17.184,2023,10.69429588,21.52980614
Turquía,Otros,27.307,2023,10.69537163,21.50344849
Portugal,Otros,4.585,2022,10.70289135,21.31920624
Polonia,Otros,9.778,2022,10.75193977,20.11745834
Reino Unido,Otros,6.512,2018,10.75982666,19.92422104
Estonia,Otros,2.61,2022,10.77774048,19.4853096
España,Otros,2.612,2022,10.7931366,19.10808563
Lituania,Otros,2.55,2022,10.83952713,17.97146034
Eslovenia,Otros,0.995,2022,10.84509277,17.83509636
Chequia,Otros,1.63,2022,10.8532505,17.63522148
Malta,Otros,0.735,2021,10.88729095,16.80118752
Chipre,Otros,2.37,2022,10.89258862,16.67138863
Italia,Otros,3.797,2022,10.93146706,15.71881962
Islandia,Otros,0.798,2018,10.95427036,15.16011047
Australia,Otros,26.105,2021,10.95790768,15.07099152
Francia,Otros,3.564,2022,10.96117401,14.99096203
Dinamarca,Otros,2.815,2019,11.01513863,13.66876221
Finlandia,Otros,2.046,2022,11.04450512,12.94924736
Alemania,Otros,2.504,2022,11.10669994,11.42539692
Noruega,Otros,1.969,2020,11.1140976,11.24414539
Suecia,Otros,3.266,2022,11.12855911,10.88982105
Bélgica,Otros,1.262,2022,11.13128757,10.82297039
Austria,Otros,1.381,2022,11.17009354,9.87217617
Países Bajos,Otros,2.445,2022,11.21911526,8.67108345
Suiza,Otros,1.066,2021,11.30962372,6.453514576
Brunei Darussalam,Otros,28.429,2023,11.36727142,5.041074753
Irlanda,Otros,1.8,2022,11.8042717,-5.665970802
Luxemburgo,Otros,1.545,2022,11.89448738,-7.876366138
Venezuela,América del Sur,58.335,2017,,
Yemen,Otros,77.407,2014,,
Islas Cook,Otros,43.467,2023,,
Wallis y Futuna,Otros,35.992,2019,,
