country,percentage,oecdHighIncomeNonLacAverage,latinAmericaAverage,caribbeanAverage
Belice,56.09999847,13.53333321,22.57500019,15.48181826
Uruguay,36.40000153,13.53333321,22.57500019,15.48181826
Bolivia,29.70000076,13.53333321,22.57500019,15.48181826
Brasil,27.89999962,13.53333321,22.57500019,15.48181826
Chile,27.20000076,13.53333321,22.57500019,15.48181826
Honduras,26.5,13.53333321,22.57500019,15.48181826
México,25.20000076,13.53333321,22.57500019,15.48181826
El Salvador,24.60000038,13.53333321,22.57500019,15.48181826
Argentina,22.79999924,13.53333321,22.57500019,15.48181826
Ecuador,21.60000038,13.53333321,22.57500019,15.48181826
Guyana,21.5,13.53333321,22.57500019,15.48181826
Venezuela,20.5,13.53333321,22.57500019,15.48181826
Paraguay,20.20000076,13.53333321,22.57500019,15.48181826
Guatemala,19.20000076,13.53333321,22.57500019,15.48181826
Colombia,17,13.53333321,22.57500019,15.48181826
Perú,16.20000076,13.53333321,22.57500019,15.48181826
Costa Rica,14.39999962,13.53333321,22.57500019,15.48181826
Surinam,13.5,13.53333321,22.57500019,15.48181826
Nicaragua,10.5,13.53333321,22.57500019,15.48181826
Panamá,0.5,13.53333321,22.57500019,15.48181826
,,,,
San Cristóbal y Nieves,30.89999962,13.53333321,22.57500019,15.48181826
Antigua y Barbuda,24.39999962,13.53333321,22.57500019,15.48181826
Santa Lucía,21.10000038,13.53333321,22.57500019,15.48181826
Granada,14.80000019,13.53333321,22.57500019,15.48181826
Bahamas,14.30000019,13.53333321,22.57500019,15.48181826
Rep. Dominicana,13.80000019,13.53333321,22.57500019,15.48181826
San Vicente y las Granadinas,12,13.53333321,22.57500019,15.48181826
Dominica,11.80000019,13.53333321,22.57500019,15.48181826
Jamaica,11.80000019,13.53333321,22.57500019,15.48181826
Trinidad y Tobago,11.60000038,13.53333321,22.57500019,15.48181826
Barbados,3.799999952,13.53333321,22.57500019,15.48181826
