country,minimumMaxSpeed,maximumMaxSpeed,maxSpeedMedian
Argentina,23.35512543,84.55825043,54.4171257
Bahamas,2.416374922,64.42312622,22.63224983
Bolivia,7.578875065,44.15812683,18.97574997
Brasil,51.00162506,128.7467499,74.85018921
Chile,62.20000076,113.3567505,92.5664978
Colombia,18.55212593,68.50912476,40.77624893
Costa Rica,28.63962555,50.61674881,46.8445015
Cuba,0.726000011,22.06437492,3.669437408
Ecuador,20.33250046,57.97000122,40.69824982
El Salvador,11.02624989,64.02487183,22.75568771
Guatemala,15.19225025,55.07762527,22.58418655
Haití,12.32975006,26.00537491,21.78706169
Honduras,8.449000359,46.43187332,23.74768829
Jamaica,20.97512436,72.19762421,45.80937576
México,31.57787514,91.80337524,52.58599854
Nicaragua,9.595624924,40.1004982,22.79375076
Panamá,19.52199936,83.87162781,55.19681168
Paraguay,14.50387478,50.42162323,33.99937439
Perú,29.65462494,59.05075073,44.94499969
Rep. Dominicana,0.455749989,38.92487335,16.39137459
Surinam,2.765125036,23.49887466,15.24993706
Trinidad y Tobago,28.14212418,60.26912689,49.30849838
Uruguay,44.37012482,79.09537506,59.75899887
Venezuela,15.77350044,63.46837616,31.50374985
