service,zone,region,country,year,percentage
Agua potable,Rural,América Central,Belice,2000,81.48888278
Agua potable,Rural,América Central,Belice,2022,95.91039904
Agua potable,Urbana,América Central,Belice,2000,89.00257513
Agua potable,Urbana,América Central,Belice,2022,98.216176
Agua potable,Rural,América Central,Costa Rica,2000,87.29355177
Agua potable,Rural,América Central,Costa Rica,2022,98.66547857
Agua potable,Urbana,América Central,Costa Rica,2000,99.15033454
Agua potable,Urbana,América Central,Costa Rica,2022,99.42368286
Saneamiento,Rural,América Central,Costa Rica,2000,34.71374082
Saneamiento,Rural,América Central,Costa Rica,2022,35.60075894
Saneamiento,Urbana,América Central,Costa Rica,2000,18.130431
Saneamiento,Urbana,América Central,Costa Rica,2022,23.10946565
Agua potable,Rural,América Central,El Salvador,2000,48.69992058
Agua potable,Rural,América Central,El Salvador,2022,80.93429845
Agua potable,Urbana,América Central,El Salvador,2000,88.70827034
Agua potable,Urbana,América Central,El Salvador,2022,97.023492
Saneamiento,Urbana,América Central,El Salvador,2000,18.44324606
Saneamiento,Urbana,América Central,El Salvador,2022,17.39490778
Agua potable,Rural,América Central,Guatemala,2000,59.0841574
Agua potable,Rural,América Central,Guatemala,2022,79.98282413
Agua potable,Urbana,América Central,Guatemala,2000,88.94180761
Agua potable,Urbana,América Central,Guatemala,2022,94.94683195
Agua potable,Rural,América Central,Honduras,2000,72.08628771
Agua potable,Rural,América Central,Honduras,2022,80.32108952
Agua potable,Urbana,América Central,Honduras,2000,93.01300864
Agua potable,Urbana,América Central,Honduras,2022,96.66247031
Saneamiento,Rural,América Central,Honduras,2000,48.07022103
Saneamiento,Rural,América Central,Honduras,2022,70.52318199
Saneamiento,Urbana,América Central,Honduras,2000,38.09071481
Saneamiento,Urbana,América Central,Honduras,2022,40.46088734
Agua potable,Rural,América Central,México,2000,60.22444143
Agua potable,Rural,América Central,México,2022,87.87378224
Agua potable,Urbana,América Central,México,2000,89.58041994
Agua potable,Urbana,América Central,México,2022,98.35408949
Saneamiento,Urbana,América Central,México,2000,17.55921809
Saneamiento,Urbana,América Central,México,2022,65.08604847
Agua potable,Rural,América Central,Nicaragua,2000,26.16187099
Agua potable,Rural,América Central,Nicaragua,2020,53.98626876
Agua potable,Urbana,América Central,Nicaragua,2000,86.31787647
Agua potable,Urbana,América Central,Nicaragua,2020,97.17107933
Agua potable,Rural,América Central,Panamá,2000,73.03440402
Agua potable,Rural,América Central,Panamá,2022,83.23462887
Agua potable,Urbana,América Central,Panamá,2000,93.19683599
Agua potable,Urbana,América Central,Panamá,2022,97.91941567
Saneamiento,Urbana,América Central,Panamá,2000,11.43488467
Saneamiento,Urbana,América Central,Panamá,2022,49.97964793
Agua potable,Rural,América del Sur,Argentina,2000,60.91738927
