region,country,quarter,inflationLogarithm
América Central,Belize,1970q1,
América Central,Belize,1970q2,
América Central,Belize,1970q3,
América Central,Belize,1970q4,
América Central,Belize,1971q1,
América Central,Belize,1971q2,
América Central,Belize,1971q3,
América Central,Belize,1971q4,
América Central,Belize,1972q1,
América Central,Belize,1972q2,
América Central,Belize,1972q3,
América Central,Belize,1972q4,
América Central,Belize,1973q1,
América Central,Belize,1973q2,
América Central,Belize,1973q3,
América Central,Belize,1973q4,
América Central,Belize,1974q1,
América Central,Belize,1974q2,
América Central,Belize,1974q3,
América Central,Belize,1974q4,
América Central,Belize,1975q1,
América Central,Belize,1975q2,
América Central,Belize,1975q3,
América Central,Belize,1975q4,
América Central,Belize,1976q1,
América Central,Belize,1976q2,
América Central,Belize,1976q3,
América Central,Belize,1976q4,
América Central,Belize,1977q1,
América Central,Belize,1977q2,
América Central,Belize,1977q3,
América Central,Belize,1977q4,
América Central,Belize,1978q1,
América Central,Belize,1978q2,
América Central,Belize,1978q3,
América Central,Belize,1978q4,
América Central,Belize,1979q1,
América Central,Belize,1979q2,
América Central,Belize,1979q3,
América Central,Belize,1979q4,
América Central,Belize,1980q1,
América Central,Belize,1980q2,
América Central,Belize,1980q3,
América Central,Belize,1980q4,0.085286908
América Central,Belize,1981q1,
América Central,Belize,1981q2,
América Central,Belize,1981q3,
América Central,Belize,1981q4,
América Central,Belize,1982q1,
América Central,Belize,1982q2,
América Central,Belize,1982q3,
América Central,Belize,1982q4,
América Central,Belize,1983q1,
América Central,Belize,1983q2,0.002600566
América Central,Belize,1983q3,0.002596679
América Central,Belize,1983q4,0.038491484
América Central,Belize,1984q1,-0.043688726
América Central,Belize,1984q2,0.053810697
América Central,Belize,1984q3,0.028776381
América Central,Belize,1984q4,0.060959864
América Central,Belize,1985q1,0.011853824
América Central,Belize,1985q2,0.039708655
América Central,Belize,1985q3,-0.009842395
América Central,Belize,1985q4,-0.017858068
América Central,Belize,1986q1,0.009943804
América Central,Belize,1986q2,-0.009943806
América Central,Belize,1986q3,0.037487406
América Central,Belize,1986q4,0.003899391
América Central,Belize,1987q1,-0.003899391
América Central,Belize,1987q2,0.003899391
América Central,Belize,1987q3,0.030883975
América Central,Belize,1987q4,0.003822175
América Central,Belize,1988q1,0.013311774
América Central,Belize,1988q2,0.013210542
América Central,Belize,1988q3,0.014975765
América Central,Belize,1988q4,0.014847766
América Central,Belize,1989q1,-0.00555305
