country,grossDebt,revenue,primaryBalance,consolidatedBalance,consolidatedBalance10Years,relativeToRevenue,implicitRate
El Salvador,75.05312613,25.76962096,2.152162351,-2.439277411,-3.96684967,17.81725764,6.117586299
Belize,64.1412658,21.83714819,0.900640447,-0.748537242,-5.214535072,7.55216604,2.571164863
Costa Rica,63.85231136,16.58959088,2.095718353,-2.840628147,-5.532172322,29.75568557,7.730881459
México,56.02855503,24.20357196,1.031348644,-4.325609684,-3.217064589,22.13292458,9.561121691
Panamá,54.89206692,17.34542299,-2.205920693,-3.927610874,-3.85536477,9.925904846,3.136500915
Honduras,49.09061582,25.46999447,3.856928261,1.649514079,-1.350892242,8.666724229,4.496611307
Nicarágua,43.94205191,29.27595309,2.112326803,0.845693588,-1.34362122,4.3265311,2.882508121
Guatemala,29.5948481,12.65627086,-0.039355874,-1.706525922,-2.011079341,13.1726799,5.633311723
Venezuela,157.809488,5.962671342,-5.846293045,-6.024163723,0,2.983070301,0.112712284
Suriname,120.0843207,27.77639892,1.066875208,-3.130674124,-7.127324492,15.11192773,3.495501584
Brasil,85.33022814,43.27750629,4.962251373,-3.104854107,-6.122493371,18.64041201,9.453983256
Argentina,84.68469849,33.42642597,-1.804627986,-3.848642111,-4.986236989,6.11496463,2.413675861
Bolívia,80.00631192,28.375218,-5.500256751,-7.123449326,-7.134695351,5.720458514,2.028830645
Uruguai,60.99958603,27.23909795,-0.515494022,-2.519845009,-2.639720216,7.358360363,3.285843589
Colômbia,60.35391272,27.85647459,-1.924380677,-6.204645634,-4.288262501,15.36542229,7.091942782
Equador,57.30327438,39.38666366,1.695846111,0.046299238,-5.263753608,4.188084799,2.878625857
Paraguai,40.75784592,19.85528213,-1.949862425,-3.771455765,-2.541475557,9.174351331,4.469307195
Chile,37.97548,28.13361814,2.367047008,1.361340284,-2.776383795,3.574750744,2.648305496
Peru,31.48530284,22.05444284,0.033704818,-1.401419163,-2.367570251,6.507187648,4.558075835
Guiana,26.04983064,15.3707044,-4.882500466,-5.178215981,-4.318172485,1.923890451,1.135191695
Barbados,122.5136642,29.66701474,2.547949762,-2.050825357,-4.293851927,15.50130729,3.753683435
Dominica,98.53295904,43.1453787,-0.366819372,-3.857988119,-7.916312665,8.091640061,3.543148182
Bahamas,88.85403614,21.09470639,-1.339025725,-5.7997756,-5.16227223,21.1462999,5.020312042
Jamaica,87.95645194,30.08127872,5.783900775,0.282947272,0.034288963,18.28696697,6.254178496
São Vicente e Granadinas,87.93314867,27.6145128,-7.014992726,-9.394108772,-0.003500635,8.615455445,2.705596334
Antígua e Barbuda,86.24056007,20.15855261,-1.152180518,-3.726172686,-7.961478829,12.76873502,2.984665412
Santa Lúcia,85.26666569,21.82287068,1.472530853,-1.45339489,-9.053517878,13.40761161,3.431500129
Granada,63.5740431,33.15680691,2.572836309,0.937049448,0.103922863,4.933487308,2.573042048
São Cristóvão e Névis,61.12658343,51.96322229,-2.012772647,-3.254317522,7.546783239,2.389276147,2.031104645
Rep. Dominicana,59.5471175,15.26539344,-0.39724477,-3.245252371,-3.385548294,18.65662757,4.782779958
T&T,50.95882361,27.78756618,2.740845183,0.329752654,-6.092640013,8.676875526,4.731452491
Haiti,25.01000607,6.241046125,-1.747315954,-2.051509142,-1.810474694,4.8740737,1.216285941
