sdgNumber,sdgName,goal,region,trendMovingAwayFromGoal,correctTrendButProgressTooSlow,goalAchievedOrLikelyToAchieve,insufficientData
1,Fim da pobreza,1.1,América Latina e Caribe,1,,,
1,Fim da pobreza,1.2,América Latina e Caribe,,1,,
1,Fim da pobreza,1.3,América Latina e Caribe,1,,,
1,Fim da pobreza,1.4,América Latina e Caribe,,1,,
1,Fim da pobreza,1.5,América Latina e Caribe,,1,,
1,Fim da pobreza,1.a,América Latina e Caribe,,1,,
1,Fim da pobreza,1.b,América Latina e Caribe,,,,1
2,Acabar com a fome,2.1,América Latina e Caribe,1,,,
2,Acabar com a fome,2.2,América Latina e Caribe,,1,,
2,Acabar com a fome,2.3,América Latina e Caribe,,,,1
2,Acabar com a fome,2.4,América Latina e Caribe,1,,,
2,Acabar com a fome,2.5,América Latina e Caribe,,1,,
2,Acabar com a fome,2.a,América Latina e Caribe,1,,,
2,Acabar com a fome,2.b,América Latina e Caribe,,,1,
2,Acabar com a fome,2.c,América Latina e Caribe,,1,,
3,Saúde e bem-estar,3.1,América Latina e Caribe,,1,,
3,Saúde e bem-estar,3.2,América Latina e Caribe,,,1,
3,Saúde e bem-estar,3.3,América Latina e Caribe,,1,,
3,Saúde e bem-estar,3.4,América Latina e Caribe,1,,,
3,Saúde e bem-estar,3.5,América Latina e Caribe,,,1,
3,Saúde e bem-estar,3.6,América Latina e Caribe,,1,,
3,Saúde e bem-estar,3.7,América Latina e Caribe,,1,,
3,Saúde e bem-estar,3.8,América Latina e Caribe,1,,,
3,Saúde e bem-estar,3.9,América Latina e Caribe,,,1,
3,Saúde e bem-estar,3.a,América Latina e Caribe,,,,
3,Saúde e bem-estar,3.b,América Latina e Caribe,1,,,
3,Saúde e bem-estar,3.c,América Latina e Caribe,,,1,
3,Saúde e bem-estar,3.d,América Latina e Caribe,1,,,
4,Educação de qualidade,4.1,América Latina e Caribe,1,,,
4,Educação de qualidade,4.2,América Latina e Caribe,,1,,
4,Educação de qualidade,4.3,América Latina e Caribe,,,1,
4,Educação de qualidade,4.4,América Latina e Caribe,,,,1
4,Educação de qualidade,4.5,América Latina e Caribe,,,1,
4,Educação de qualidade,4.6,América Latina e Caribe,,1,,
4,Educação de qualidade,4.7,América Latina e Caribe,,,,1
4,Educação de qualidade,4.a,América Latina e Caribe,,1,,
4,Educação de qualidade,4.b,América Latina e Caribe,1,,,
4,Educação de qualidade,4.c,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.1,América Latina e Caribe,,,,1
5,Igualdade de gênero,5.2,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.3,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.4,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.5,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.6,América Latina e Caribe,,,,1
5,Igualdade de gênero,5.a,América Latina e Caribe,,,,1
5,Igualdade de gênero,5.b,América Latina e Caribe,,1,,
5,Igualdade de gênero,5.c,América Latina e Caribe,,,1,
6,Agua limpa e saneamento,6.1,América Latina e Caribe,,1,,
6,Agua limpa e saneamento,6.2,América Latina e Caribe,,1,,
6,Agua limpa e saneamento,6.3,América Latina e Caribe,,1,,
6,Agua limpa e saneamento,6.4,América Latina e Caribe,1,,,
6,Agua limpa e saneamento,6.5,América Latina e Caribe,,1,,
6,Agua limpa e saneamento,6.6,América Latina e Caribe,1,,,
6,Agua limpa e saneamento,6.a,América Latina e Caribe,,1,,
6,Agua limpa e saneamento,6.b,América Latina e Caribe,1,,,
7,Energia limpa e acessível,7.1,América Latina e Caribe,,1,,
7,Energia limpa e acessível,7.2,América Latina e Caribe,,,1,
7,Energia limpa e acessível,7.3,América Latina e Caribe,,1,,
7,Energia limpa e acessível,7.a,América Latina e Caribe,1,,,
7,Energia limpa e acessível,7.b,América Latina e Caribe,,,1,
8,Trabalho decente e crescimento econômico,8.1,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.2,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.3,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.4,América Latina e Caribe,1,,,
8,Trabalho decente e crescimento econômico,8.5,América Latina e Caribe,1,,,
8,Trabalho decente e crescimento econômico,8.6,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.7,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.8,América Latina e Caribe,,,1,
8,Trabalho decente e crescimento econômico,8.9,América Latina e Caribe,,,1,
8,Trabalho decente e crescimento econômico,8.10,América Latina e Caribe,,1,,
8,Trabalho decente e crescimento econômico,8.a,América Latina e Caribe,1,,,
8,Trabalho decente e crescimento econômico,8.b,América Latina e Caribe,,,,1
9,"Indústria, inovação e infraestrutura",9.1,América Latina e Caribe,1,,,
9,"Indústria, inovação e infraestrutura",9.2,América Latina e Caribe,1,,,
9,"Indústria, inovação e infraestrutura",9.3,América Latina e Caribe,,,,1
9,"Indústria, inovação e infraestrutura",9.4,América Latina e Caribe,,,1,
9,"Indústria, inovação e infraestrutura",9.5,América Latina e Caribe,,1,,
9,"Indústria, inovação e infraestrutura",9.a,América Latina e Caribe,,1,,
9,"Indústria, inovação e infraestrutura",9.b,América Latina e Caribe,,,1,
9,"Indústria, inovação e infraestrutura",9.c,América Latina e Caribe,,,1,
10,Redução das desigualdades,10.1,América Latina e Caribe,,,,1
10,Redução das desigualdades,10.2,América Latina e Caribe,,1,,
10,Redução das desigualdades,10.3,América Latina e Caribe,,,,1
10,Redução das desigualdades,10.4,América Latina e Caribe,,1,,
10,Redução das desigualdades,10.5,América Latina e Caribe,1,,,
10,Redução das desigualdades,10.6,América Latina e Caribe,,1,,
10,Redução das desigualdades,10.7,América Latina e Caribe,1,,,
10,Redução das desigualdades,10.a,América Latina e Caribe,,1,,
10,Redução das desigualdades,10.b,América Latina e Caribe,1,,,
10,Redução das desigualdades,10.c,América Latina e Caribe,,1,,
11,Cidades e comunidades sustentáveis,11.1,América Latina e Caribe,,1,,
11,Cidades e comunidades sustentáveis,11.2,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.3,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.4,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.5,América Latina e Caribe,,1,,
11,Cidades e comunidades sustentáveis,11.6,América Latina e Caribe,,1,,
11,Cidades e comunidades sustentáveis,11.7,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.a,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.b,América Latina e Caribe,,,,1
11,Cidades e comunidades sustentáveis,11.c,América Latina e Caribe,,,,1
12,Produção e consumo responsáveis,12.1,América Latina e Caribe,,,1,
12,Produção e consumo responsáveis,12.2,América Latina e Caribe,1,,,
12,Produção e consumo responsáveis,12.3,América Latina e Caribe,1,,,
12,Produção e consumo responsáveis,12.4,América Latina e Caribe,1,,,
12,Produção e consumo responsáveis,12.5,América Latina e Caribe,,1,,
12,Produção e consumo responsáveis,12.6,América Latina e Caribe,,,1,
12,Produção e consumo responsáveis,12.7,América Latina e Caribe,,,,1
12,Produção e consumo responsáveis,12.8,América Latina e Caribe,,,,1
12,Produção e consumo responsáveis,12.a,América Latina e Caribe,,,1,
12,Produção e consumo responsáveis,12.b,América Latina e Caribe,1,,,
12,Produção e consumo responsáveis,12.c,América Latina e Caribe,1,,,
13,Ação climática,13.1,América Latina e Caribe,,,,1
13,Ação climática,13.2,América Latina e Caribe,1,,,
13,Ação climática,13.3,América Latina e Caribe,1,,,
13,Ação climática,13.a,América Latina e Caribe,,,,1
13,Ação climática,13.b,América Latina e Caribe,,,,1
14,Vida subaquática,14.1,América Latina e Caribe,1,,,
14,Vida subaquática,14.2,América Latina e Caribe,,1,,
14,Vida subaquática,14.3,América Latina e Caribe,,,,1
14,Vida subaquática,14.4,América Latina e Caribe,,,,1
14,Vida subaquática,14.5,América Latina e Caribe,,,1,
14,Vida subaquática,14.6,América Latina e Caribe,,,1,
14,Vida subaquática,14.7,América Latina e Caribe,,1,,
14,Vida subaquática,14.a,América Latina e Caribe,1,,,
14,Vida subaquática,14.b,América Latina e Caribe,,1,,
14,Vida subaquática,14.c,América Latina e Caribe,,,,1
15,Vida dos ecossistemas terrestres,15.1,América Latina e Caribe,,1,,
15,Vida dos ecossistemas terrestres,15.2,América Latina e Caribe,,,1,
15,Vida dos ecossistemas terrestres,15.3,América Latina e Caribe,1,,,
15,Vida dos ecossistemas terrestres,15.4,América Latina e Caribe,,1,,
15,Vida dos ecossistemas terrestres,15.5,América Latina e Caribe,1,,,
15,Vida dos ecossistemas terrestres,15.6,América Latina e Caribe,,,1,
15,Vida dos ecossistemas terrestres,15.7,América Latina e Caribe,,,,1
15,Vida dos ecossistemas terrestres,15.8,América Latina e Caribe,,1,,
15,Vida dos ecossistemas terrestres,15.9,América Latina e Caribe,,,,1
15,Vida dos ecossistemas terrestres,15.a,América Latina e Caribe,,,1,
15,Vida dos ecossistemas terrestres,15.b,América Latina e Caribe,,,1,
15,Vida dos ecossistemas terrestres,15.c,América Latina e Caribe,,,,1
16,"Paz, justiça e instituições fortes",16.1,América Latina e Caribe,,1,,
16,"Paz, justiça e instituições fortes",16.2,América Latina e Caribe,,1,,
16,"Paz, justiça e instituições fortes",16.3,América Latina e Caribe,1,,,
16,"Paz, justiça e instituições fortes",16.4,América Latina e Caribe,,,,1
16,"Paz, justiça e instituições fortes",16.5,América Latina e Caribe,,1,,
16,"Paz, justiça e instituições fortes",16.6,América Latina e Caribe,1,,,
16,"Paz, justiça e instituições fortes",16.7,América Latina e Caribe,,,,1
16,"Paz, justiça e instituições fortes",16.8,América Latina e Caribe,,1,,
16,"Paz, justiça e instituições fortes",16.9,América Latina e Caribe,,,,1
16,"Paz, justiça e instituições fortes",16.10,América Latina e Caribe,1,,,
16,"Paz, justiça e instituições fortes",16.a,América Latina e Caribe,,1,,
16,"Paz, justiça e instituições fortes",16.b,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.1,América Latina e Caribe,1,,,
17,Parcerias para atingir os objetivos,17.2,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.3,América Latina e Caribe,,,1,
17,Parcerias para atingir os objetivos,17.4,América Latina e Caribe,,1,,
17,Parcerias para atingir os objetivos,17.5,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.6,América Latina e Caribe,,,1,
17,Parcerias para atingir os objetivos,17.7,América Latina e Caribe,,1,,
17,Parcerias para atingir os objetivos,17.8,América Latina e Caribe,,,1,
17,Parcerias para atingir os objetivos,17.9,América Latina e Caribe,,,1,
17,Parcerias para atingir os objetivos,17.10,América Latina e Caribe,1,,,
17,Parcerias para atingir os objetivos,17.11,América Latina e Caribe,1,,,
17,Parcerias para atingir os objetivos,17.12,América Latina e Caribe,,1,,
17,Parcerias para atingir os objetivos,17.13,América Latina e Caribe,1,,,
17,Parcerias para atingir os objetivos,17.14,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.15,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.16,América Latina e Caribe,,,,1
17,Parcerias para atingir os objetivos,17.17,América Latina e Caribe,1,,,
17,Parcerias para atingir os objetivos,17.18,América Latina e Caribe,,1,,
17,Parcerias para atingir os objetivos,17.19,América Latina e Caribe,,,1,
1,Fim da pobreza,1.1,América do Sul,1,,,
1,Fim da pobreza,1.2,América do Sul,,1,,
1,Fim da pobreza,1.3,América do Sul,1,,,
1,Fim da pobreza,1.4,América do Sul,,1,,
1,Fim da pobreza,1.5,América do Sul,,,1,
1,Fim da pobreza,1.a,América do Sul,,1,,
1,Fim da pobreza,1.b,América do Sul,,,,1
2,Acabar com a fome,2.1,América do Sul,1,,,
2,Acabar com a fome,2.2,América do Sul,,1,,
2,Acabar com a fome,2.3,América do Sul,,,,1
2,Acabar com a fome,2.4,América do Sul,1,,,
2,Acabar com a fome,2.5,América do Sul,,,1,
2,Acabar com a fome,2.a,América do Sul,1,,,
2,Acabar com a fome,2.b,América do Sul,,,,1
2,Acabar com a fome,2.c,América do Sul,1,,,
3,Saúde e bem-estar,3.1,América do Sul,1,,,
3,Saúde e bem-estar,3.2,América do Sul,,,1,
3,Saúde e bem-estar,3.3,América do Sul,1,,,
3,Saúde e bem-estar,3.4,América do Sul,1,,,
3,Saúde e bem-estar,3.5,América do Sul,,,1,
3,Saúde e bem-estar,3.6,América do Sul,,1,,
3,Saúde e bem-estar,3.7,América do Sul,1,,,
3,Saúde e bem-estar,3.8,América do Sul,,1,,
3,Saúde e bem-estar,3.9,América do Sul,,,1,
3,Saúde e bem-estar,3.a,América do Sul,,,1,
3,Saúde e bem-estar,3.b,América do Sul,1,,,
3,Saúde e bem-estar,3.c,América do Sul,,,1,
3,Saúde e bem-estar,3.d,América do Sul,1,,,
4,Educação de qualidade,4.1,América do Sul,,1,,
4,Educação de qualidade,4.2,América do Sul,,1,,
4,Educação de qualidade,4.3,América do Sul,,,1,
4,Educação de qualidade,4.4,América do Sul,,,,1
4,Educação de qualidade,4.5,América do Sul,,1,,
4,Educação de qualidade,4.6,América do Sul,,1,,
4,Educação de qualidade,4.7,América do Sul,,,,1
4,Educação de qualidade,4.a,América do Sul,,1,,
4,Educação de qualidade,4.b,América do Sul,1,,,
4,Educação de qualidade,4.c,América do Sul,,1,,
5,Igualdade de gênero,5.1,América do Sul,,,,1
5,Igualdade de gênero,5.2,América do Sul,1,,,
5,Igualdade de gênero,5.3,América do Sul,,,,1
5,Igualdade de gênero,5.4,América do Sul,1,,,
5,Igualdade de gênero,5.5,América do Sul,,1,,
5,Igualdade de gênero,5.6,América do Sul,,,,1
5,Igualdade de gênero,5.a,América do Sul,,,,1
5,Igualdade de gênero,5.b,América do Sul,,1,,
5,Igualdade de gênero,5.c,América do Sul,,1,,
6,Agua limpa e saneamento,6.1,América do Sul,,1,,
6,Agua limpa e saneamento,6.2,América do Sul,,1,,
6,Agua limpa e saneamento,6.3,América do Sul,,1,,
6,Agua limpa e saneamento,6.4,América do Sul,,1,,
6,Agua limpa e saneamento,6.5,América do Sul,,1,,
6,Agua limpa e saneamento,6.6,América do Sul,,1,,
6,Agua limpa e saneamento,6.a,América do Sul,1,,,
6,Agua limpa e saneamento,6.b,América do Sul,,,,1
7,Energia limpa e acessível,7.1,América do Sul,,,1,
7,Energia limpa e acessível,7.2,América do Sul,,,1,
