country,year,povertyRateNational,extremePovertyRateNational,povertyRateUrban,extremePovertyRateUrban,povertyRateRural,extremePovertyRateRural
América Latina,2001,44.1,12.2,38.6,7.7,63.9,28.1
América Latina,2002,45.4,12.2,40.5,8.3,63,26.2
América Latina,2003,45.6,12.2,40.9,8.2,62.9,26.7
América Latina,2004,42.6,10.7,38,7,59.3,23.7
América Latina,2005,40,9.7,35.4,6.2,56.7,22.2
América Latina,2006,35.8,8.5,31,5.2,53.5,20.7
América Latina,2007,34.8,9,29.9,5.7,52.8,21.4
América Latina,2008,33.5,9.1,28.1,5.5,53.6,22.8
América Latina,2009,32.5,8.9,27.4,5.5,51.9,21.9
América Latina,2010,31.5,8.6,26.6,5.3,50.1,21.1
América Latina,2011,30.3,8.4,25.4,5.1,49.8,21.2
América Latina,2012,28.6,8.2,23.7,5.2,47.8,20
América Latina,2013,28.4,8.3,23.7,5.4,46.9,19.4
América Latina,2014,27.7,7.8,23.5,5.1,44.8,18.5
América Latina,2015,28.9,8.7,25,6.2,45.1,18.9
América Latina,2016,29.8,9.8,25.8,7.3,46.2,20.2
América Latina,2017,29.9,10.3,25.9,7.8,46.3,20.7
América Latina,2018,29.7,10.5,25.8,8,45.5,20.5
América Latina,2019,30.2,11.3,26.5,8.9,45.6,21.3
América Latina,2020,32.8,13.2,30,11.2,44.7,21.4
América Latina,2021,32.6,13,29.7,11,44.8,21.7
América Latina,2022,29,11.2,26.1,9.3,41,19.5
Argentina,2000,,,40.9,10.3,,
Argentina,2001,,,46.7,13.6,,
Argentina,2002,,,62.4,21.1,,
Argentina,2003,,,50,11.2,,
Argentina,2004,,,43.1,8,,
Argentina,2005,,,37.9,6.4,,
Argentina,2006,,,31.5,5.1,,
Argentina,2007,,,30.3,5.5,,
Argentina,2008,,,27.1,4.3,,
Argentina,2009,,,25.2,4.3,,
Argentina,2010,,,25.6,3.9,,
Argentina,2011,,,23.3,3.3,,
Argentina,2012,,,22.1,3.5,,
Argentina,2013,,,21.6,3.3,,
Argentina,2014,,,25,3.4,,
Argentina,2016,,,21.5,2.9,,
Argentina,2017,,,19.3,2.9,,
Argentina,2018,,,22.7,3.2,,
Argentina,2019,,,26,3.9,,
Argentina,2020,,,33,6.2,,
Argentina,2021,,,28.4,4,,
Argentina,2022,,,30.1,3.9,,
Bolívia,2000,67.4,38.1,56.1,17.7,87,73.3
Bolívia,2001,64,32.2,52.9,14.3,82.4,61.6
Bolívia,2002,66.8,35.1,55.5,15.9,85.2,66.5
Bolívia,2004,65.7,28.2,58.4,13.8,77.8,52.1
Bolívia,2005,66.6,36.9,58.5,22.9,81.2,61.8
