country,percentage,oecdHighIncomeNonLacAverage,latinAmericaAverage,caribbeanAverage
Belize,56.09999847,13.53333321,22.57500019,15.48181826
Uruguai,36.40000153,13.53333321,22.57500019,15.48181826
Bolívia,29.70000076,13.53333321,22.57500019,15.48181826
Brasil,27.89999962,13.53333321,22.57500019,15.48181826
Chile,27.20000076,13.53333321,22.57500019,15.48181826
Honduras,26.5,13.53333321,22.57500019,15.48181826
México,25.20000076,13.53333321,22.57500019,15.48181826
El Salvador,24.60000038,13.53333321,22.57500019,15.48181826
Argentina,22.79999924,13.53333321,22.57500019,15.48181826
Equador,21.60000038,13.53333321,22.57500019,15.48181826
Guiana,21.5,13.53333321,22.57500019,15.48181826
Venezuela,20.5,13.53333321,22.57500019,15.48181826
Paraguai,20.20000076,13.53333321,22.57500019,15.48181826
Guatemala,19.20000076,13.53333321,22.57500019,15.48181826
Colômbia,17,13.53333321,22.57500019,15.48181826
Peru,16.20000076,13.53333321,22.57500019,15.48181826
Costa Rica,14.39999962,13.53333321,22.57500019,15.48181826
Suriname,13.5,13.53333321,22.57500019,15.48181826
Nicarágua,10.5,13.53333321,22.57500019,15.48181826
Panamá,0.5,13.53333321,22.57500019,15.48181826
,,,,
São Cristóvão e Névis,30.89999962,13.53333321,22.57500019,15.48181826
Antígua e Barbuda,24.39999962,13.53333321,22.57500019,15.48181826
Santa Lúcia,21.10000038,13.53333321,22.57500019,15.48181826
Granada,14.80000019,13.53333321,22.57500019,15.48181826
Bahamas,14.30000019,13.53333321,22.57500019,15.48181826
Rep. Dominicana,13.80000019,13.53333321,22.57500019,15.48181826
São Vicente e Granadinas,12,13.53333321,22.57500019,15.48181826
Dominica,11.80000019,13.53333321,22.57500019,15.48181826
Jamaica,11.80000019,13.53333321,22.57500019,15.48181826
TTO,11.60000038,13.53333321,22.57500019,15.48181826
Barbados,3.799999952,13.53333321,22.57500019,15.48181826
