service,zone,region,country,year,percentage
Água potável,Rural,América Central,Belize,2000,81.48888278
Água potável,Rural,América Central,Belize,2022,95.91039904
Água potável,Urbana,América Central,Belize,2000,89.00257513
Água potável,Urbana,América Central,Belize,2022,98.216176
Água potável,Rural,América Central,Costa Rica,2000,87.29355177
Água potável,Rural,América Central,Costa Rica,2022,98.66547857
Água potável,Urbana,América Central,Costa Rica,2000,99.15033454
Água potável,Urbana,América Central,Costa Rica,2022,99.42368286
Saneamento,Rural,América Central,Costa Rica,2000,34.71374082
Saneamento,Rural,América Central,Costa Rica,2022,35.60075894
Saneamento,Urbana,América Central,Costa Rica,2000,18.130431
Saneamento,Urbana,América Central,Costa Rica,2022,23.10946565
Água potável,Rural,América Central,El Salvador,2000,48.69992058
Água potável,Rural,América Central,El Salvador,2022,80.93429845
Água potável,Urbana,América Central,El Salvador,2000,88.70827034
Água potável,Urbana,América Central,El Salvador,2022,97.023492
Saneamento,Urbana,América Central,El Salvador,2000,18.44324606
Saneamento,Urbana,América Central,El Salvador,2022,17.39490778
Água potável,Rural,América Central,Guatemala,2000,59.0841574
Água potável,Rural,América Central,Guatemala,2022,79.98282413
Água potável,Urbana,América Central,Guatemala,2000,88.94180761
Água potável,Urbana,América Central,Guatemala,2022,94.94683195
Água potável,Rural,América Central,Honduras,2000,72.08628771
Água potável,Rural,América Central,Honduras,2022,80.32108952
Água potável,Urbana,América Central,Honduras,2000,93.01300864
Água potável,Urbana,América Central,Honduras,2022,96.66247031
Saneamento,Rural,América Central,Honduras,2000,48.07022103
Saneamento,Rural,América Central,Honduras,2022,70.52318199
Saneamento,Urbana,América Central,Honduras,2000,38.09071481
Saneamento,Urbana,América Central,Honduras,2022,40.46088734
Água potável,Rural,América Central,México,2000,60.22444143
Água potável,Rural,América Central,México,2022,87.87378224
Água potável,Urbana,América Central,México,2000,89.58041994
Água potável,Urbana,América Central,México,2022,98.35408949
Saneamento,Urbana,América Central,México,2000,17.55921809
Saneamento,Urbana,América Central,México,2022,65.08604847
Água potável,Rural,América Central,Nicarágua,2000,26.16187099
Água potável,Rural,América Central,Nicarágua,2020,53.98626876
Água potável,Urbana,América Central,Nicarágua,2000,86.31787647
Água potável,Urbana,América Central,Nicarágua,2020,97.17107933
Água potável,Rural,América Central,Panamá,2000,73.03440402
Água potável,Rural,América Central,Panamá,2022,83.23462887
Água potável,Urbana,América Central,Panamá,2000,93.19683599
