country,credit
Chile,109.49
Panama,100.1065
Honduras,75.53189
Bolivia,74.18684
Brazil,71.64666
Barbados,67.36575
El Salvador,61.6065
St. Kitts and Nevis,60.48258
Ecuador,55.55038
Paraguay,52.55267
Grenada,51.60809
Costa Rica,51.11974
Jamaica,49.14323
St. Lucia,48.84309
Peru,45.58975
Colombia,42.54421
Bahamas,42.1369
Dominica,42.11272
Trinidad and Tobago,40.50875
Saint Vincent and the Grenadines,40.01713
Belize,39.10378
Guatemala,37.9755
Antigua and Barbuda,37.50143
Mexico,33.3282
Dominican Rep.,30.59107
Nicaragua,29.96966
Venezuela,29.89615
Uruguay,28.85679
Guyana,20.08553
Suriname,15.23916
Argentina,12.00248
Haiti,5.168422
Latin America and the Caribbean,50.8
OECD,149.7
