country,oecd,latinAmericaAndCaribbean
New Zealand,43,
Canada,42,
United Kingdom,42,
Colombia,,40
Ireland,40,
Slovenia,39,
Israel,39,
Norway,38,
Turkey,38,
South Korea,37,
Denmark,36,
Spain,36,
USA,36,
Iceland,36,
Sweden,36,
Austria,35,
Greece,35,
Lithuania,35,
Peru,,34
Belgium,34,
France,34,
Latvia,34,
Chile,,33
Italy,33,
Poland,33,
Trinidad and Tobago,,32
Australia,32,
Japan,32,
Argentina,,31
Brazil,,31
Jamaica,,31
Mexico,,31
Germany,31,
Finland,31,
Portugal,31,
Czech Rep.,31,
Antigua and Barbuda,,29
Dominica,,29
Saint Vincent and the Grenadines,,29
St. Lucia,,29
Estonia,29,
Netherlands,29,
Bahamas,,28
Guyana,,28
Panama,,28
Slovakia,28,
Hungary,27,
Luxembourg,27,
St. Kitts and Nevis,,26
Grenada,,25
Switzerland,25,
Costa Rica,,24
Ecuador,,22
Honduras,,21
Barbados,,19
Bolivia,,19
El Salvador,,18
Paraguay,,17
Dominican Rep.,,17
Guatemala,,15
Uruguay,,15
Belize,,14
Suriname,,14
Nicaragua,,12
Venezuela,,12
Haiti,,9
OECD,34.1,
Latin America and the Caribbean,,23.65
