countryRegionGroup,averageCountry,averageRegion,averageGroup
Bahamas,26.65,,
Argentina,14.15,,
Brazil,12.49,,
Belize,11.82,,
Barbados,11.64,,
Uruguay,10.88,,
Ecuador,10.83,,
Bolivia,9.67,,
Paraguay,9.62,,
Jamaica,9.42,,
Trinidad and Tobago,8.75,,
Guatemala,6.27,,
Mexico,6,,
Chile,5.91,,
Panama,5.87,,
Colombia,5.28,,
Dominican Rep.,4.4,,
El Salvador,3.11,,
Nicaragua,2.97,,
Costa Rica,2.62,,
Peru,2.58,,
Honduras,1.64,,
Southern Asia,,12.63,
Sub-Saharan Africa,,11.22,
Latin America and the Caribbean,6.96,,
East Asia and the Pacific,,4.68,
Middle East and North Africa,,4.65,
North America,,3.19,
Europe and Central Asia,,2.79,
Less developed (OMC),,,12.16
Under development (WTO),,,7.17
OECD,,,2.97
High revenues,,,2.77
European Union,,,1.89
