1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,country
12495.99,12667.15,12799.22,13166.52,13624.67,13507.58,13809.25,14327.81,14529.98,14387.84,14685.72,14536.57,14413.19,14579.83,15168.84,15568,16173.02,16820.72,17245.3,16668.03,17561.02,18150.94,18426.12,18751.11,18830.27,18732.33,18509.26,18689.68,18826.4,18809.51,17422.83,18561.53,19190.92,19458.86,Latin America and the Caribbean
17073.15808,18369.01072,19553.82534,20873.21919,21795.84069,20898.53191,21777.30835,23263.24402,23880.73138,22807.98215,22373.03678,21152.85678,18647.09986,20086.51232,21679.00256,23355.33078,24975.01871,26952.09378,27768.68438,25861.54357,28407.43057,29767.77241,29129.16902,29497.85259,28442.24819,28905.76135,28006.7737,28499.03425,27472.61025,26656.79392,23785.78438,26086.80236,27127.4391,26466.54656,Argentina
20991.5786,21345.38959,21250.38887,21973.16433,23007.4237,21577.8546,22541.65074,23300.9049,23948.02313,24415.73907,25504.03907,23973.57839,23912.36713,25079.59688,26234.87628,27608.7427,30722.60156,33125.47813,32629.50216,28290.06135,25718.77417,24914.39662,25477.11924,25088.56667,25431.02497,25596.32162,26462.41193,26949.11808,28663.45259,29394.62901,23704.04869,25493.12955,27757.17353,28665.59663,Antigua and Barbuda
33705.77041,31666.97363,29816.65623,29265.87229,29588.50119,30311.1799,31034.11169,30902.91822,31824.24462,33578.89066,34461.63913,34871.76925,35345.79686,34435.9841,34274.1616,34957.72433,35343.59791,35353.26954,34043.59224,32155.73783,32194.34441,31990.82833,32595.33963,31367.37578,31661.03046,31686.2415,31121.58511,31748.77622,32349.75733,31701.5795,24792.70652,28510.90949,31424.87145,32047.90427,Bahamas
8240.405474,9019.696528,9963.438153,10363.78469,10140.34353,9956.598685,9765.187412,9837.551154,9866.525398,10433.22612,11336.56074,11533.53752,11781.7058,12528.36458,12735.11712,12634.82756,12822.77715,12869.18259,12318.90503,11931.59476,11781.96448,11481.90903,11636.74669,11884.1578,12091.89408,12220.5355,11971.61836,11523.01054,11419.93217,11688.66685,9934.85853,11559.8906,12407.0171,12795.1798,Belize
5149.003393,5308.931179,5287.21921,5403.286363,5545.774433,5695.839122,5834.216463,6011.701607,6200.288539,6114.511935,6155.806971,6149.651974,6193.104826,6250.903394,6399.500394,6567.641631,6763.486585,6949.495092,7250.281132,7366.391228,7541.367739,7801.821979,8066.865197,8475.83876,8796.495595,9079.790151,9321.591701,9566.125327,9822.956405,9895.420075,8910.587808,9342.971844,9565.315726,9668.957102,Bolivia
12502.24796,12414.64518,12144.00842,12537.78558,13062.23561,13402.91047,13490.90087,13741.20335,13586.69143,13457.77467,13857.59314,13865.85905,14109.93184,14102.69546,14746.02968,15049.14486,15477.73879,16248.65864,16908.63401,16727.16406,17818.24623,18355.1806,18540.13731,18932.12336,18865.00618,18042.80938,17310.73628,17401.32277,17571.67102,17650.44138,16958.89635,17672.9168,18122.57463,18554.10534,Brazil
14957.57152,14344.64963,13485.96664,13552.13999,13786.76932,14032.74572,14563.54895,15228.89955,15771.65831,15792.81051,16464.79373,16031.71062,16092.57418,16378.4923,16547.45982,17139.94024,18116.69495,18423.95028,18459.66437,17459.46218,17015.0873,16836.16613,16750.99297,16491.07668,16444.16484,16807.02438,17201.04321,17256.26868,17096.79595,17131.60934,14955.97879,14752.3737,16715.26324,17447.90359,Barbados
11142.45743,11818.01807,12927.65543,13566.72165,14036.29176,15071.58593,15878.06764,16828.58062,17313.01977,17061.24421,17704.85525,18060.7116,18437.47804,19107.04731,20180.16406,21150.32909,22211.22772,23131.21729,23768.6676,23262.79891,24376.84102,25638.59533,26952.76265,27577.09648,27790.24753,28097.54052,28252.16068,28191.9083,28794.95526,28463.14027,26353.4868,29050.08079,29480.95518,29506.53518,Chile
10130.75251,10125.06396,10327.76289,10671.49531,11074.22336,11431.84383,11455.87961,11639.34592,11504.3819,10837.76102,10975.51792,10985.22948,11088.7865,11353.85818,11789.77573,12191.44109,12842.43032,13538.85575,13821.03832,13821.26806,14280.65032,15106.74306,15535.45567,16172.13995,16740.42142,17073.65901,17244.78364,17216.85505,17326.77427,17554.6131,16055.37973,17587.23179,18739.11811,18777.4054,Colombia
