year,humanCapital,physicalCapital,labor,tfp,realGdpGrowth
1980,0.70,3.63,0.95,0.53,5.81
1981,0.71,3.01,1.42,-4.46,0.68
1982,0.21,1.85,1.51,-4.50,-0.93
1983,0.75,0.69,0.75,-4.66,-2.47
1984,0.76,0.92,1.76,0.26,3.70
1985,0.57,2.28,2.19,-2.20,2.84
1986,0.73,1.56,1.70,-0.20,3.79
1987,0.57,1.57,1.56,-0.58,3.12
1988,0.74,1.54,1.35,-2.72,0.91
1989,0.47,1.30,0.98,-1.46,1.29
1990,0.41,1.16,1.20,-2.25,0.52
1991,0.04,2.17,1.17,0.52,3.90
1992,0.09,1.67,1.20,0.37,3.33
1993,0.47,1.90,1.11,0.52,4.00
1994,0.57,2.11,1.26,0.91,4.85
1995,0.54,1.44,-0.08,-1.22,0.68
1996,0.51,1.63,0.94,0.58,3.66
1997,0.61,2.27,1.48,0.97,5.33
1998,0.35,2.32,1.09,-1.28,2.48
1999,0.18,1.64,0.61,-2.48,-0.05
2000,0.51,1.87,1.17,-0.10,3.45
2001,0.73,1.52,0.51,-2.26,0.50
2002,0.53,1.14,0.00,-1.76,-0.09
2003,0.64,1.08,0.96,-0.70,1.98
2004,0.39,1.43,1.58,2.47,5.87
2005,0.16,1.84,0.92,1.44,4.36
2006,0.26,2.21,1.10,1.76,5.33
2007,0.49,2.68,0.85,1.38,5.40
2008,0.53,2.91,1.03,-0.71,3.76
2009,0.44,1.96,0.25,-4.80,-2.15
2010,0.49,2.42,0.90,2.19,6.00
2011,0.44,2.60,0.89,0.55,4.48
2012,0.74,2.30,0.71,-1.00,2.75
2013,0.48,2.09,0.75,-0.47,2.85
2014,0.51,1.75,0.35,-1.40,1.21
2015,0.21,1.35,0.30,-1.64,0.22
2016,0.47,0.97,-0.35,-2.13,-1.04
2017,0.28,1.00,0.44,-0.54,1.18
2018,0.55,1.04,0.76,-1.40,0.95
2019,0.40,0.93,0.75,-2.22,-0.14
2020,1.25,0.48,-7.62,-1.30,-7.19
2021,0.00,1.06,6.48,-0.95,6.59
2022,0.23,1.17,3.00,-0.78,3.62
2023,0.22,1.06,-0.02,-0.38,0.88
