country,credit
Chile,109.49
Panamá,100.1065
Honduras,75.53189
Bolivia,74.18684
Brasil,71.64666
Barbados,67.36575
El Salvador,61.6065
San Cristóbal y Nieves,60.48258
Ecuador,55.55038
Paraguay,52.55267
Granada,51.60809
Costa Rica,51.11974
Jamaica,49.14323
Santa Lucía,48.84309
Perú,45.58975
Colombia,42.54421
Bahamas,42.1369
Dominica,42.11272
Trinidad y Tobago,40.50875
San Vicente y las Granadinas,40.01713
Belice,39.10378
Guatemala,37.9755
Antigua y Barbuda,37.50143
México,33.3282
Rep. Dominicana,30.59107
Nicaragua,29.96966
Venezuela,29.89615
Uruguay,28.85679
Guyana,20.08553
Surinam,15.23916
Argentina,12.00248
Haití,5.168422
América Latina y el Caribe,50.8
OCDE,149.7
