country,latinAmerica,oecd,others
Perú,19.85,,
Colombia,7.91,,
Brasil,7.66,,
Chile,4.00,,
México,3.58,,
Canadá,,2.10,
Italia,,2.00,
Serbia,,,1.95
Finlandia,,1.88,
Ucrania,,,1.37
Kazajistán,,,1.32
Polonia,,1.23,
Dinamarca,,1.16,
Grecia,,1.05,
Australia,,0.99,
Israel,,0.94,
Irlanda,,0.91,
Eslovenia,,0.90,
Países Bajos,,0.90,
Mediana,,0.90,
Letonia,,0.85,
Reino Unido,,0.68,
Estonia,,0.65,
Francia,,0.58,
Suecia,,0.58,
Portugal,,0.52,
Suiza,,0.46,
Corea del Sur,,0.29,
Austria,,0.26,
Luxemburgo,,0.26,
España,,0.20,
China,,,0.16
Bélgica,,0.15,
Georgia,,,0.14
Lituania,,0.10,
Hungría,,-0.19,
Rep. Checa,,-0.76,
