country,latinAmerica,oecd
Argentina,0.5176,
Brasil,1.1453,
Chile,0.3350,
Colombia,0.2896,
Costa Rica,0.2753,
Ecuador,0.4427,
Guatemala,0.0586,
Honduras,0.0595,
México,0.2824,
Nicaragua,0.1074,
Panamá,0.1769,
Perú,0.1392,
Paraguay,0.1440,
El Salvador,0.1603,
Trinidad y Tobago,0.0538,
Uruguay,0.4204,
Venezuela,0.6900,
Australia,,1.8289
Austria,,3.2563
Bélgica,,3.4298
Canadá,,1.6973
Suiza,,3.3592
Rep. Checa,,1.9960
Alemania,,3.1425
Dinamarca,,2.8126
España,,1.4293
Estonia,,1.7522
Finlandia,,2.9893
Francia,,2.2192
Reino Unido,,2.9148
Grecia,,1.4564
Hungría,,1.6423
Irlanda,,1.1309
Islandia,,2.8054
Israel,,5.5567
Italia,,1.4539
Japón,,3.2958
Corea del Sur,,4.9301
Lituania,,1.1108
Luxemburgo,,1.0422
Letonia,,0.7409
Países Bajos,,2.3089
Noruega,,1.9380
Nueva Zelanda,,1.4547
Polonia,,1.4359
Portugal,,1.6807
Eslovaquia,,0.9154
Eslovenia,,2.1309
Suecia,,3.4174
Turquía,,1.4035
EE. UU.,,3.4571
Promedio ALyC,0.3116,
Promedio OCDE,,2.2981
