country,oecd,latinAmericaAndCaribbean
Nueva Zelanda,43,
Canadá,42,
Reino Unido,42,
Colombia,,40
Irlanda,40,
Eslovenia,39,
Israel,39,
Noruega,38,
Turquía,38,
Corea del Sur,37,
Dinamarca,36,
España,36,
EE. UU.,36,
Islandia,36,
Suecia,36,
Austria,35,
Grecia,35,
Lituania,35,
Perú,,34
Bélgica,34,
Francia,34,
Letonia,34,
Chile,,33
Italia,33,
Polonia,33,
Trinidad y Tobago,,32
Australia,32,
Japón,32,
Argentina,,31
Brasil,,31
Jamaica,,31
México,,31
Alemania,31,
Finlandia,31,
Portugal,31,
Rep. Checa,31,
Antigua y Barbuda,,29
Dominica,,29
San Vicente y las Granadinas,,29
Santa Lucía,,29
Estonia,29,
Países Bajos,29,
Bahamas,,28
Guyana,,28
Panamá,,28
Eslovaquia,28,
Hungría,27,
Luxemburgo,27,
San Cristóbal y Nieves,,26
Granada,,25
Suiza,25,
Costa Rica,,24
Ecuador,,22
Honduras,,21
Barbados,,19
Bolivia,,19
El Salvador,,18
Paraguay,,17
Rep. Dominicana,,17
Guatemala,,15
Uruguay,,15
Belice,,14
Surinam,,14
Nicaragua,,12
Venezuela,,12
Haití,,9
OCDE,34.1,
América Latina y el Caribe,,23.65
