countryRegionGroup,averageCountry,averageRegion,averageGroup
Antigua y Barbuda,116.276,,
Honduras,100.839,,
Nicaragua,100.639,,
Belice,99.681,,
Panamá,81.752,,
México,80.057,,
El Salvador,78.176,,
Barbados,74.457,,
Bermudas,74.405,,
Bahamas,74.252,,
Paraguay,72.087,,
Costa Rica,68.929,,
Chile,62.461,,
Bolivia,57.440,,
Ecuador,52.117,,
Uruguay,51.879,,
Rep. Dominicana,50.657,,
Perú,50.543,,
Guatemala,47.994,,
Colombia,39.461,,
Haití,38.107,,
Brasil,33.399,,
Argentina,30.858,,
Europa y Asia Central,,85.830,
Oriente Medio y Norte de África,,68.773,
África Subsahariana,,56.718,
Asia Oriental y el Pacífico,,56.344,
América Latina y el Caribe,50.374,,
Asia Meridional,,41.462,
Norteamérica,,29.165,
Unión Europea,,,94.298
Países de ingreso alto,,,61.435
OCDE,,,57.101
Países menos desarrollados,,,51.739
