year,employmentToPopulation,laborProductivityHours,humanCapital,hoursPerWorker,physicalCapitalPerWorker
1990,100.000,100.000,100.000,100.000,100.000
1991,100.660,101.600,100.080,99.570,102.143
1992,100.781,102.545,100.260,99.431,103.190
1993,103.139,104.452,101.197,98.754,105.096
1994,104.779,106.844,102.316,98.399,107.058
1995,104.643,107.816,103.448,97.651,110.572
1996,104.172,109.585,104.571,98.071,112.008
1997,106.016,111.798,105.876,97.463,113.270
1998,106.164,111.865,106.641,97.590,115.708
1999,105.984,110.456,107.047,97.238,118.034
2000,107.340,111.825,108.134,97.151,119.818
2001,108.038,111.378,109.768,96.714,122.348
2002,108.362,111.612,110.949,95.650,125.609
2003,109.283,111.467,112.378,95.506,125.747
2004,111.447,114.053,113.292,95.430,124.670
2005,112.461,116.562,113.667,95.249,126.289
2006,114.069,119.838,114.545,94.944,128.197
2007,115.301,124.056,115.824,94.782,131.983
2008,116.397,125.892,117.175,94.953,136.029
2009,116.653,122.644,118.341,94.241,140.551
2010,117.318,127.807,119.566,94.269,144.556
2011,118.456,131.220,120.635,94.033,149.272
2012,119.924,132.925,122.409,93.131,153.910
2013,120.260,134.693,123.565,93.382,158.028
2014,120.597,135.407,124.770,92.971,162.580
2015,120.898,134.852,125.270,92.274,165.997
2016,120.052,134.353,126.377,91.868,170.404
2017,120.821,134.662,127.074,91.253,172.237
2018,122.113,133.827,128.428,90.805,173.221
2019,122.626,131.954,129.460,90.533,174.421
2020,111.504,143.170,132.657,84.277,205.608
2021,117.759,134.107,132.671,91.188,184.393
2022,123.306,130.942,133.309,92.282,177.855
2023,124.280,131.977,133.937,91.138,181.612
