country,credit
Chile,109.49
Panamá,100.1065
Honduras,75.53189
Bolívia,74.18684
Brasil,71.64666
Barbados,67.36575
El Salvador,61.6065
São Cristóvão e Névis,60.48258
Equador,55.55038
Paraguai,52.55267
Granada,51.60809
Costa Rica,51.11974
Jamaica,49.14323
Santa Lúcia,48.84309
Peru,45.58975
Colômbia,42.54421
Bahamas,42.1369
Dominica,42.11272
T&T,40.50875
São Vicente e Granadinas,40.01713
Belize,39.10378
Guatemala,37.9755
Antígua e Barbuda,37.50143
México,33.3282
Rep. Dominicana,30.59107
Nicarágua,29.96966
Venezuela,29.89615
Uruguai,28.85679
Guiana,20.08553
Suriname,15.23916
Argentina,12.00248
Haiti,5.168422
América Latina e Caribe,50.8
OCDE,149.7
