country,latinAmerica,oecd,others
Peru,19.85,,
Colômbia,7.91,,
Brasil,7.66,,
Chile,4.00,,
México,3.58,,
Canadá,,2.10,
Itália,,2.00,
Sérvia,,,1.95
Finlândia,,1.88,
Ucrânia,,,1.37
Cazaquistão,,,1.32
Polônia,,1.23,
Dinamarca,,1.16,
Grécia,,1.05,
Austrália,,0.99,
Israel,,0.94,
Irã,,0.91,
Eslovênia,,0.90,
Países Baixos,,0.90,
Mediana,,0.90,
Letônia,,0.85,
Reino Unido,,0.68,
Estônia,,0.65,
França,,0.58,
Suécia,,0.58,
Portugal,,0.52,
Suíça,,0.46,
Coreia do Sul,,0.29,
Áustria,,0.26,
Luxemburgo,,0.26,
Espanha,,0.20,
China,,,0.16
Bélgica,,0.15,
Geórgia,,,0.14
Lituânia,,0.10,
Hungria,,-0.19,
Rep. Tcheca,,-0.76,
