country,latinAmerica,oecd
Argentina,0.5176,
Brasil,1.1453,
Chile,0.3350,
Colômbia,0.2896,
Costa Rica,0.2753,
Equador,0.4427,
Guatemala,0.0586,
Honduras,0.0595,
México,0.2824,
Nicarágua,0.1074,
Panamá,0.1769,
Peru,0.1392,
Paraguai,0.1440,
El Salvador,0.1603,
T&T,0.0538,
Uruguai,0.4204,
Venezuela,0.6900,
Austrália,,1.8289
Áustria,,3.2563
Bélgica,,3.4298
Canadá,,1.6973
Suíça,,3.3592
Rep. Tcheca,,1.9960
Alemanha,,3.1425
Dinamarca,,2.8126
Espanha,,1.4293
Estônia,,1.7522
Finlândia,,2.9893
França,,2.2192
Reino Unido,,2.9148
Grécia,,1.4564
Hungria,,1.6423
Irã,,1.1309
Islândia,,2.8054
Israel,,5.5567
Itália,,1.4539
Japão,,3.2958
Coreia do Sul,,4.9301
Lituânia,,1.1108
Luxemburgo,,1.0422
Letônia,,0.7409
Países Baixos,,2.3089
Noruega,,1.9380
Nova Zelândia,,1.4547
Polônia,,1.4359
Portugal,,1.6807
Eslováquia,,0.9154
Eslovênia,,2.1309
Suécia,,3.4174
Turquia,,1.4035
EUA.,,3.4571
Média da ALC,0.3116,
Média da OCDE,,2.2981
