country,oecd,latinAmericaAndCaribbean
Japão,92.1,
Noruega,91.9,
Países Baixos,90.1,
Eslovênia,90,
Bélgica,89.4,
Dinamarca,88.5,
Finlândia,88,
Canadá,86.7,
Irã,86.1,
Islândia,85.5,
Reino Unido,85.4,
Coreia do Sul,84.3,
Austrália,82.7,
EUA.,81,
Áustria,79.9,
Alemanha,79.8,
Nova Zelândia,79.7,
Suécia,78.1,
Espanha,77.5,
França,74.8,
Colômbia,,68.7
Rep. Tcheca,67.5,
Jamaica,,66.4
Barbados,,65.7
Itália,65.6,
Portugal,64.8,
Bahamas,,64.4
México,,63.9
Israel,62.6,
Polônia,60.9,
Belize,,56.7
Suíça,46.7,
Eslováquia,46.1,
Uruguai,,44.4
Hungria,44.2,
Luxemburgo,43.9,
Santa Lúcia,,43.5
Chile,,41.9
Letônia,41.4,
Bolívia,,40.8
Lituânia,40.3,
Antígua e Barbuda,,37.1
Estônia,36.1,
Nicarágua,,35.7
El Salvador,,32.4
Grécia,32,
Peru,,31.3
Dominica,,29.6
Costa Rica,,29.5
Guatemala,,28.1
Panamá,,27
Trinidad e Tobago,,26.1
Paraguai,,23
Honduras,,19.9
Argentina,,19.2
Guiana,,18.4
Equador,,18.3
Brasil,,18.2
Turquia,10.5,
Rep. Dominicana,,9.6
Suriname,,7.7
Venezuela,,5.3
OCDE,69.24,
América Latina e Caribe,,34.74
