countryRegionGroup,averageCountry,averageRegion,averageGroup
Bahamas,26.65,,
Argentina,14.15,,
Brasil,12.49,,
Belize,11.82,,
Barbados,11.64,,
Uruguai,10.88,,
Equador,10.83,,
Bolívia,9.67,,
Paraguai,9.62,,
Jamaica,9.42,,
T&T,8.75,,
Guatemala,6.27,,
México,6,,
Chile,5.91,,
Panamá,5.87,,
Colômbia,5.28,,
Rep. Dominicana,4.4,,
El Salvador,3.11,,
Nicarágua,2.97,,
Costa Rica,2.62,,
Peru,2.58,,
Honduras,1.64,,
Sul da Ásia,,12.63,
África Subsaariana,,11.22,
América Latina e Caribe,6.96,,
Leste Asiático e Pacífico,,4.68,
Oriente Médio e Norte da África,,4.65,
América do Norte,,3.19,
Europa e Ásia Central,,2.79,
Menos desenvolvido (OMC),,,12.16
Em desenvolvimento (OMC),,,7.17
OCDE,,,2.97
Alta renda,,,2.77
União Europeia,,,1.89
