year,latinAmericaAndCaribbean,oecd,unitedStates
1950,302.126,312.303,381.079
1951,311.429,322.140,396.695
1952,315.052,327.530,403.497
1953,306.454,335.205,412.426
1954,324.266,333.272,409.088
1955,328.836,344.099,423.659
1956,331.752,343.210,419.295
1957,341.355,345.465,420.813
1958,345.336,345.014,417.342
1959,341.253,356.110,432.868
1960,345.463,357.684,432.715
1961,345.933,360.641,434.959
1962,350.397,370.829,447.888
1963,361.459,377.160,453.444
1964,381.891,385.546,462.515
1965,379.347,393.140,474.154
1966,384.540,402.937,484.954
1967,388.571,404.013,480.904
1968,402.161,413.324,488.176
1969,403.943,417.746,486.148
1970,414.324,415.317,477.068
1971,411.436,421.376,484.264
1972,417.815,431.627,491.761
1973,424.875,442.109,499.232
1974,442.868,434.261,482.200
1975,434.343,430.793,478.411
1976,441.114,441.610,487.458
1977,434.061,444.285,491.479
1978,446.346,449.719,496.821
1979,470.162,452.055,495.528
1980,479.760,449.163,486.213
1981,481.796,445.629,489.353
1982,456.706,438.928,478.273
1983,425.945,444.726,490.710
1984,418.656,452.239,505.661
1985,402.176,455.435,512.959
1986,381.493,462.063,516.213
1987,371.857,467.887,518.825
1988,358.590,475.725,526.474
1989,347.627,479.729,532.493
1990,347.322,472.819,533.108
1991,348.719,473.213,531.250
1992,351.526,479.418,543.452
1993,347.138,482.210,548.534
1994,355.200,486.598,556.576
1995,361.756,493.504,559.798
1996,391.742,501.007,569.027
1997,383.574,514.835,578.818
1998,373.989,527.948,591.066
1999,356.716,542.755,604.609
2000,360.087,559.775,615.935
2001,351.222,561.377,615.176
2002,337.862,567.271,621.239
2003,330.960,569.729,631.052
2004,336.119,576.178,643.403
2005,346.067,588.584,651.954
2006,357.297,586.175,654.872
2007,365.836,584.723,656.338
2008,371.209,574.737,650.088
2009,347.644,557.594,644.771
2010,367.030,569.260,659.127
2011,382.992,573.029,661.965
2012,380.152,568.885,665.825
2013,372.880,567.047,670.285
2014,361.838,565.598,676.461
2015,349.958,574.707,687.031
2016,348.838,575.424,688.306
2017,355.564,585.000,693.434
2018,354.399,588.846,703.722
2019,344.282,590.900,709.773
