country,category,low,medium,high
Latin America and the Caribbean,Labor participation,-0.3790389,-0.255173,-0.0956212
Latin America and the Caribbean,Employment,-0.395005,-0.2768045,-0.1090653
Latin America and the Caribbean,Hours worked,-0.1981352,-0.1398122,-0.0947324
Latin America and the Caribbean,Hourly wage,-0.1507351,-0.1371774,-0.1725076
Latin America and the Caribbean,Labor income,-0.344247,-0.2754249,-0.2625363
Argentina,Labor participation,-0.3482943475,-0.2205141932,-0.06489813328
Argentina,Employment,-0.3783939481,-0.2514791191,-0.06305220723
Argentina,Hours worked,-0.2400660515,-0.1951083988,-0.1476752907
Argentina,Hourly wage,-0.1136886552,-0.1852545291,-0.1401294172
Argentina,Labor income,-0.4025112987,-0.3551154733,-0.2507779598
Bolivia,Labor participation,-0.2994828224,-0.3028457463,-0.1543720961
Bolivia,Employment,-0.3242334127,-0.3382740021,-0.1818307489
Bolivia,Hours worked,-0.1767970026,-0.1417225152,-0.09323418885
Bolivia,Hourly wage,-0.1908198148,-0.1502717733,-0.1368071437
Bolivia,Labor income,-0.3629579544,-0.2875781059,-0.1789186597
Brazil,Labor participation,-0.3578303456,-0.2172194123,-0.08924160153
Brazil,Employment,-0.3750277162,-0.2471233606,-0.1045794263
Brazil,Hours worked,-0.1645877957,-0.1030551493,-0.1032366976
Brazil,Hourly wage,-0.2051820904,-0.2818537951,-0.2863214314
Brazil,Labor income,-0.3630338609,-0.3647446334,-0.3697583377
Chile,Labor participation,-0.3698886037,-0.258887589,-0.0956345126
Chile,Employment,-0.3992071748,-0.2778961957,-0.1050847992
Chile,Hours worked,-0.1366454214,-0.1231417805,-0.05555510521
Chile,Hourly wage,-0.1175192446,-0.1187039241,-0.2318891436
Chile,Labor income,-0.2863796353,-0.2900832295,-0.2824703753
Colombia,Labor participation,-0.4167005122,-0.2566620409,-0.08074177057
Colombia,Employment,-0.4664021134,-0.3213656545,-0.11246638
Colombia,Hours worked,-0.224769339,-0.1460704356,-0.05653253198
Colombia,Hourly wage,-0.145791918,-0.09545588493,-0.1100194529
Colombia,Labor income,-0.3496615291,-0.228537783,-0.1599871963
Costa Rica,Labor participation,-0.5055575371,-0.2572244108,-0.05591580644
Costa Rica,Employment,-0.5287191868,-0.2876092494,-0.06705629081
Costa Rica,Hours worked,-0.2379273772,-0.1181019992,-0.06726783514
Costa Rica,Hourly wage,-0.07530106604,-0.1529237032,-0.1469208449
Costa Rica,Labor income,-0.318244189,-0.2401543558,-0.226378113
Dominican Rep.,Labor participation,-0.3568020761,-0.2499298304,-0.09226815403
Dominican Rep.,Employment,-0.3981946707,-0.2912251651,-0.1194244698
Dominican Rep.,Hours worked,-0.1447643042,-0.1061292589,-0.0654206425
Dominican Rep.,Hourly wage,-0.2705878913,-0.2405676842,-0.1571226865
Dominican Rep.,Labor income,-0.4110252559,-0.3219498396,-0.2085719556
Ecuador,Labor participation,-0.3882519603,-0.3378585577,-0.1030237451
Ecuador,Employment,-0.3857678175,-0.3445493281,-0.08607400954
Ecuador,Hours worked,-0.2554717362,-0.2020412385,-0.0590422973
Ecuador,Hourly wage,-0.179334566,-0.1484028697,-0.2330164313
Ecuador,Labor income,-0.367068857,-0.2933228016,-0.3457033038
Guatemala,Labor participation,-0.5395656824,-0.2690317631,-0.09644454718
Guatemala,Employment,-0.5378721952,-0.275112927,-0.1141182929
Guatemala,Hours worked,-0.2532025278,-0.1852595508,-0.1632844657
Guatemala,Hourly wage,0.02478636242,-0.0415299125,-0.3554469347
Guatemala,Labor income,-0.3181388676,-0.2895667851,-0.4712572396
Honduras,Labor participation,-0.4690788686,-0.2525655627,-0.07368387282
Honduras,Employment,-0.4856780171,-0.269426018,-0.109562479
Honduras,Hours worked,-0.2367931753,-0.1479291916,-0.1545799524
Honduras,Hourly wage,-0.06609411538,-0.0800800398,-0.1366696656
Honduras,Labor income,-0.2652361095,-0.248317644,-0.234961316
Mexico,Labor participation,-0.372081697,-0.3020753562,-0.144504711
Mexico,Employment,-0.3654038608,-0.2948712409,-0.1401487738
Mexico,Hours worked,-0.2304267138,-0.1886334717,-0.1237511039
Mexico,Hourly wage,-0.1990541816,-0.1114837825,-0.1394112408
Mexico,Labor income,-0.4036443233,-0.3591635823,-0.2649241388
Nicaragua,Labor participation,-0.4180021882,-0.2713906467,-0.09731154144
Nicaragua,Employment,-0.4236146212,-0.2754098475,-0.1166623309
Nicaragua,Hours worked,-0.2257262319,-0.1480800658,-0.05510211736
Nicaragua,Hourly wage,-0.1194811016,-0.07449963689,-0.1593813896
Nicaragua,Labor income,-0.3448005915,-0.2678916752,-0.2939381301
Panama,Labor participation,-0.4461684823,-0.282313168,-0.1114885136
Panama,Employment,-0.4377191961,-0.2962864637,-0.1363316178
Panama,Hours worked,-0.2627033889,-0.08301668614,-0.05653169006
Panama,Hourly wage,-0.1305653006,-0.1243451759,-0.227965191
Panama,Labor income,-0.3837893307,-0.09161212295,-0.2736983299
Peru,Labor participation,-0.1549925804,-0.2211580426,-0.1506755352
Peru,Employment,-0.1610121429,-0.2397613376,-0.1654802859
Peru,Hours worked,-0.1764404923,-0.1698080152,-0.1078617871
Peru,Hourly wage,-0.1889204383,-0.1775452048,-0.1161059588
Peru,Labor income,-0.2901753485,-0.323263526,-0.232217133
Paraguay,Labor participation,-0.3512405157,-0.2654104233,-0.08686163276
