country,year,quintile,gender,value
Latin America,,1,Man,19.19
Latin America,,1,Woman,42.83
Latin America,,2,Man,17.06
Latin America,,2,Woman,40.51
Latin America,,3,Man,16.37
Latin America,,3,Woman,37.78
Latin America,,4,Man,16.26
Latin America,,4,Woman,34.54
Latin America,,5,Man,16.29
Latin America,,5,Woman,31.30
Argentina,2013,1,Man,26.85
Argentina,2013,1,Woman,60.08
Argentina,2013,2,Man,25.80
Argentina,2013,2,Woman,55.27
Argentina,2013,3,Man,24.42
Argentina,2013,3,Woman,47.66
Argentina,2013,4,Man,23.16
Argentina,2013,4,Woman,40.46
Argentina,2013,5,Man,20.88
Argentina,2013,5,Woman,31.69
Brazil,2019,1,Man,13.76
Brazil,2019,1,Woman,25.83
Brazil,2019,2,Man,12.23
Brazil,2019,2,Woman,24.49
Brazil,2019,3,Man,12.65
Brazil,2019,3,Woman,22.74
Brazil,2019,4,Man,11.87
Brazil,2019,4,Woman,21.44
Brazil,2019,5,Man,11.59
Brazil,2019,5,Woman,19.12
Chile,2015,1,Man,21.11
Chile,2015,1,Woman,47.78
Chile,2015,2,Man,19.62
Chile,2015,2,Woman,43.97
Chile,2015,3,Man,19.88
Chile,2015,3,Woman,43.49
Chile,2015,4,Man,19.73
Chile,2015,4,Woman,38.76
Chile,2015,5,Man,20.47
Chile,2015,5,Woman,38.48
Colombia,2021,1,Man,17.80
Colombia,2021,1,Woman,36.85
Colombia,2021,2,Man,17.28
Colombia,2021,2,Woman,39.06
Colombia,2021,3,Man,17.07
Colombia,2021,3,Woman,38.07
Colombia,2021,4,Man,16.43
Colombia,2021,4,Woman,34.46
Colombia,2021,5,Man,16.48
Colombia,2021,5,Woman,29.69
Costa Rica,2022,1,Man,18.50
Costa Rica,2022,1,Woman,41.60
Costa Rica,2022,2,Man,17.70
Costa Rica,2022,2,Woman,37.30
Costa Rica,2022,3,Man,16.80
Costa Rica,2022,3,Woman,34.50
Costa Rica,2022,4,Man,17.50
Costa Rica,2022,4,Woman,31.40
Costa Rica,2022,5,Man,20.10
Costa Rica,2022,5,Woman,30.40
Ecuador,2012,1,Man,12.72
Ecuador,2012,1,Woman,41.77
Ecuador,2012,2,Man,10.42
Ecuador,2012,2,Woman,41.81
Ecuador,2012,3,Man,9.90
Ecuador,2012,3,Woman,39.03
Ecuador,2012,4,Man,10.42
Ecuador,2012,4,Woman,35.71
Ecuador,2012,5,Man,11.58
Ecuador,2012,5,Woman,32.77
El Salvador,2017,1,Man,23.32
El Salvador,2017,1,Woman,46.77
El Salvador,2017,2,Man,22.90
El Salvador,2017,2,Woman,42.29
El Salvador,2017,3,Man,20.79
El Salvador,2017,3,Woman,38.50
El Salvador,2017,4,Man,20.00
El Salvador,2017,4,Woman,36.70
El Salvador,2017,5,Man,19.29
El Salvador,2017,5,Woman,32.41
Guatemala,2022,1,Man,19.10
Guatemala,2022,1,Woman,47.70
Guatemala,2022,2,Man,16.40
Guatemala,2022,2,Woman,47.10
Guatemala,2022,3,Man,14.00
Guatemala,2022,3,Woman,45.20
Guatemala,2022,4,Man,14.00
Guatemala,2022,4,Woman,42.90
Guatemala,2022,5,Man,16.90
Guatemala,2022,5,Woman,39.70
Honduras,2009,1,Man,12.06
Honduras,2009,1,Woman,32.78
Honduras,2009,2,Man,13.36
Honduras,2009,2,Woman,31.86
Honduras,2009,3,Man,14.12
Honduras,2009,3,Woman,31.84
Honduras,2009,4,Man,15.03
Honduras,2009,4,Woman,30.16
Honduras,2009,5,Man,14.92
Honduras,2009,5,Woman,27.35
Mexico,2019,1,Man,18.33
Mexico,2019,1,Woman,49.32
Mexico,2019,2,Man,16.12
Mexico,2019,2,Woman,45.90
Mexico,2019,3,Man,16.29
Mexico,2019,3,Woman,41.64
Mexico,2019,4,Man,18.15
Mexico,2019,4,Woman,38.13
Mexico,2019,5,Man,17.36
Mexico,2019,5,Woman,37.94
Paraguay,2016,1,Man,20.61
Paraguay,2016,1,Woman,32.04
Paraguay,2016,2,Man,13.65
Paraguay,2016,2,Woman,32.26
Paraguay,2016,3,Man,11.44
Paraguay,2016,3,Woman,30.39
Paraguay,2016,4,Man,9.87
Paraguay,2016,4,Woman,26.51
Paraguay,2016,5,Man,10.47
Paraguay,2016,5,Woman,24.52
Peru,2010,1,Man,22.38
Peru,2010,1,Woman,46.78
Peru,2010,2,Man,17.90
Peru,2010,2,Woman,44.31
Peru,2010,3,Man,15.21
Peru,2010,3,Woman,40.79
Peru,2010,4,Man,14.62
Peru,2010,4,Woman,36.32
Peru,2010,5,Man,14.31
Peru,2010,5,Woman,32.50
Uruguay,2013,1,Man,22.86
Uruguay,2013,1,Woman,47.54
Uruguay,2013,2,Man,18.44
Uruguay,2013,2,Woman,41.01
Uruguay,2013,3,Man,20.27
Uruguay,2013,3,Woman,37.35
Uruguay,2013,4,Man,20.56
Uruguay,2013,4,Woman,36.10
Uruguay,2013,5,Man,17.47
Uruguay,2013,5,Woman,30.36
