country,q1,q2,q3,q4
OECD,43.97184353,30.25505838,20.20588063,11.08464328
Chile,70.70733199,60.75847119,52.65665612,33.81637721
Uruguay,75.15550767,64.64718492,54.47664426,30.09005378
Mexico,80.96027252,71.55035906,64.14631093,46.37127061
Peru,87.21286443,73.44534806,61.50726616,41.78103851
Colombia,87.50975851,78.4957205,69.91254857,45.60877934
Argentina,88.32058578,80.42483701,70.27181778,51.06364132
Brazil,88.65178313,80.88695211,72.86521179,49.35299144
Panama,96.654325,91.01223904,84.24788005,61.60749542
Paraguay,94.25181037,92.16221574,86.80410163,67.93720343
Guatemala,95.96797061,92.94312062,87.69869092,70.89759246
El Salvador,98.12673967,94.50784333,90.62154943,73.59715091
Dominican Rep.,98.176533,96.08635221,93.90185446,81.13406976
