country,countryCode,indigenous,indigenousStdDev,afroDescendant,afroDescendantStdDev
Peru,PER,-0.2986089,-0.0638866,-0.2406615,-0.1216651
Venezuela,VEN,-0.2238027,-0.0874205,-0.1696569,-0.0694016
Chile,CHL,-0.2007215,-0.0725011,-0.2282035,-0.3228631
Argentina,ARG,-0.1816156,-0.1737137,-0.4330955,-0.2283689
Mexico,MEX,-0.2764949,-0.0557528,-0.2642338,-0.2564212
Ecuador,ECU,-0.3956054,-0.0881629,-0.1872338,-0.1168022
Panama,PAN,-0.6347902,-0.0949504,0.093348,-0.0765365
Brazil,BRA,-0.2009578,-0.1871765,-0.2085571,-0.0663856
Bolivia,BOL,-0.5434931,-0.0584634,-0.5246937,-0.3260424
Colombia,COL,-0.3348669,-0.1119047,-0.1631198,-0.1001361
Paraguay,PRY,-0.3168376,-0.2200246,-0.6313373,-0.2960614
Uruguay,URY,-0.4444734,-0.2326065,-0.3959562,-0.1748568
Dominican Rep.,Dominica,-0.1092575,-0.1363662,-0.1434602,-0.0848783
Costa Rica,CRI,-0.178871,-0.1717592,-0.0036537,-0.2362334
El Salvador,SLV,-0.3106577,-0.1824768,-0.3327392,-0.2403144
Nicaragua,NIC,-0.2554104,-0.2016738,-0.5978744,-0.2576323
Guatemala,GTM,-0.8153368,-0.126001,-0.9482459,-0.6219293
Honduras,HND,-0.4947042,-0.2053257,-0.4161582,-0.3798794
