country,category,low,medium,high
América Latina y el Caribe,Participación laboral,-0.3790389,-0.255173,-0.0956212
América Latina y el Caribe,Empleo,-0.395005,-0.2768045,-0.1090653
América Latina y el Caribe,Horas trabajadas,-0.1981352,-0.1398122,-0.0947324
América Latina y el Caribe,Salario horario,-0.1507351,-0.1371774,-0.1725076
América Latina y el Caribe,Ingreso laboral,-0.344247,-0.2754249,-0.2625363
Argentina,Participación laboral,-0.3482943475,-0.2205141932,-0.06489813328
Argentina,Empleo,-0.3783939481,-0.2514791191,-0.06305220723
Argentina,Horas trabajadas,-0.2400660515,-0.1951083988,-0.1476752907
Argentina,Salario horario,-0.1136886552,-0.1852545291,-0.1401294172
Argentina,Ingreso laboral,-0.4025112987,-0.3551154733,-0.2507779598
Bolivia,Participación laboral,-0.2994828224,-0.3028457463,-0.1543720961
Bolivia,Empleo,-0.3242334127,-0.3382740021,-0.1818307489
Bolivia,Horas trabajadas,-0.1767970026,-0.1417225152,-0.09323418885
Bolivia,Salario horario,-0.1908198148,-0.1502717733,-0.1368071437
Bolivia,Ingreso laboral,-0.3629579544,-0.2875781059,-0.1789186597
Brasil,Participación laboral,-0.3578303456,-0.2172194123,-0.08924160153
Brasil,Empleo,-0.3750277162,-0.2471233606,-0.1045794263
Brasil,Horas trabajadas,-0.1645877957,-0.1030551493,-0.1032366976
Brasil,Salario horario,-0.2051820904,-0.2818537951,-0.2863214314
Brasil,Ingreso laboral,-0.3630338609,-0.3647446334,-0.3697583377
Chile,Participación laboral,-0.3698886037,-0.258887589,-0.0956345126
Chile,Empleo,-0.3992071748,-0.2778961957,-0.1050847992
Chile,Horas trabajadas,-0.1366454214,-0.1231417805,-0.05555510521
Chile,Salario horario,-0.1175192446,-0.1187039241,-0.2318891436
Chile,Ingreso laboral,-0.2863796353,-0.2900832295,-0.2824703753
Colombia,Participación laboral,-0.4167005122,-0.2566620409,-0.08074177057
Colombia,Empleo,-0.4664021134,-0.3213656545,-0.11246638
Colombia,Horas trabajadas,-0.224769339,-0.1460704356,-0.05653253198
Colombia,Salario horario,-0.145791918,-0.09545588493,-0.1100194529
Colombia,Ingreso laboral,-0.3496615291,-0.228537783,-0.1599871963
Costa Rica,Participación laboral,-0.5055575371,-0.2572244108,-0.05591580644
Costa Rica,Empleo,-0.5287191868,-0.2876092494,-0.06705629081
Costa Rica,Horas trabajadas,-0.2379273772,-0.1181019992,-0.06726783514
Costa Rica,Salario horario,-0.07530106604,-0.1529237032,-0.1469208449
Costa Rica,Ingreso laboral,-0.318244189,-0.2401543558,-0.226378113
Rep. Dominicana,Participación laboral,-0.3568020761,-0.2499298304,-0.09226815403
Rep. Dominicana,Empleo,-0.3981946707,-0.2912251651,-0.1194244698
Rep. Dominicana,Horas trabajadas,-0.1447643042,-0.1061292589,-0.0654206425
Rep. Dominicana,Salario horario,-0.2705878913,-0.2405676842,-0.1571226865
Rep. Dominicana,Ingreso laboral,-0.4110252559,-0.3219498396,-0.2085719556
