month,mothers,fathers
-60,0.025454545,-0.092771084
-59,0.025454545,-0.087951807
-58,0.023636364,-0.090361446
-57,0.021818182,-0.090361446
-56,0.018181818,-0.091566265
-55,0.014545455,-0.093975904
-54,0.009090909,-0.086746988
-53,0.02,-0.086746988
-52,0.023636364,-0.093975904
-51,0.012727273,-0.077108434
-50,0.010909091,-0.078313253
-49,0.021818182,-0.077108434
-48,0.018181818,-0.079518072
-47,0.02,-0.079518072
-46,0.02,-0.078313253
-45,0.023636364,-0.075903614
-44,0.027272727,-0.073493976
-43,0.034545455,-0.074698795
-42,0.041818182,-0.075903614
-41,0.041818182,-0.074698795
-40,0.036363636,-0.068674699
-39,0.032727273,-0.062650602
-38,0.029090909,-0.060240964
-37,0.030909091,-0.056626506
-36,0.032727273,-0.053012048
-35,0.029090909,-0.054216867
-34,0.036363636,-0.060240964
-33,0.029090909,-0.060240964
-32,0.030909091,-0.053012048
-31,0.025454545,-0.044578313
-30,0.02,-0.038554217
-29,0.018181818,-0.03373494
-28,0.018181818,-0.036144578
-27,0.02,-0.037349398
-26,0.029090909,-0.039759036
-25,0.027272727,-0.036144578
-24,0.027272727,-0.037349398
-23,0.023636364,-0.027710843
-22,0.023636364,-0.025301205
-21,0.007272727,-0.026506024
-20,0.005454545,-0.024096386
-19,-0.003636364,-0.024096386
-18,-0.003636364,-0.022891566
-17,-0.003636364,-0.020481928
-16,-0.007272727,-0.020481928
-15,-0.007272727,-0.014457831
-14,-0.003636364,-0.010843373
-13,0,-0.003614458
-12,0,0
-11,-0.007272727,-0.001204819
-10,-0.018181818,0.004819277
-9,-0.038181818,0.004819277
-8,-0.054545455,0.008433735
-7,-0.070909091,0.007228916
-6,-0.089090909,0.010843373
-5,-0.103636364,0.013253012
-4,-0.114545455,0.010843373
-3,-0.132727273,0.01686747
-2,-0.154545455,0.014457831
-1,-0.172727273,0.015662651
0,-0.192727273,0.026506024
1,-0.194545455,0.025301205
2,-0.2,0.026506024
3,-0.207272727,0.025301205
4,-0.218181818,0.022891566
5,-0.22,0.01686747
6,-0.218181818,0.020481928
7,-0.225454545,0.018072289
8,-0.22,0.021686747
9,-0.229090909,0.022891566
10,-0.227272727,0.022891566
11,-0.238181818,0.019277108
12,-0.243636364,0.019277108
13,-0.243636364,0.019277108
14,-0.238181818,0.019277108
15,-0.230909091,0.024096386
16,-0.229090909,0.020481928
17,-0.221818182,0.024096386
18,-0.221818182,0.028915663
19,-0.22,0.026506024
20,-0.22,0.027710843
21,-0.218181818,0.028915663
22,-0.234545455,0.025301205
23,-0.236363636,0.028915663
24,-0.236363636,0.031325301
25,-0.238181818,0.027710843
26,-0.24,0.027710843
27,-0.234545455,0.030120482
28,-0.223636364,0.030120482
29,-0.210909091,0.028915663
30,-0.207272727,0.028915663
31,-0.201818182,0.024096386
32,-0.2,0.020481928
33,-0.210909091,0.014457831
34,-0.209090909,0.020481928
35,-0.210909091,0.026506024
36,-0.214545455,0.026506024
37,-0.203636364,0.025301205
38,-0.210909091,0.024096386
39,-0.205454545,0.022891566
40,-0.205454545,0.021686747
41,-0.203636364,0.015662651
42,-0.210909091,0.014457831
43,-0.214545455,0.019277108
44,-0.209090909,0.022891566
45,-0.218181818,0.019277108
46,-0.22,0.018072289
47,-0.218181818,0.013253012
48,-0.221818182,0.012048193
49,-0.223636364,0.013253012
50,-0.225454545,0.012048193
51,-0.232727273,0.014457831
52,-0.229090909,0.020481928
53,-0.238181818,0.020481928
54,-0.241818182,0.020481928
55,-0.232727273,0.024096386
56,-0.227272727,0.028915663
57,-0.238181818,0.026506024
58,-0.230909091,0.028915663
59,-0.234545455,0.021686747
60,-0.236363636,0.022891566
61,-0.236363636,0.024096386
62,-0.241818182,0.01686747
63,-0.238181818,0.019277108
64,-0.225454545,0.021686747
65,-0.221818182,0.024096386
66,-0.221818182,0.021686747
67,-0.22,0.026506024
68,-0.227272727,0.014457831
69,-0.225454545,0.009638554
70,-0.221818182,0.006024096
71,-0.232727273,0.007228916
72,-0.22,0.009638554
73,-0.214545455,0.013253012
74,-0.209090909,0.015662651
75,-0.205454545,0.014457831
76,-0.212727273,0.008433735
77,-0.225454545,0.002409639
78,-0.229090909,0.006024096
79,-0.229090909,0.003614458
80,-0.227272727,0.009638554
81,-0.22,0.012048193
82,-0.229090909,0.006024096
83,-0.22,0.008433735
84,-0.221818182,0.007228916
85,-0.207272727,0.006024096
86,-0.210909091,0.010843373
87,-0.201818182,0.009638554
88,-0.198181818,0.003614458
89,-0.210909091,0.007228916
90,-0.216363636,0.009638554
91,-0.216363636,0.008433735
92,-0.218181818,0.014457831
93,-0.218181818,0.021686747
94,-0.210909091,0.020481928
95,-0.214545455,0.021686747
96,-0.198181818,0.019277108
97,-0.190909091,0.019277108
98,-0.192727273,0.021686747
99,-0.189090909,0.019277108
100,-0.203636364,0.018072289
101,-0.225454545,0.021686747
102,-0.223636364,0.01686747
103,-0.209090909,0.01686747
104,-0.207272727,0.014457831
105,-0.203636364,0.01686747
106,-0.203636364,0.018072289
107,-0.203636364,0.021686747
108,-0.198181818,0.026506024
109,-0.189090909,0.024096386
110,-0.185454545,0.025301205
111,-0.178181818,0.024096386
112,-0.181818182,0.020481928
113,-0.192727273,0.020481928
114,-0.2,0.025301205
115,-0.185454545,0.022891566
116,-0.183636364,0.019277108
117,-0.174545455,0.025301205
118,-0.167272727,0.026506024
119,-0.167272727,0.025301205
