month,mothers,fathers
-60,0.082352941,0.194736842
-59,0.135294118,0.2
-58,0.088235294,0.236842105
-57,0.023529412,0.178947368
-56,0.052941176,0.131578947
-55,0.070588235,0.073684211
-54,0.005882353,0.063157895
-53,0,0.052631579
-52,0.029411765,0.057894737
-51,-0.011764706,0.026315789
-50,-0.041176471,0.052631579
-49,-0.023529412,0.057894737
-48,-0.041176471,0.047368421
-47,0.023529412,0.063157895
-46,-0.005882353,0.047368421
-45,0,0.052631579
-44,0.005882353,0.052631579
-43,-0.011764706,0.021052632
-42,-0.017647059,0.042105263
-41,-0.017647059,0.042105263
-40,0,0.021052632
-39,-0.011764706,0.005263158
-38,-0.047058824,0
-37,-0.047058824,0.021052632
-36,0.035294118,0.057894737
-35,0,0.047368421
-34,0.029411765,0.063157895
-33,-0.011764706,0.057894737
-32,0.023529412,0.052631579
-31,0.035294118,0.026315789
-30,0.017647059,0.015789474
-29,0,0.015789474
-28,0.023529412,0.021052632
-27,0.017647059,0.015789474
-26,0,0.010526316
-25,-0.005882353,-0.005263158
-24,-0.035294118,-0.021052632
-23,-0.052941176,-0.036842105
-22,-0.058823529,-0.031578947
-21,-0.070588235,-0.052631579
-20,-0.070588235,-0.026315789
-19,-0.088235294,-0.026315789
-18,-0.117647059,-0.036842105
-17,-0.123529412,-0.042105263
-16,-0.1,-0.052631579
-15,-0.058823529,-0.031578947
-14,-0.029411765,-0.015789474
-13,-0.005882353,-0.005263158
-12,0,0
-11,0.005882353,0.015789474
-10,-0.029411765,0.026315789
-9,-0.041176471,0.021052632
-8,-0.058823529,0.015789474
-7,-0.064705882,0.010526316
-6,-0.094117647,0.015789474
-5,-0.094117647,0.021052632
-4,-0.082352941,0.010526316
-3,-0.105882353,0.031578947
-2,-0.129411765,0.010526316
-1,-0.123529412,-0.010526316
0,-0.129411765,0.010526316
1,-0.129411765,-0.005263158
2,-0.111764706,0
3,-0.111764706,0.005263158
4,-0.082352941,0.010526316
5,-0.058823529,0.005263158
6,-0.017647059,-0.010526316
7,0.005882353,-0.021052632
8,0,-0.015789474
9,-0.005882353,-0.021052632
10,0.011764706,-0.031578947
11,0.052941176,-0.021052632
12,0.076470588,0
13,0.047058824,0
14,0.088235294,-0.005263158
15,0.147058824,-0.010526316
16,0.158823529,0.005263158
17,0.158823529,-0.005263158
18,0.188235294,-0.010526316
19,0.229411765,0
20,0.223529412,-0.010526316
21,0.223529412,-0.010526316
22,0.223529412,0
23,0.241176471,-0.015789474
24,0.247058824,-0.010526316
25,0.241176471,-0.005263158
26,0.258823529,-0.021052632
27,0.252941176,-0.031578947
28,0.252941176,-0.042105263
29,0.252941176,-0.031578947
30,0.229411765,-0.021052632
31,0.235294118,0
32,0.217647059,-0.005263158
33,0.235294118,0.005263158
34,0.241176471,0.010526316
35,0.2,0.010526316
36,0.235294118,0
37,0.223529412,-0.010526316
38,0.235294118,0.005263158
39,0.258823529,0
40,0.258823529,0.010526316
41,0.241176471,-0.005263158
42,0.241176471,-0.005263158
43,0.264705882,0.015789474
44,0.235294118,0.026315789
45,0.241176471,0.015789474
46,0.229411765,0
47,0.241176471,-0.005263158
48,0.229411765,-0.010526316
49,0.205882353,-0.021052632
50,0.2,-0.010526316
51,0.188235294,-0.015789474
52,0.188235294,-0.015789474
53,0.182352941,-0.005263158
54,0.188235294,-0.005263158
55,0.229411765,-0.010526316
56,0.235294118,-0.021052632
57,0.247058824,-0.057894737
58,0.223529412,-0.031578947
59,0.223529412,-0.047368421
60,0.229411765,-0.042105263
61,0.270588235,-0.031578947
62,0.258823529,-0.005263158
63,0.223529412,-0.010526316
64,0.205882353,-0.031578947
65,0.194117647,-0.021052632
66,0.211764706,-0.005263158
67,0.223529412,0
68,0.282352941,-0.005263158
69,0.241176471,-0.010526316
70,0.235294118,0.005263158
71,0.205882353,0.010526316
72,0.235294118,-0.031578947
73,0.258823529,-0.021052632
74,0.264705882,-0.042105263
75,0.282352941,-0.042105263
76,0.294117647,-0.047368421
77,0.282352941,-0.047368421
78,0.3,-0.031578947
79,0.341176471,-0.026315789
80,0.347058824,-0.026315789
81,0.317647059,-0.010526316
82,0.329411765,0.005263158
83,0.323529412,0.010526316
84,0.3,0.036842105
85,0.294117647,0.026315789
86,0.3,0.031578947
87,0.3,0.005263158
88,0.294117647,-0.047368421
89,0.294117647,-0.036842105
90,0.288235294,-0.031578947
91,0.323529412,0.015789474
92,0.311764706,0.015789474
93,0.323529412,-0.005263158
94,0.358823529,0
95,0.341176471,0.010526316
96,0.341176471,-0.015789474
97,0.335294118,-0.005263158
98,0.358823529,0.010526316
99,0.352941176,0.031578947
100,0.317647059,0.021052632
101,0.311764706,0.021052632
102,0.282352941,0.036842105
103,0.282352941,0.026315789
104,0.282352941,0.052631579
105,0.317647059,0.026315789
106,0.311764706,0.005263158
107,0.317647059,0.010526316
108,0.323529412,0.005263158
109,0.347058824,0.015789474
110,0.347058824,-0.010526316
111,0.323529412,-0.021052632
112,0.347058824,-0.047368421
113,0.370588235,-0.063157895
114,0.405882353,-0.042105263
115,0.335294118,-0.015789474
116,0.311764706,-0.031578947
117,0.317647059,-0.031578947
118,0.282352941,-0.021052632
119,0.282352941,-0.026315789
