country,year,ageGroup0To14,ageGroup15To24,ageGroup25To34,ageGroup35To44,ageGroup45To54,ageGroup55To64,ageGroup65Plus,total
América Latina,2001,58.00,42.50,39.80,39.00,33.10,31.00,29.40,44.10
América Latina,2002,59.40,44.50,41.00,40.20,34.10,32.10,30.40,45.40
América Latina,2003,60.20,45.00,41.60,40.60,33.90,31.50,29.80,45.60
América Latina,2004,57.40,41.80,39.30,37.30,30.80,28.60,26.60,42.60
América Latina,2005,54.70,39.50,36.60,35.20,28.50,26.50,24.40,40.00
América Latina,2006,50.80,35.20,32.50,31.00,24.60,21.60,21.10,35.80
América Latina,2007,49.80,34.00,31.70,30.00,23.60,20.90,20.70,34.80
América Latina,2008,48.60,32.90,30.10,29.70,22.60,20.30,19.80,33.50
América Latina,2009,47.50,32.30,29.10,28.70,22.00,19.40,19.00,32.50
América Latina,2010,45.90,31.60,28.40,27.80,21.80,19.20,18.60,31.50
América Latina,2011,44.90,30.70,27.10,26.80,20.90,18.10,17.80,30.30
América Latina,2012,42.90,29.10,25.30,25.60,19.60,17.30,17.30,28.60
América Latina,2013,42.90,29.00,25.40,25.10,19.60,17.10,16.70,28.40
América Latina,2014,41.80,28.90,24.70,24.70,19.40,16.20,15.90,27.70
América Latina,2015,43.50,30.80,26.40,26.00,20.50,17.00,15.80,28.90
América Latina,2016,44.30,31.90,27.00,26.90,21.60,17.70,15.90,29.80
América Latina,2017,44.40,32.20,27.50,26.90,21.90,18.00,15.80,29.90
América Latina,2018,44.10,32.30,27.30,26.90,21.70,18.30,16.20,29.70
América Latina,2019,44.50,33.00,28.20,27.30,22.30,19.00,16.70,30.20
América Latina,2020,46.50,36.30,30.70,30.50,26.40,22.20,17.40,32.80
América Latina,2021,46.80,36.10,30.60,30.00,25.70,21.50,16.70,32.40
América Latina,2022,43.20,31.80,26.80,26.40,22.00,18.70,15.10,28.80
América Latina,2023,41.40,30.00,25.30,24.90,20.50,17.60,14.70,27.30
Bolivia,2001,73.60,58.80,57.30,58.10,58.00,56.50,55.00,64.00
Bolivia,2002,75.60,62.90,58.90,65.10,59.00,56.40,56.60,66.80
Bolivia,2004,75.60,61.00,59.30,61.00,58.30,57.00,50.90,65.70
Bolivia,2005,76.80,64.20,60.70,67.10,58.40,55.00,45.40,66.60
Bolivia,2006,74.30,60.40,55.90,62.90,57.00,47.60,44.00,63.50
Bolivia,2007,69.80,56.10,50.50,58.00,49.60,52.30,53.30,59.40
Bolivia,2008,58.40,41.00,41.00,41.70,38.20,40.30,35.00,46.50
Bolivia,2009,52.10,37.70,35.00,40.40,36.90,35.20,31.70,42.00
Bolivia,2011,47.20,31.70,29.60,34.50,30.40,26.60,28.30,36.30
Bolivia,2012,46.40,30.70,28.40,33.80,28.10,29.60,35.10,35.90
Bolivia,2013,44.70,30.90,24.60,31.90,30.80,26.30,33.40,34.30
Bolivia,2014,43.70,29.70,26.50,30.50,28.50,26.50,32.00,33.70
Bolivia,2015,45.90,31.50,29.00,31.10,26.70,27.80,30.60,34.70
Bolivia,2016,45.40,33.10,26.00,31.70,29.50,27.60,33.40,35.10
Bolivia,2017,45.80,31.90,26.10,31.10,28.60,27.90,37.00,34.90
Bolivia,2018,44.80,29.90,25.60,29.20,27.10,26.00,31.70,33.10
Bolivia,2019,42.60,29.30,26.30,27.80,22.70,20.40,23.30,30.90
Bolivia,2020,43.30,31.60,27.30,28.80,26.60,24.70,26.20,32.30
Bolivia,2021,41.10,26.70,23.50,26.80,21.30,18.30,23.70,29.00
Brasil,2001,54.90,38.10,36.20,32.50,26.80,22.70,16.80,38.40
Brasil,2002,54.70,38.10,35.20,32.30,25.80,22.60,16.20,37.80
Brasil,2003,56.70,39.30,37.00,33.70,26.20,22.30,15.80,38.80
Brasil,2004,54.40,37.40,34.90,31.60,25.00,20.20,14.20,36.80
Brasil,2005,52.20,35.00,32.20,30.20,22.50,18.10,12.20,34.40
Brasil,2006,46.40,30.10,27.20,25.00,18.80,13.60,7.30,29.10
Brasil,2007,45.00,28.50,26.00,24.00,18.00,13.40,7.80,27.80
Brasil,2008,42.30,26.00,23.70,22.20,15.90,11.70,6.30,25.30
Brasil,2009,40.30,24.50,22.40,20.70,15.10,10.60,6.00,23.80
Brasil,2011,36.30,22.30,19.40,18.70,13.50,9.80,5.60,21.00
Brasil,2012,32.70,19.90,16.90,16.20,12.00,8.70,4.50,18.50
Brasil,2013,32.10,19.70,16.90,15.60,12.10,8.70,4.30,18.10
Brasil,2014,30.30,18.00,15.40,14.60,10.90,7.00,3.60,16.50
Brasil,2015,33.80,21.90,18.00,17.20,12.80,8.10,3.70,18.80
Brasil,2016,35.50,24.70,19.30,18.70,14.70,9.70,4.20,20.90
Brasil,2017,35.60,25.10,20.00,18.90,15.70,10.50,4.20,21.20
Brasil,2018,34.30,24.80,19.10,18.10,14.80,10.00,4.10,20.40
Brasil,2019,34.10,24.70,19.40,17.90,14.50,10.50,4.10,20.20
Brasil,2020,29.70,22.80,16.70,16.80,13.80,11.10,5.40,18.40
Brasil,2021,38.90,29.80,23.20,22.70,19.40,14.60,6.30,24.30
Brasil,2022,33.10,23.80,18.10,17.40,15.00,12.00,5.10,19.50
Brasil,2023,28.60,19.70,14.90,14.40,11.80,9.00,3.80,16.10
Chile,2000,54.40,45.10,40.60,42.60,33.40,28.70,26.70,42.80
Chile,2003,52.70,42.40,36.30,40.40,31.60,26.60,23.80,40.00
Chile,2006,48.80,38.00,31.10,36.40,28.00,23.10,23.60,35.60
Chile,2009,40.60,32.70,24.70,27.60,23.60,19.10,15.10,28.50
Chile,2011,38.60,27.70,20.30,25.20,18.70,15.80,12.20,24.80
Chile,2013,25.80,18.30,13.20,14.60,12.20,9.30,7.20,15.80
Chile,2015,21.70,16.60,11.00,12.10,10.00,8.30,5.50,13.20
Chile,2017,18.30,13.40,9.10,10.20,7.90,6.30,4.30,10.70
Chile,2020,19.90,17.50,12.40,12.70,12.90,12.90,6.10,13.90
Chile,2022,13.60,10.00,7.00,7.50,6.70,6.90,2.90,8.10
Colombia,2002,66.50,52.70,49.60,48.10,41.50,40.80,45.50,53.80
Colombia,2003,65.30,51.20,48.00,46.40,38.90,41.00,44.90,52.40
Colombia,2004,66.00,50.80,48.40,46.40,39.20,39.20,43.70,52.30
Colombia,2005,63.40,48.50,45.60,43.70,36.70,36.20,40.40,49.60
Colombia,2008,58.80,44.60,38.80,40.20,32.20,31.00,36.20,44.60
Colombia,2009,57.30,44.00,37.10,39.20,31.20,29.70,34.80,43.20
Colombia,2010,52.60,40.00,34.00,35.60,29.50,27.40,33.30,39.30
Colombia,2011,49.50,36.20,30.70,32.30,26.50,25.20,30.00,36.00
Colombia,2012,48.00,34.90,29.40,30.60,25.30,23.90,29.30,34.50
Colombia,2013,45.50,32.70,27.50,28.50,23.70,22.80,26.40,32.30
Colombia,2014,43.00,30.50,24.80,26.50,21.80,20.30,24.80,29.90
Colombia,2015,42.60,30.30,24.80,26.20,21.60,20.00,23.90,29.50
Colombia,2016,43.10,30.30,26.00,25.80,21.90,20.10,23.70,29.70
Colombia,2017,42.10,29.60,24.40,25.70,20.50,18.80,22.10,28.60
Colombia,2018,42.30,30.00,24.90,25.30,20.50,18.60,21.90,28.60
Colombia,2019,44.30,32.10,26.50,26.90,22.50,20.80,23.10,30.40
Colombia,2020,52.40,41.10,35.40,35.50,31.30,28.20,27.30,38.40
Colombia,2021,49.20,36.60,30.20,30.90,25.90,22.40,22.90,33.80
Colombia,2022,50.20,37.40,30.30,30.40,26.20,23.70,26.50,34.50
Colombia,2023,48.10,35.00,28.60,29.00,24.30,22.40,26.00,32.70
Costa Rica,2001,37.60,22.80,24.00,23.60,18.00,23.00,31.50,27.70
Costa Rica,2002,37.40,24.90,24.20,23.80,18.30,22.80,31.40,28.00
Costa Rica,2003,34.60,20.50,19.70,21.30,15.60,21.10,28.00,24.60
Costa Rica,2004,38.30,24.50,23.70,23.90,18.20,20.60,30.60,27.70
Costa Rica,2005,36.30,20.80,21.70,21.80,16.10,18.50,29.00,25.30
Costa Rica,2006,35.70,20.70,21.00,20.80,16.10,19.30,29.40,24.80
Costa Rica,2007,30.50,16.90,16.20,18.10,13.70,13.40,25.40,20.50
Costa Rica,2008,30.70,17.40,16.50,17.60,12.80,13.10,21.10,20.10
Costa Rica,2009,32.90,19.40,17.90,19.40,14.20,13.70,19.40,21.40
Costa Rica,2010,30.40,18.40,16.20,18.10,12.20,11.30,11.10,19.00
Costa Rica,2011,32.30,18.40,16.50,18.00,13.50,11.00,11.00,19.40
Costa Rica,2012,31.00,18.90,15.50,16.80,13.10,12.50,9.00,18.60
Costa Rica,2013,30.20,18.70,16.20,16.70,12.90,10.00,8.80,18.10
Costa Rica,2014,29.60,17.90,14.80,15.60,13.00,11.10,10.20,17.50
Costa Rica,2015,28.60,17.90,14.70,15.80,12.20,11.10,9.70,17.30
Costa Rica,2016,28.00,16.60,14.10,15.00,11.70,11.00,7.80,16.50
Costa Rica,2017,27.20,14.70,14.40,13.30,10.60,9.90,7.60,15.40
Costa Rica,2018,29.00,16.20,14.70,13.70,11.10,9.90,8.10,16.10
Costa Rica,2019,28.80,17.70,14.80,13.80,11.30,10.40,9.20,16.50
Costa Rica,2020,32.50,21.90,18.20,18.10,15.10,12.40,9.40,19.40
Costa Rica,2021,31.70,19.40,15.60,15.70,12.30,11.30,7.30,17.30
Costa Rica,2022,30.90,19.50,14.40,15.40,11.70,10.10,7.70,16.60
Costa Rica,2023,31.20,17.80,14.20,15.10,10.30,9.70,7.70,15.90
Rep. Dominicana,2001,43.30,28.10,26.80,28.10,22.60,25.20,26.20,32.30
Rep. Dominicana,2002,44.40,30.60,27.80,27.20,25.10,28.80,28.50,33.60
Rep. Dominicana,2003,52.50,36.50,35.20,33.80,30.70,35.30,35.90,40.60
Rep. Dominicana,2004,62.00,47.40,44.10,44.40,41.00,40.10,42.90,50.00
Rep. Dominicana,2005,57.10,42.50,39.70,39.70,33.20,37.10,38.80,44.90
Rep. Dominicana,2006,53.50,39.80,37.00,35.10,31.60,34.30,41.60,42.10
Rep. Dominicana,2007,52.20,36.70,34.80,33.80,28.10,31.40,37.70,39.70
Rep. Dominicana,2008,55.00,37.80,37.40,34.60,30.40,35.20,36.60,41.60
Rep. Dominicana,2009,52.40,37.80,35.00,32.60,27.70,32.00,33.50,39.40
Rep. Dominicana,2010,53.30,38.20,35.00,34.90,29.20,29.00,34.90,40.00
Rep. Dominicana,2011,53.20,37.50,35.00,34.40,29.90,26.90,31.10,39.20
Rep. Dominicana,2012,51.80,37.20,35.00,33.90,25.40,27.80,30.00,38.30
Rep. Dominicana,2013,51.60,37.60,34.40,34.10,27.20,26.60,27.80,38.10
Rep. Dominicana,2014,45.00,35.60,27.70,27.70,23.60,23.20,25.90,32.90
Rep. Dominicana,2015,44.60,28.80,26.80,25.60,18.20,19.00,21.90,29.60
Rep. Dominicana,2016,40.90,25.50,25.10,23.10,16.00,15.50,15.90,26.70
Rep. Dominicana,2017,36.60,23.90,21.80,19.80,14.00,12.30,12.60,23.50
Rep. Dominicana,2018,34.10,20.90,18.90,17.00,11.40,10.80,11.30,20.90
Rep. Dominicana,2019,32.00,18.00,18.10,16.50,9.50,8.10,9.70,19.00
Rep. Dominicana,2020,36.50,21.50,23.00,19.90,11.40,8.10,8.00,21.80
Rep. Dominicana,2021,36.90,23.10,22.00,20.00,12.00,10.30,9.60,22.50
Rep. Dominicana,2022,33.70,20.60,19.80,18.20,11.30,8.80,9.10,20.40
Rep. Dominicana,2023,30.90,17.80,17.80,15.80,9.60,8.80,8.40,18.20
Ecuador,2001,63.30,50.50,47.80,48.70,43.70,45.60,52.20,53.50
Ecuador,2003,59.90,44.10,44.40,44.20,36.90,39.10,46.00,48.70
Ecuador,2005,52.30,36.90,35.00,37.30,29.30,30.40,35.90,40.40
Ecuador,2006,47.00,32.10,30.40,32.30,25.90,25.70,32.30,35.60
Ecuador,2007,46.40,31.10,32.10,31.90,24.80,25.10,31.00,35.20
Ecuador,2008,46.50,31.40,30.70,30.90,25.10,25.20,30.60,34.70
Ecuador,2009,48.30,32.60,31.30,34.00,26.30,24.10,29.90,35.60
Ecuador,2010,45.10,30.60,27.40,32.10,24.40,22.60,26.70,32.70
