countryYear,q1,q5,average
Argentina 2000,32.347319,62.221407,43.604537
Argentina 2010,93.095871,99.046201,96.031463
Argentina 2018,95.672538,99.573962,97.410249
Argentina 2022,95.5,99.6,97.5
,,,
Bolivia 2000,41.99954,72.397009,45.936277
Bolivia 2010,33.567141,51.143942,41.411054
Bolivia 2018,47.897382,62.944521,55.092749
Bolivia 2022,58.166057,64.904606,62.076459
,,,
Brasil 2000,35.444806,72.991855,44.94939
Brasil 2010,57.625504,84.323896,66.24252
Brasil 2018,93.099448,98.079353,95.501171
Brasil 2022,91.315759,98.914712,95.058205
,,,
Chile 2000,36.814018,68.031154,46.147869
Chile 2010,69.511604,75.861413,72.088965
Chile 2018,75.277683,84.817918,78.69126
Chile 2022,68.903916,84.840237,74.73014
,,,
Colombia 2000,55.752887,89.719238,71.51298
Colombia 2010,74.319511,94.165319,81.101668
Colombia 2018,82.404005,94.594218,88.578369
Colombia 2022,73.900593,93.109507,79.386628
,,,
Costa Rica 2000,26.833704,55.568637,38.102619
Costa Rica 2010,29.472665,63.816191,35.922217
Costa Rica 2018,55.27761,81.227946,59.626732
Costa Rica 2022,57.694798,74.156729,62.047446
,,,
Rep. Dominicana 2000,31.73126,78.441342,52.975786
Rep. Dominicana 2010,64.513248,86.727429,67.073462
Rep. Dominicana 2018,,,
Rep. Dominicana 2022,,,
,,,
Ecuador 2000,22.910239,54.082682,33.1736
Ecuador 2010,82.19679,92.7692,89.93546
Ecuador 2018,83.79903,93.41909,88.28803
Ecuador 2022,71.83023,99.14711,80.34692
,,,
El Salvador 2000,23.458788,70.888424,39.278337
El Salvador 2010,38.165033,72.150107,50.588031
El Salvador 2018,42.03639,67.587673,53.759653
El Salvador 2022,44.59622,64.35051,51.69314
,,,
Guatemala 2000,6.4123637,24.753699,10.848547
Guatemala 2010,15.465773,44.171575,23.77249
Guatemala 2018,,,
Guatemala 2022,,,
,,,
México 2000,,,
México 2010,65.243151,83.023803,71.994758
México 2018,70.993709,85.300228,75.979598
México 2022,74.019327,82.492648,76.025618
,,,
Panamá 2000,51.898904,91.036633,68.724835
Panamá 2010,51.554062,80.382336,60.432972
Panamá 2018,53.148679,82.678002,63.153812
Panamá 2022,42.500719,71.072865,50.456274
,,,
Perú 2000,41.142649,73.743766,50.50633
Perú 2010,62.815479,91.528018,75.756383
Perú 2018,80.90865,90.110864,83.737046
Perú 2022,76.117316,82.477656,79.934464
,,,
Uruguay 2000,48.992962,90.302427,63.704034
Uruguay 2010,68.9,86.5,74.9
Uruguay 2018,83.5,97.4,88.9
Uruguay 2022,,,
