country,cohort,nonUniversity,university
América Latina y el Caribe,1935,1.82,20.1
América Latina y el Caribe,1940,2.96,22.65
América Latina y el Caribe,1945,4.10,25.11
América Latina y el Caribe,1950,5.24,27.57
América Latina y el Caribe,1955,6.38,30.03
América Latina y el Caribe,1960,7.52,32.49
América Latina y el Caribe,1965,8.66,34.96
América Latina y el Caribe,1970,9.80,37.42
América Latina y el Caribe,1975,10.95,39.88
América Latina y el Caribe,1980,12.09,42.34
América Latina y el Caribe,1985,13.23,44.80
América Latina y el Caribe,1990,14.37,47.27
América Latina y el Caribe,1995,15.51,49.73
América Latina y el Caribe,2000,16.65,52.19
América Latina y el Caribe,2005,17.79,54.65
Argentina,1945,9.593495935,37.20930233
Argentina,1946,10.64102564,47.05882353
Argentina,1955,12.08436141,40.69529652
Argentina,1956,13.20112179,44.16775885
Argentina,1966,14.94986592,47.41905209
Argentina,1967,12.60342405,46.39484979
Argentina,1976,11.9706499,42.82945736
Argentina,1977,8.806336036,36.37931034
Argentina,1985,13.10391978,48.99396378
Argentina,1986,11.31184562,44.53125
Bolivia,1951,3.511705686,25
Bolivia,1952,1.591895803,4
Bolivia,1967,6.643835616,32.65306122
Bolivia,1968,4.947433519,20
Bolivia,1976,15.87618572,44.72049689
Bolivia,1977,11.36851137,38.52242744
Bolivia,1987,28.37271347,61.52028079
Bolivia,1988,25.09320417,53.58572937
Brasil,1955,8.405398852,49.5407226
Brasil,1956,6.879452437,38.84087443
Brasil,1966,8.555640186,43.54788366
Brasil,1967,6.925830788,33.26433065
Brasil,1975,8.053243744,43.91781832
Brasil,1976,6.241345975,33.78945981
Brasil,1985,13.23176497,59.15665115
Brasil,1986,10.83570657,50.19899444
Chile,1957,6.107954545,26.66666667
Chile,1958,3.855140187,20
Chile,1967,4.856512141,20
Chile,1968,5.612244898,33.92857143
Chile,1977,11.99677939,36.11111111
Chile,1978,7.836570663,32.0754717
Chile,1992,18.37044534,41.78571429
Chile,1993,14.98386353,34.375
Colombia,1948,6.119439666,29.72972973
Colombia,1949,6.342687657,39.375
Colombia,1960,11.5603206,47.94138172
Colombia,1961,9.322370396,43.9378103
Colombia,1968,1.554674457,9.960159363
Colombia,1969,1.527524258,4.782608696
Colombia,1980,20.19375995,66.65509778
Colombia,1981,16.96637284,60.16182822
Costa Rica,1948,6.756756757,42.85714286
Costa Rica,1949,6.172839506,37.5
Costa Rica,1959,9.278350515,55
Costa Rica,1960,12.33480176,47.82608696
Costa Rica,1975,18.26484018,54.76190476
Costa Rica,1976,14.22413793,71.73913043
Costa Rica,1986,11.15241636,54.38596491
Costa Rica,1987,6.41509434,30.43478261
Rep. Dominicana,1956,6.579693704,43.90934844
Rep. Dominicana,1957,5.424696645,41.17647059
Rep. Dominicana,1985,15.43392505,51.74418605
Rep. Dominicana,1986,14.46111869,46.55172414
Ecuador,1949,2.70292456,19.2561257
Ecuador,1950,1.662625332,31.91842851
Ecuador,1957,6.664037855,27.72277228
Ecuador,1958,4.548685146,21.56862745
Ecuador,1965,8.765957447,42.73858921
Ecuador,1966,7.405390689,31.79723502
Ecuador,1976,8.997857653,42.98850575
Ecuador,1977,7.631923245,34.66424682
Ecuador,1985,13.50557839,43.88297872
Ecuador,1986,14.07269338,43.67541766
Guatemala,1940,2.884615385,50
Guatemala,1948,6.228373702,40
Guatemala,1949,3.883495146,37.5
Guatemala,1956,11.52542373,56.52173913
Guatemala,1957,8.802816901,38.23529412
Guatemala,1969,14.03225806,47.5
Guatemala,1970,11.2654321,41.17647059
Guatemala,1977,14.50777202,66.90647482
Guatemala,1978,14.44043321,50.71428571
Honduras,1949,2.030456853,0
Honduras,1950,2.135231317,33.33333333
Honduras,1963,7.231404959,27.77777778
Honduras,1964,4.263565891,35
Honduras,1976,6.52173913,41.55844156
Honduras,1977,4.473304473,37.93103448
Haití,1946,0.565770863,0
Haití,1947,0.700525394,0
Haití,1957,2.697095436,0
Haití,1958,1.171875,50
Haití,1978,1.709649377,8.43373494
Haití,1979,1.429479034,6.25
Jamaica,1957,2.527075812,12.5
Jamaica,1958,2.088772846,33.33333333
Jamaica,1966,1.877934272,15
Jamaica,1967,2.231237323,31.25
Jamaica,1976,4.384130003,40.1465484
Jamaica,1977,2.911783367,34.83622688
México,1945,11.36363636,33.33333333
México,1946,7.857142857,41.66666667
México,1965,16.81415929,59.49177877
México,1966,13.76500482,52.5030525
México,1970,7.496149127,82.38074774
México,1971,12.90626472,29.26803525
México,1975,16.93209654,55.66299233
México,1976,13.79200678,51.8545784
México,1980,19.71538216,62.08914903
México,1981,17.05602,56.12200436
México,1985,17.38599881,54.70259278
México,1986,17.22890897,55.37935694
México,1990,19.57603959,61.30206726
México,1991,18.41191204,54.23144518
Nicaragua,1946,3.68852459,16.66666667
Nicaragua,1947,2.166064982,0
Nicaragua,1970,7.934508816,25.86206897
Nicaragua,1971,6.310160428,39.43661972
Nicaragua,1980,13.11311311,55.24861878
Nicaragua,1981,14.88616462,47.00854701
Panamá,1935,4.597701149,0
Panamá,1936,9.183673469,0
Panamá,1945,5.241935484,54.54545455
Panamá,1946,4.560260586,26.66666667
Panamá,1955,12.86307054,30.43478261
Panamá,1956,10.71428571,34.69387755
Panamá,1965,13.81294964,39.74358974
Panamá,1966,10.37613489,44.08602151
Panamá,1975,15.50190597,53.16455696
Panamá,1976,13.24422843,49.73262032
Panamá,1985,19.08177905,52.67489712
Panamá,1986,16.19537275,48.17813765
Perú,1968,8.599329544,26.00422833
Perú,1969,6.683564568,22.87282708
Perú,1982,12.89772727,36.76333022
Perú,1983,9.323623524,31.88137164
Puerto Rico,1955,14.42687747,53.57142857
Puerto Rico,1956,14.67741935,50
Puerto Rico,1965,17.63497104,55.25846702
Puerto Rico,1966,14.0874036,41.53846154
Puerto Rico,1975,21.17326258,45.96456693
Puerto Rico,1976,17.51435603,42.94413556
Puerto Rico,1980,25.20643723,47.93019481
Puerto Rico,1981,16.69948583,50.46395432
Puerto Rico,1985,13.49290545,36.10943472
Puerto Rico,1986,21.60837876,31.54141525
Paraguay,1937,2.43902439,33.33333333
Paraguay,1938,3.424657534,0
Paraguay,1947,7.045454545,33.33333333
Paraguay,1948,4.956896552,40.90909091
Paraguay,1957,7.571428571,30.3030303
Paraguay,1958,6.324582339,39.28571429
Paraguay,1967,6.225680934,46.57534247
Paraguay,1968,6.643757159,44.61538462
Paraguay,1977,10.5258656,50.24280145
Paraguay,1978,9.564330711,45.40400326
El Salvador,1967,9.60960961,51.42857143
El Salvador,1968,8.469945355,22
El Salvador,1982,14.62450593,47.22222222
El Salvador,1983,14.0625,40
Trinidad y Tobago,1955,1.632653061,55.55555556
Trinidad y Tobago,1956,0.847457627,22.22222222
Trinidad y Tobago,1965,1.85348632,0
Trinidad y Tobago,1966,1.073492981,11.11111111
Trinidad y Tobago,1975,3.983656793,33.33333333
Trinidad y Tobago,1976,1.395348837,22.22222222
Trinidad y Tobago,1986,6.916426513,30.26315789
Trinidad y Tobago,1987,7.207837649,22.07792208
Uruguay,1960,1.587301587,5.555555556
Uruguay,1961,1.990049751,5
Uruguay,1971,6.496519722,29.62962963
Uruguay,1972,3.118040089,37.5
Uruguay,1986,2.964959569,11.84210526
Uruguay,1987,2.739726027,11.11111111
Venezuela,1946,2.056776414,19.37984496
Venezuela,1947,1.70178282,17.35294118
Venezuela,1956,7.092772384,31.74603175
Venezuela,1957,4.820126969,27.30923695
Venezuela,1965,7.467652495,28.59327217
Venezuela,1966,6.194849631,19.97327989
Venezuela,1976,6.721014493,23.11827957
Venezuela,1977,5.377373544,20.70588235
