code,country,region,value
032002001,Argentina,City of Buenos Aires,77.83999634
032006001,Argentina,La Plata,65.31999969
032006002,Argentina,General Pueyrredón,52.02999878
032006003,Argentina,Pilar,35.66999817
032006004,Argentina,Bahía Blanca,60.41999817
032006005,Argentina,Escobar,37.36000061
032006006,Argentina,San Nicolás,50.84999847
032006007,Argentina,Tandil,58.27000046
032006008,Argentina,Zárate,41.79999924
032006009,Argentina,Olavarría,49.38000107
032006010,Argentina,Pergamino,47.20999908
032006011,Argentina,Luján,47.38999939
032006012,Argentina,Campana,45.59000015
032006013,Argentina,Necochea,41.38000107
032006014,Argentina,Junín,54.61999893
032006015,Argentina,Berisso,57.77999878
032006016,Argentina,General Rodríguez,32.59999847
032006017,Argentina,"Presidente Perón, San Vicente",33.43000031
032006018,Argentina,"General Lavalle, La Costa",43.47999954
032006019,Argentina,Azul,43.43000031
032006020,Argentina,Chivilcoy,45.63000107
032006021,Argentina,Mercedes,48.56999969
032006022,Argentina,"Balcarce, Lobería",41.59999847
032006023,Argentina,Coronel de Marine L. Rosales,59.79999924
032006024,Argentina,"General Viamonte, Lincoln",42.59999847
032006025,Argentina,"Chascomus, Magdalena, Punta Indio",41.49000168
032006026,Argentina,"Alberti, Roque Pérez, 25 de Mayo",39.65000153
032006027,Argentina,San Pedro,35.11000061
032006028,Argentina,Tres Arroyos,41.36999893
032006029,Argentina,Ensenada,47.24000168
032006030,Argentina,"Bolívar, General Alvear, Tapalqué",43.02999878
032006031,Argentina,Cañuelas,42.70999908
032006032,Argentina,Marcos Paz,31.27000046
032006033,Argentina,"General Las Heras, Lobos",42
032006034,Argentina,"Coronel Dorrego, Coronel Pringles, Monte Hermoso, Tornquist",41.15999985
032006035,Argentina,Chacabuco,41.16999817
032006036,Argentina,9 de Julio,45.38999939
032006037,Argentina,"Puan, Villarino",35.90999985
032006038,Argentina,Trenque Lauquen,41.74000168
032006039,Argentina,"Ayacucho, General Guido, Pila, Rauch",41.70999908
032006040,Argentina,"Carmen de Areco, Navarro, Suipacha",38.41999817
032006041,Argentina,General Alvarado,41.09999847
032006042,Argentina,Bragado,45.65999985
032006043,Argentina,"Adolfo González Chaves, Benito Juárez, San Cayetano",38.63999939
032006044,Argentina,Pehuajó,43.29000092
032006045,Argentina,Coronel Suárez,42.95000076
032006046,Argentina,"Guaminí, Pellegrini, Rivadavia, Tres Lomas",42.59999847
032006047,Argentina,"Capitán Sarmiento, San Antonio de Areco",41.29000092
032006048,Argentina,Ramallo,43.52999878
032006049,Argentina,Salto,43.25
032006050,Argentina,Saladillo,49.40000153
032006051,Argentina,Baradero,44.56000137
032006052,Argentina,"General Arenales, Leandro N. Alem",46.20999908
032006053,Argentina,General Villegas,41.06000137
032006054,Argentina,"General Juan Madariaga, Pinamar, Villa Gesell",44.11000061
032006055,Argentina,Patagones,47.00999832
032006056,Argentina,Arrecifes,38.29999924
032006057,Argentina,Exaltación de la Cruz,34.86000061
032006058,Argentina,"General Belgrano, General Paz",42.13000107
032006059,Argentina,Dolores,47.18000031
032006060,Argentina,"Daireaux, Hipólito Yrigoyen",37.27000046
032006061,Argentina,Brandsen,44.90000153
032006062,Argentina,"Adolfo Alsina, Salliqueló",43.33000183
032006063,Argentina,Colón,37.77999878
032006064,Argentina,Las Flores,33.65999985
032006065,Argentina,"Carlos Tejedor, Florentino Ameghino, General Pinto",30.59000015
032006066,Argentina,Rojas,53.52999878
032006067,Argentina,San Andrés de Giles,33.18000031
032006068,Argentina,Carlos Casares,34.09000015
032006069,Argentina,Mar Chiquita,45
032006070,Argentina,Monte,36.02999878
032006071,Argentina,"General La Madrid, Laprida",36.70999908
032006072,Argentina,Saavedra,53.20000076
032006073,Argentina,"Castelli, Maipú, Tordillo",35.15999985
032006074,Argentina,La Matanza,37.79000092
032006075,Argentina,Lomas de Zamora,46.08000183
032006076,Argentina,Quilmes,48.06999969
032006077,Argentina,Almirante Brown,41.24000168
032006078,Argentina,Merlo,37.00999832
032006079,Argentina,Lanus,55.08000183
032006080,Argentina,Moreno,35.38999939
032006081,Argentina,Florencio Varela,31.89999962
032006082,Argentina,General San Martín,50.31000137
032006083,Argentina,Tigre,44.09000015
032006084,Argentina,Avellaneda,54.34000015
032006085,Argentina,Tres de Febrero,57.77999878
032006086,Argentina,"General Sarmiento, Jose C. Paz, Malvinas Argentinas, San Miguel",38.18000031
032006087,Argentina,Berazategui,45.90999985
032006088,Argentina,"Hurlingham, Ituzaingo, Morón",57.09000015
032006089,Argentina,"Esteban Echeverría, Ezeiza",37.63999939
032006090,Argentina,San Isidro,70.66999817
032006091,Argentina,Vicente López,79.19999695
032006092,Argentina,San Fernando,49.22000122
032010001,Argentina,Capital,56.72000122
032010002,Argentina,"Andalgalá, Santa María",42.95000076
032010003,Argentina,"Fray Mamerto Esquiú, Valle Viejo",53.59000015
032010004,Argentina,"Belén, Pomán",34.88000107
032010005,Argentina,"Ambato, Capayán, Paclín, Santa Rosa",35.15000153
032010006,Argentina,"Ancasti, El Alto, La Paz",25.11000061
032010007,Argentina,"Antofagasta de la Sierra, Tinogasta",44.95000076
032014001,Argentina,Capital,67.30999756
032014002,Argentina,Río Cuarto,59.22999954
032014003,Argentina,Colón,55.22999954
032014004,Argentina,San Justo,51.84000015
032014005,Argentina,Punilla,57
032014006,Argentina,General San Martín,58.70000076
032014007,Argentina,Tercero Arriba,55.22999954
032014008,Argentina,Río Segundo,52.65000153
032014009,Argentina,Unión,57.06000137
032014010,Argentina,Marcos Juárez,58.18000031
032014011,Argentina,Santa María,54.75
032014012,Argentina,"Cruz del Eje, Minas, Pocho",42.43000031
032014013,Argentina,Juárez Celman,43.95999908
032014014,Argentina,San Javier,44.20000076
032014015,Argentina,Calamuchita,45.86999893
032014016,Argentina,"Ischilín, Totoral",46.13999939
032014017,Argentina,Río Primero,36.38999939
032014018,Argentina,Presidente Roque Saénz Peña,48.72000122
032014019,Argentina,San Alberto,48
032014020,Argentina,General Roca,45.93999863
032014021,Argentina,"Río Seco, Sobremonte, Tulumba",38.65000153
032018001,Argentina,Capital,60.33000183
032018002,Argentina,Goya,32.31000137
032018003,Argentina,Santo Tomé,41.06999969
032018004,Argentina,"Berón de Astrada, Concepción, General Paz, San Roque",22.65999985
032018005,Argentina,"Curuzú Cuatiá, Sauce",32.86000061
032018006,Argentina,Paso de los Libres,38.13999939
032018007,Argentina,"Ituzaingó, San Miguel",35.45000076
032018008,Argentina,"Empedrado, Mburucuyá, San Luis del Palmar",39.68999863
032018009,Argentina,Mercedes,28.92000008
032018010,Argentina,Bella Vista,37.43000031
032018011,Argentina,Monte Caseros,31.36000061
032018012,Argentina,Esquina,35.79999924
032018013,Argentina,Lavalle,20.55999947
032018014,Argentina,Saladas,21.29999924
032018015,Argentina,"Itatí, San Cosme",43.15000153
032018016,Argentina,"General Alvear, San Martín",29.37000084
032022001,Argentina,San Fernando,52.58000183
032022002,Argentina,Comandante Fernandez,40.72000122
032022003,Argentina,"Libertador General San Martín, 1 de Mayo",28.87000084
032022004,Argentina,General Güemes,22.26000023
032022005,Argentina,"San Lorenzo, Sargento Cabral, 25 de Mayo",26.12000084
032022006,Argentina,Mayor Luis J. Fontana,33.06000137
032022007,Argentina,"9 de Julio, O'Higgins",28.25
032022008,Argentina,"General Donovan, Libertad, Presidencia de La Plaza, Tapenaga",30.72999954
032022009,Argentina,"General Belgrano, Independencia",13.55000019
032022010,Argentina,Almirante Brown,26.94000053
032022011,Argentina,Quitilipi,31.02000046
032022012,Argentina,"12 de Octubre, 2 de Abril, Fray Justo Sta. María de Oro",24.54000092
032022013,Argentina,Chacabuco,31.5
032022014,Argentina,Bermejo,38.88999939
032022015,Argentina,Maipú,15.57999992
032026001,Argentina,Escalante,51.68999863
032026002,Argentina,Rawson,48.04999924
032026003,Argentina,Biedma,41.56999969
032026004,Argentina,Futaleufú,45.29000092
032026005,Argentina,"Florentino Ameghino, Gaimán, Gastre, Mártires, Paso de los Indios, Río Senguer, Sarmiento, Tehuelches, Telsen",37.09999847
032026006,Argentina,"Cushamen, Languiñeo",34.79000092
032030001,Argentina,Parana,59.29999924
032030002,Argentina,"Colón, Concordia, Federal, Feliciano, San Salvador, Villaguay",41
032030003,Argentina,"Gualeguaychú, Islas del Ibicuy",49.52000046
032030004,Argentina,Uruguay,49.13999939
032030005,Argentina,Federación,36.47000122
032030006,Argentina,La Paz,34.93000031
032030007,Argentina,Gualeguay,37.22000122
032030008,Argentina,Diamante,52.75999832
032030009,Argentina,Nogoyá,43.29999924
032030010,Argentina,Victoria,47.54000092
032030011,Argentina,Tala,40.83000183
032034001,Argentina,Formosa,51.16999817
032034002,Argentina,"Laishi, Pilagás, Pirané",29.57999992
032034003,Argentina,Pilcomayo,36.88999939
032034004,Argentina,"Bermejo, Patiño",27.17000008
032034005,Argentina,"Matacos, Ramón Lista",15.10999966
032038001,Argentina,"Dr. Manuel Belgrano, Palpalá",61.66999817
032038002,Argentina,"El Carmen, San Antonio",38.86999893
032038003,Argentina,"Ledesma, Santa Bárbara",39.49000168
032038004,Argentina,San Pedro,50.66999817
032038005,Argentina,"Cochinoca, Rinconada, Santa Catalina, Susques, Tumbaya, Yaví",41.38999939
032038006,Argentina,"Humahuaca, Tilcara, Valle Grande",40.20000076
032042001,Argentina,Capital,51.33000183
032042002,Argentina,Maracó,43.41999817
032042003,Argentina,"Conhello, Rancul, Toay, Trenel",42.27999878
032042004,Argentina,"Atreucó, Catriló, Guatrache, Quemú-Quemú",36.90999985
032042005,Argentina,"Chapaleufú, Realicó",43.04999924
032042006,Argentina,"Caleu-Caleu, Cura-Co, Chalileo, Chical-Có, Lihuel Calel, Limay Mahuida, Leventué, Puelén",33.33000183
032042007,Argentina,"Hucal, Utracán",38.70999908
032046001,Argentina,Capital,57.25
032046002,Argentina,Chilecito,49.59000015
032046003,Argentina,"Coronel Felipe Varela, Famatina, General Angel V. Peñaloza, General Juan F. Quiroga, General Lamadrid, Vinchina, Independencia, Sanagasta",41.77000046
032046004,Argentina,"General Ocampo, General San Martín, Rosario Vera Peñaloza",46.36999893
032046005,Argentina,"Arauco, Castro Barros, San Blas de los Sauces",40.09999847
032046006,Argentina,"Chamical, General Belgrano",45.31000137
032050001,Argentina,Guaymallén,54.90000153
032050002,Argentina,Las Heras,45.74000168
032050003,Argentina,Godoy Cruz,66.04000092
032050004,Argentina,San Rafael,47.56000137
032050005,Argentina,Maipú,41.33000183
032050006,Argentina,San Martín,42.09999847
032050007,Argentina,Luján de Cuyo,48.40999985
032050008,Argentina,Capital,76.76000214
032050009,Argentina,Rivadavia,44.29000092
032050010,Argentina,Tunuyán,40.79999924
032050011,Argentina,General Alvear,40.70000076
032050012,Argentina,Junín,41.13999939
032050013,Argentina,Lavalle,27.29000092
032050014,Argentina,San Carlos,35.52999878
032050015,Argentina,Tupungato,33.43000031
032050016,Argentina,Malargue,36.18000031
032050017,Argentina,"La Paz, Santa Rosa",38.65000153
032054001,Argentina,"Capital, Leandro N. Alem",51.90999985
032054002,Argentina,Oberá,35.09999847
032054003,Argentina,Iguazú,34.97000122
032054004,Argentina,El Dorado,39.33000183
032054005,Argentina,Guaraní,14.32999992
032054006,Argentina,San Ignacio,29.19000053
032054007,Argentina,Cainguas,21.03000069
032054008,Argentina,Libertador General San Martín,28.12000084
032054009,Argentina,Apóstoles,33.72000122
032054010,Argentina,General Manuel Belgrano,17.12999916
032054011,Argentina,Montecarlo,34.88999939
032054012,Argentina,"Concepción, San Javier",20.18000031
032054013,Argentina,San Pedro,14.34000015
032054014,Argentina,25 de Mayo,17.89999962
032054015,Argentina,Candelaria,29.05999947
032058001,Argentina,Confluencia,54.59999847
032058002,Argentina,"Aluminé, Añelo, Catán-Lil, Collón-Cura, Loncopué, Minas, Ñorquin, Picún-Leufú, Picunches",31.29999924
032058003,Argentina,"Huiliches, Lácar, Los Lagos",45.00999832
032058004,Argentina,"Chos Malal, Pehuenches",37.40999985
032058005,Argentina,Zapala,45.25999832
032062001,Argentina,General Roca,45.13000107
032062002,Argentina,Bariloche,51.56000137
032062003,Argentina,Adolfo Alsina,52.59999847
032062004,Argentina,"El Cuy, 9 de Julio, Ñorquincó, Pilcaniyeu, Valcheta, 25 de Mayo",38.72000122
032062005,Argentina,Avellaneda,32.68999863
032062006,Argentina,San Antonio,39.72000122
032062007,Argentina,"Conesa, Pichi Mahuida",37.24000168
032066001,Argentina,Capital,61.36000061
032066002,Argentina,General Jose de San Martín,34.22999954
032066003,Argentina,"Iruya, Orán, Santa Victoria",34.38000107
032066004,Argentina,Anta,31.55999947
032066005,Argentina,"La Caldera, Rosario de Lerma",46.27999878
032066006,Argentina,General Güemes,45.38999939
032066007,Argentina,Metán,41.36999893
032066008,Argentina,"Guachipas, La Candelaria, Rosario de la Frontera",42.81000137
032066009,Argentina,Cerrillos,40.90999985
032066010,Argentina,Rivadavia,10.81000042
032066011,Argentina,"Cachí, La Poma, Los Andes, Molinos, San Carlos",30.73999977
032066012,Argentina,"Cafayate, La Vina",51.91999817
032066013,Argentina,Chicoana,43.93000031
032070001,Argentina,Rawson,46.18000031
032070002,Argentina,Capital,69.70999908
032070003,Argentina,Chimbas,39.40999985
032070004,Argentina,Rivadavia,59.63000107
