country,category,low,medium,high
América Latina e Caribe,Participação da mão de obra,-0.3790389,-0.255173,-0.0956212
América Latina e Caribe,Emprego,-0.395005,-0.2768045,-0.1090653
América Latina e Caribe,Horas trabalhadas,-0.1981352,-0.1398122,-0.0947324
América Latina e Caribe,Salário por hora,-0.1507351,-0.1371774,-0.1725076
América Latina e Caribe,Renda do trabalho,-0.344247,-0.2754249,-0.2625363
Argentina,Participação da mão de obra,-0.3482943475,-0.2205141932,-0.06489813328
Argentina,Emprego,-0.3783939481,-0.2514791191,-0.06305220723
Argentina,Horas trabalhadas,-0.2400660515,-0.1951083988,-0.1476752907
Argentina,Salário por hora,-0.1136886552,-0.1852545291,-0.1401294172
Argentina,Renda do trabalho,-0.4025112987,-0.3551154733,-0.2507779598
Bolívia,Participação da mão de obra,-0.2994828224,-0.3028457463,-0.1543720961
Bolívia,Emprego,-0.3242334127,-0.3382740021,-0.1818307489
Bolívia,Horas trabalhadas,-0.1767970026,-0.1417225152,-0.09323418885
Bolívia,Salário por hora,-0.1908198148,-0.1502717733,-0.1368071437
Bolívia,Renda do trabalho,-0.3629579544,-0.2875781059,-0.1789186597
Brasil,Participação da mão de obra,-0.3578303456,-0.2172194123,-0.08924160153
Brasil,Emprego,-0.3750277162,-0.2471233606,-0.1045794263
Brasil,Horas trabalhadas,-0.1645877957,-0.1030551493,-0.1032366976
Brasil,Salário por hora,-0.2051820904,-0.2818537951,-0.2863214314
Brasil,Renda do trabalho,-0.3630338609,-0.3647446334,-0.3697583377
Chile,Participação da mão de obra,-0.3698886037,-0.258887589,-0.0956345126
Chile,Emprego,-0.3992071748,-0.2778961957,-0.1050847992
Chile,Horas trabalhadas,-0.1366454214,-0.1231417805,-0.05555510521
Chile,Salário por hora,-0.1175192446,-0.1187039241,-0.2318891436
Chile,Renda do trabalho,-0.2863796353,-0.2900832295,-0.2824703753
Colômbia,Participação da mão de obra,-0.4167005122,-0.2566620409,-0.08074177057
Colômbia,Emprego,-0.4664021134,-0.3213656545,-0.11246638
Colômbia,Horas trabalhadas,-0.224769339,-0.1460704356,-0.05653253198
Colômbia,Salário por hora,-0.145791918,-0.09545588493,-0.1100194529
Colômbia,Renda do trabalho,-0.3496615291,-0.228537783,-0.1599871963
Costa Rica,Participação da mão de obra,-0.5055575371,-0.2572244108,-0.05591580644
Costa Rica,Emprego,-0.5287191868,-0.2876092494,-0.06705629081
Costa Rica,Horas trabalhadas,-0.2379273772,-0.1181019992,-0.06726783514
Costa Rica,Salário por hora,-0.07530106604,-0.1529237032,-0.1469208449
Costa Rica,Renda do trabalho,-0.318244189,-0.2401543558,-0.226378113
Rep. Dominicana,Participação da mão de obra,-0.3568020761,-0.2499298304,-0.09226815403
Rep. Dominicana,Emprego,-0.3981946707,-0.2912251651,-0.1194244698
Rep. Dominicana,Horas trabalhadas,-0.1447643042,-0.1061292589,-0.0654206425
Rep. Dominicana,Salário por hora,-0.2705878913,-0.2405676842,-0.1571226865
Rep. Dominicana,Renda do trabalho,-0.4110252559,-0.3219498396,-0.2085719556
Equador,Participação da mão de obra,-0.3882519603,-0.3378585577,-0.1030237451
Equador,Emprego,-0.3857678175,-0.3445493281,-0.08607400954
Equador,Horas trabalhadas,-0.2554717362,-0.2020412385,-0.0590422973
Equador,Salário por hora,-0.179334566,-0.1484028697,-0.2330164313
Equador,Renda do trabalho,-0.367068857,-0.2933228016,-0.3457033038
Guatemala,Participação da mão de obra,-0.5395656824,-0.2690317631,-0.09644454718
Guatemala,Emprego,-0.5378721952,-0.275112927,-0.1141182929
Guatemala,Horas trabalhadas,-0.2532025278,-0.1852595508,-0.1632844657
Guatemala,Salário por hora,0.02478636242,-0.0415299125,-0.3554469347
Guatemala,Renda do trabalho,-0.3181388676,-0.2895667851,-0.4712572396
Honduras,Participação da mão de obra,-0.4690788686,-0.2525655627,-0.07368387282
Honduras,Emprego,-0.4856780171,-0.269426018,-0.109562479
Honduras,Horas trabalhadas,-0.2367931753,-0.1479291916,-0.1545799524
Honduras,Salário por hora,-0.06609411538,-0.0800800398,-0.1366696656
Honduras,Renda do trabalho,-0.2652361095,-0.248317644,-0.234961316
México,Participação da mão de obra,-0.372081697,-0.3020753562,-0.144504711
México,Emprego,-0.3654038608,-0.2948712409,-0.1401487738
México,Horas trabalhadas,-0.2304267138,-0.1886334717,-0.1237511039
México,Salário por hora,-0.1990541816,-0.1114837825,-0.1394112408
México,Renda do trabalho,-0.4036443233,-0.3591635823,-0.2649241388
Nicarágua,Participação da mão de obra,-0.4180021882,-0.2713906467,-0.09731154144
Nicarágua,Emprego,-0.4236146212,-0.2754098475,-0.1166623309
Nicarágua,Horas trabalhadas,-0.2257262319,-0.1480800658,-0.05510211736
Nicarágua,Salário por hora,-0.1194811016,-0.07449963689,-0.1593813896
Nicarágua,Renda do trabalho,-0.3448005915,-0.2678916752,-0.2939381301
Panamá,Participação da mão de obra,-0.4461684823,-0.282313168,-0.1114885136
Panamá,Emprego,-0.4377191961,-0.2962864637,-0.1363316178
Panamá,Horas trabalhadas,-0.2627033889,-0.08301668614,-0.05653169006
Panamá,Salário por hora,-0.1305653006,-0.1243451759,-0.227965191
Panamá,Renda do trabalho,-0.3837893307,-0.09161212295,-0.2736983299
Peru,Participação da mão de obra,-0.1549925804,-0.2211580426,-0.1506755352
Peru,Emprego,-0.1610121429,-0.2397613376,-0.1654802859
Peru,Horas trabalhadas,-0.1764404923,-0.1698080152,-0.1078617871
Peru,Salário por hora,-0.1889204383,-0.1775452048,-0.1161059588
Peru,Renda do trabalho,-0.2901753485,-0.323263526,-0.232217133
Paraguai,Participação da mão de obra,-0.3512405157,-0.2654104233,-0.08686163276
Paraguai,Emprego,-0.3609202504,-0.2991118729,-0.0860375911
Paraguai,Horas trabalhadas,-0.147395134,-0.1295309216,-0.1174858883
Paraguai,Salário por hora,-0.3392356932,-0.1033985168,-0.1933566332
Paraguai,Renda do trabalho,-0.4333102405,-0.3021381497,-0.2522333264
El Salvador,Participação da mão de obra,-0.4178986847,-0.2722344398,-0.1084217578
El Salvador,Emprego,-0.4176740646,-0.2621757984,-0.1153550297
El Salvador,Horas trabalhadas,-0.109352462,-0.05497471243,-0.06903589517
El Salvador,Salário por hora,-0.02747156844,-0.03300894424,-0.003907252569
El Salvador,Renda do trabalho,-0.168634817,-0.09986586869,-0.1476265639
