country,cohort,nonUniversity,university
América Latina e Caribe,1935,1.82,20.1
América Latina e Caribe,1940,2.96,22.65
América Latina e Caribe,1945,4.10,25.11
América Latina e Caribe,1950,5.24,27.57
América Latina e Caribe,1955,6.38,30.03
América Latina e Caribe,1960,7.52,32.49
América Latina e Caribe,1965,8.66,34.96
América Latina e Caribe,1970,9.80,37.42
América Latina e Caribe,1975,10.95,39.88
América Latina e Caribe,1980,12.09,42.34
América Latina e Caribe,1985,13.23,44.80
América Latina e Caribe,1990,14.37,47.27
América Latina e Caribe,1995,15.51,49.73
América Latina e Caribe,2000,16.65,52.19
América Latina e Caribe,2005,17.79,54.65
Argentina,1945,9.593495935,37.20930233
Argentina,1946,10.64102564,47.05882353
Argentina,1955,12.08436141,40.69529652
Argentina,1956,13.20112179,44.16775885
Argentina,1966,14.94986592,47.41905209
Argentina,1967,12.60342405,46.39484979
Argentina,1976,11.9706499,42.82945736
Argentina,1977,8.806336036,36.37931034
Argentina,1985,13.10391978,48.99396378
Argentina,1986,11.31184562,44.53125
Bolívia,1951,3.511705686,25
Bolívia,1952,1.591895803,4
Bolívia,1967,6.643835616,32.65306122
Bolívia,1968,4.947433519,20
Bolívia,1976,15.87618572,44.72049689
Bolívia,1977,11.36851137,38.52242744
Bolívia,1987,28.37271347,61.52028079
Bolívia,1988,25.09320417,53.58572937
Brasil,1955,8.405398852,49.5407226
Brasil,1956,6.879452437,38.84087443
Brasil,1966,8.555640186,43.54788366
Brasil,1967,6.925830788,33.26433065
Brasil,1975,8.053243744,43.91781832
Brasil,1976,6.241345975,33.78945981
Brasil,1985,13.23176497,59.15665115
Brasil,1986,10.83570657,50.19899444
Chile,1957,6.107954545,26.66666667
Chile,1958,3.855140187,20
Chile,1967,4.856512141,20
Chile,1968,5.612244898,33.92857143
Chile,1977,11.99677939,36.11111111
Chile,1978,7.836570663,32.0754717
Chile,1992,18.37044534,41.78571429
Chile,1993,14.98386353,34.375
Colômbia,1948,6.119439666,29.72972973
Colômbia,1949,6.342687657,39.375
Colômbia,1960,11.5603206,47.94138172
Colômbia,1961,9.322370396,43.9378103
Colômbia,1968,1.554674457,9.960159363
Colômbia,1969,1.527524258,4.782608696
Colômbia,1980,20.19375995,66.65509778
Colômbia,1981,16.96637284,60.16182822
Costa Rica,1948,6.756756757,42.85714286
Costa Rica,1949,6.172839506,37.5
Costa Rica,1959,9.278350515,55
Costa Rica,1960,12.33480176,47.82608696
Costa Rica,1975,18.26484018,54.76190476
Costa Rica,1976,14.22413793,71.73913043
Costa Rica,1986,11.15241636,54.38596491
Costa Rica,1987,6.41509434,30.43478261
Rep. Dominicana,1956,6.579693704,43.90934844
Rep. Dominicana,1957,5.424696645,41.17647059
Rep. Dominicana,1985,15.43392505,51.74418605
Rep. Dominicana,1986,14.46111869,46.55172414
Equador,1949,2.70292456,19.2561257
Equador,1950,1.662625332,31.91842851
Equador,1957,6.664037855,27.72277228
Equador,1958,4.548685146,21.56862745
Equador,1965,8.765957447,42.73858921
Equador,1966,7.405390689,31.79723502
Equador,1976,8.997857653,42.98850575
Equador,1977,7.631923245,34.66424682
Equador,1985,13.50557839,43.88297872
Equador,1986,14.07269338,43.67541766
Guatemala,1940,2.884615385,50
Guatemala,1948,6.228373702,40
Guatemala,1949,3.883495146,37.5
Guatemala,1956,11.52542373,56.52173913
Guatemala,1957,8.802816901,38.23529412
Guatemala,1969,14.03225806,47.5
Guatemala,1970,11.2654321,41.17647059
Guatemala,1977,14.50777202,66.90647482
Guatemala,1978,14.44043321,50.71428571
Honduras,1949,2.030456853,0
Honduras,1950,2.135231317,33.33333333
Honduras,1963,7.231404959,27.77777778
Honduras,1964,4.263565891,35
Honduras,1976,6.52173913,41.55844156
Honduras,1977,4.473304473,37.93103448
Haiti,1946,0.565770863,0
Haiti,1947,0.700525394,0
Haiti,1957,2.697095436,0
Haiti,1958,1.171875,50
Haiti,1978,1.709649377,8.43373494
Haiti,1979,1.429479034,6.25
Jamaica,1957,2.527075812,12.5
Jamaica,1958,2.088772846,33.33333333
Jamaica,1966,1.877934272,15
Jamaica,1967,2.231237323,31.25
Jamaica,1976,4.384130003,40.1465484
Jamaica,1977,2.911783367,34.83622688
México,1945,11.36363636,33.33333333
México,1946,7.857142857,41.66666667
México,1965,16.81415929,59.49177877
México,1966,13.76500482,52.5030525
México,1970,7.496149127,82.38074774
México,1971,12.90626472,29.26803525
México,1975,16.93209654,55.66299233
México,1976,13.79200678,51.8545784
México,1980,19.71538216,62.08914903
México,1981,17.05602,56.12200436
México,1985,17.38599881,54.70259278
México,1986,17.22890897,55.37935694
