country,year,primaryMen,primaryWomen,secondaryMen,secondaryWomen,tertiaryMen,tertiaryWomen
Argentina,2000,0.1710736411,-0.02265175768,0.6272413374,0.3549731654,1.067698701,0.392177962
Argentina,2010,0.2243999656,0.1309116643,0.3787249324,0.3234302631,0.6657907573,0.5398414553
Argentina,2018,0.1981474233,0.1371309618,0.3117975209,0.4261051543,0.6479876376,0.9027903803
Argentina,2022,0.1129342545,0.06077524074,0.3965431436,0.3881889723,0.6355841192,0.8515071813
Bolívia,2000,0.1648141076,0.2071267874,0.3569437795,0.554755238,2.899351667,2.015719675
Bolívia,2010,0.2813812017,0.2798380929,0.1306149068,0.04101626093,0.7699356854,1.459522954
Bolívia,2018,0.1377684454,0.2278361347,0.06704697857,0.01872501488,0.8443666511,1.513588366
Bolívia,2022,0.2341803679,0.1086822634,0.07272850779,0.0423510742,0.9898026043,0.94841564
Brasil,2000,0.5453953846,0.3996230495,0.5398248867,0.4630792206,1.737477018,1.478097255
Brasil,2010,0.2615967619,0.207048387,0.3197350543,0.2476208778,1.50225824,1.488904217
Brasil,2018,0.2201934113,0.1046062869,0.2373121303,0.2010752413,1.470445948,1.280336797
Brasil,2022,0.2014710127,0.126283101,0.187619104,0.1535924468,1.447952792,1.205577259
Chile,2000,0.1456463207,0.08682534603,0.5861737349,0.6557071524,1.614486889,1.356162556
Chile,2010,0.1105540445,0.0305967671,0.3869017466,0.2644836285,1.694292266,1.362802867
Chile,2018,0.1423908807,0.01978618217,0.3058902734,0.198142451,1.246221497,1.014738278
Chile,2022,0.07152566709,-0.03527150542,0.3112377258,0.1654835089,1.092322661,0.7840005099
Colômbia,2000,0.1803941994,0.3053477495,0.6110092565,0.4615794265,2.223119244,0.9396852158
Colômbia,2010,0.1673240937,0.106147215,0.4077729815,0.3438287825,2.010935115,1.787657953
Colômbia,2018,0.1477928301,0.1040949946,0.2857881415,0.2387619457,1.77414752,1.678659251
Colômbia,2022,0.09935137852,0.1244580317,0.2771928836,0.1978200264,1.707563357,1.358642095
Costa Rica,2000,0.1180217288,,0.5211952127,,0.8554546122,
Costa Rica,2010,0.1235576116,0.2048847028,0.5796866112,0.4750635299,1.327279363,1.126160519
Costa Rica,2018,0.1463853061,0.06857409687,0.4429312863,0.1977164793,1.660816046,1.402583676
Costa Rica,2022,0.1339455406,,0.4432252846,,1.428332845,
Rep. Dominicana,2000,0.1919308915,0.3019529937,0.1199187298,0.4887296018,1.338488592,1.799109414
Rep. Dominicana,2010,0.2130276568,0.2856583606,0.1914795808,0.1736203295,0.9540378032,1.854038189
Rep. Dominicana,2018,0.117842189,0.1059286287,0.186979589,0.04975136406,1.035393976,1.564935931
Rep. Dominicana,2022,0.05365492408,0.182838431,0.1455249459,0.02001262024,0.9114937415,1.052993558
Equador,2000,0.2829127774,0.2009201565,0.6814132668,0.9052641112,0.9681323748,0.6664416756
Equador,2010,0.1112382565,0.1841756044,0.3641460657,0.3048514201,1.119604511,0.5598424772
Equador,2018,0.1227303711,0.09861446654,0.307824605,0.230049743,0.8207527965,0.4814854547
Equador,2022,0.3264510602,0.2273311313,0.1641392817,0.1427104178,0.8815671123,0.4534150585
El Salvador,2000,0.4205738788,0.2326178487,0.3366338216,0.5094375681,1.067096922,1.50859451
El Salvador,2010,0.268013801,0.08889853829,0.2867478388,0.3332805044,1.250506541,1.4673386
El Salvador,2018,0.3388641162,0.08333619586,0.1355265908,0.3114678158,0.7591112677,1.152206575
El Salvador,2022,0.2298214546,0.1295372098,0.1665923759,0.2502768415,0.7308506624,0.9690535582
América Latina e Caribe,2000,0.2466593864,0.1767595163,0.4983280965,0.5842385567,1.368318744,1.151845045
América Latina e Caribe,2010,0.1856915234,0.1689448821,0.4128852061,0.3928488934,1.145393606,1.144590972
América Latina e Caribe,2018,0.1635079975,0.09867529045,0.3366660031,0.2823769133,1.045957941,1.129632449
América Latina e Caribe,2022,0.1517734479,0.1216549937,0.2725816232,0.221571206,1.064439189,1.03824696
México,2000,0.3384197674,0.1790524413,0.5916252118,0.5741293566,1.307855296,0.5865986325
México,2010,0.1729457973,0.2265312949,0.7768973116,0.684989058,0.9582578384,0.624498528
México,2018,0.1669352294,0.1271120462,0.6209723901,0.536948489,0.9401210926,0.5721235106
México,2022,0.1422120991,0.1421319415,0.4101663977,0.2316823019,0.875026795,0.6697502928
Panamá,2000,0.220014971,0.2030592769,0.440716429,0.7940147761,1.515782781,1.142986935
Panamá,2010,0.3744604306,0.3414099201,0.5413005299,0.7497732183,1.221246623,1.045452221
Panamá,2018,0.1806611521,0.1970777518,0.5370904481,0.643003649,1.228592856,1.178322903
Panamá,2022,0.2161896214,0.1051167992,0.5478589911,0.5001855343,1.50644935,1.458741516
Paraguai,2000,0.2735439423,0.1101704921,0.6255901515,0.5799993411,0.8560373907,1.90131418
Paraguai,2010,0.04371974507,0.05680862963,0.4587050061,0.4828569372,0.9076487256,1.341409574
Paraguai,2018,0.1664616549,0.01429259625,0.557931843,0.3019998779,0.7914636907,1.794162446
Paraguai,2022,0.05373685947,-0.02474789288,0.1869267814,0.3058170019,1.127374606,2.045793931
Peru,2000,0.2210656975,0.04781920845,0.2903428523,0.4786350667,0.89317327,0.4676538861
Peru,2010,0.08636591167,0.01502744344,0.1738571665,0.314276074,0.585083425,0.5683673126
Peru,2018,0.0004681195338,0.03958077404,0.2340091249,0.2245558661,0.6932785499,0.5989431504
Peru,2022,0.03039163693,0.1296451084,0.15517796,0.01269061094,0.695841809,0.7135632767
Uruguai,2000,0.1794241018,0.04601011943,0.6479646813,0.7747972126,0.8123076537,0.7194436858
Uruguai,2010,0.1610960503,0.2072917284,0.7838231534,0.7607936237,1.068633594,0.7984367404
Uruguai,2018,0.2024708361,0.05348295002,0.4822231217,0.374973695,0.730711646,0.6799775664
Uruguai,2022,0.2189623938,0.3047350587,0.3512093415,0.4696143214,0.8719861883,0.9857565996
