year,UTCUTS,CFPI
1850,2.643235993,0.196751966
1851,2.732895881,0.198668099
1852,2.780213302,0.207414216
1853,2.839534964,0.217120439
1854,2.87517849,0.255033169
1855,2.88527689,0.260104394
1856,2.901219613,0.277296446
1857,2.94048272,0.279932016
1858,2.960144806,0.284225155
1859,3.009368863,0.301481265
1860,2.855061384,0.33096258
1861,2.751989217,0.347785813
1862,2.727218561,0.354488905
1863,2.713939725,0.378180143
1864,2.687476387,0.407725974
1865,2.64020297,0.432859129
1866,2.658373724,0.446553587
1867,2.670820954,0.478160748
1868,2.641850329,0.491551955
1869,2.626351023,0.521954204
1870,2.853345154,0.533338247
1871,2.954449668,0.566891374
1872,3.003937777,0.62730125
1873,3.071287471,0.666481221
1874,3.129373192,0.624232525
1875,3.152324122,0.677113824
1876,3.182589788,0.686780225
1877,3.24106343,0.700404401
1878,3.30000119,0.70597356
1879,3.330601159,0.755990481
1880,3.373643083,0.853916412
1881,3.339470665,0.883544062
1882,3.40542396,0.933360136
1883,3.475569408,0.992753605
1884,3.483591712,1.004134081
1885,3.477764058,1.011637132
1886,3.525838731,1.027417512
1887,3.583557711,1.07874683
1888,3.592968353,1.194352645
1889,3.585054137,1.194624065
1890,3.84891877,1.300362305
1891,3.955894758,1.36175018
1892,3.998360311,1.37239648
1893,4.075546355,1.355477341
1894,4.111430826,1.403019165
1895,4.151441852,1.487432377
1896,4.193663443,1.53636561
1897,4.207731884,1.609231563
1898,4.239010133,1.697166412
1899,4.298511942,1.853709219
1900,4.377321822,1.952209484
1901,4.417953176,2.016744479
1902,4.486313364,2.067683948
1903,4.496056123,2.25410015
1904,4.583277875,2.279747415
1905,4.597952769,2.427318378
1906,4.623968818,2.534733237
1907,4.666474394,2.88831799
1908,4.705248784,2.776440937
1909,4.745851534,2.890494781
1910,4.64271438,3.034089816
1911,4.608443534,3.079502007
1912,4.549800127,3.235963615
1913,4.538640768,3.506275759
1914,4.536375756,3.180355578
1915,4.490206767,3.134854059
1916,4.442880333,3.3858584
1917,4.428364468,3.540426697
1918,4.45542113,3.493264139
1919,4.41330439,3.02900655
1920,4.608412488,3.521427394
1921,4.7318153,3.090096693
1922,4.794052419,3.240313875
1923,4.787981867,3.676233141
1924,4.806958383,3.687220204
1925,4.874734786,3.727033783
1926,4.858306289,3.661030606
1927,4.866822818,3.996128593
1928,4.87506352,3.978763183
1929,4.889091364,4.270907871
1930,4.963942011,3.938598509
1931,5.035304688,3.519903232
1932,5.091608998,3.173476314
1933,5.112323727,3.341518201
1934,5.161387069,3.634241757
1935,5.164493799,3.814798352
1936,5.190307448,4.185513777
1937,5.176397048,4.474232822
1938,5.203672328,4.206900962
1939,5.206297364,4.45124731
1940,5.341973513,4.861345476
1941,5.514653106,4.970814441
1942,5.550059731,4.959586068
1943,5.5389476,5.041694305
1944,5.539669457,5.117908671
1945,5.505421353,4.257136335
1946,5.489753625,4.646123604
1947,5.44355795,5.14578182
1948,5.368586537,5.424952693
1949,5.316627622,5.181005732
1950,6.0670605,5.929341669
1951,6.162846693,6.381405796
1952,6.304856616,6.467437061
1953,6.417207313,6.650861325
1954,6.572248142,6.789497344
1955,6.79342582,7.44386078
1956,6.992594509,7.92598043
1957,7.172899192,8.185613618
1958,7.381848843,8.417159673
1959,7.77326644,8.854662229
1960,6.831163884,9.386421315
1961,6.549342182,9.414382414
1962,6.074017178,9.746555959
1963,5.877257605,10.26604722
1964,5.735086259,10.82361804
1965,5.205558555,11.30968927
1966,5.034545642,11.86170848
1967,5.170651676,12.23632848
1968,5.232352361,12.90433573
1969,4.911531483,13.7608394
1970,5.114189008,14.89815637
1971,4.81932547,15.50278571
1972,4.822231803,16.22343971
1973,4.695295222,17.0835006
1974,4.564164229,17.00938213
1975,4.612797881,17.04997935
1976,4.590819707,17.985245
1977,4.591225959,18.49465157
1978,4.456444607,19.06395502
1979,4.229629792,19.60300221
1980,4.40651352,19.48244061
1981,4.654912532,19.01694896
1982,4.676649481,18.86537319
1983,5.159671437,18.98590131
1984,5.966945889,19.64172865
1985,5.504301513,20.30513052
1986,5.692824865,20.60751284
1987,5.514573866,21.24578292
1988,5.298704568,22.07738487
1989,5.240851119,22.3789695
1990,5.166889896,22.75270027
1991,4.946542163,23.22947513
1992,5.223105353,22.56719897
1993,5.129051585,22.7983503
1994,5.776423055,23.03477508
1995,5.639487663,23.52449192
1996,5.997314892,24.25016287
1997,7.481006051,24.39595051
1998,6.165136363,24.33094566
1999,6.004004306,24.83349463
2000,5.375671663,25.50128777
2001,5.036164654,25.67493034
2002,5.385184164,26.24828946
2003,5.833540614,27.6486493
2004,5.393810026,28.62019261
2005,4.891902885,29.59210287
2006,5.234697309,30.60576717
2007,4.556036561,31.49973401
2008,4.740791147,32.04190253
2009,5.236145053,31.49326658
2010,5.1775084,33.30632798
2011,5.217989237,34.43647055
2012,5.345191824,34.93545337
2013,4.858779202,35.23246711
2014,5.214294215,35.46619484
2015,5.63027092,35.46321476
2016,4.598987581,35.46002565
2017,4.564992378,36.02545136
2018,4.285130135,36.76694511
2019,4.597516815,37.04010339
2020,4.295183943,35.00773892
2021,4.321586703,36.81654244
2022,4.309947836,37.14978473
