country,region,airQuality,wasteManagement,heavyMetals,sanitationAndDrinkingWater
,Latin America,39.49058813,25.295,52.62,54.407
,Caribbean,65.16357461,27.78461538,43.13076923,52.01230768
,OECD high income non-LAC,63.06176484,56.39333333,85.77878788,89.0369697
Antigua and Barbuda,Caribbean,77.83529418,35.6,48.5,56.90000001
Argentina,Latin America,47.62647064,26.62,72.8,68.33999998
Bahamas,Caribbean,76.40588251,8.68,53.9,63.77999995
Barbados,Caribbean,85.84411773,46.04,65.7,59.83999999
Belize,Latin America,41.26764702,19.56,54.3,50.37999999
Bolivia,Latin America,22.96764687,24.48,43.3,46.50000002
Brazil,Latin America,36.22941173,26.24,57.4,59.40000002
Chile,Latin America,29.22058803,30.98,94.0,80.12000003
Colombia,Latin America,39.64411759,27.0,65.3,59.69999998
Costa Rica,Latin America,49.63823524,31.16,64.4,67.95999995
Cuba,Caribbean,52.52647068,23.46,45.0,58.77999999
Dominica,Caribbean,62.02058787,38.36,44.8,51.31999998
Ecuador,Latin America,37.26764681,32.38,62.3,63.48000001
El Salvador,Latin America,22.88823505,27.38,39.6,50.02000001
Grenada,Caribbean,74.38823528,38.76,36.9,55.22
Guatemala,Latin America,20.13235265,24.3,38.2,31.38
Guyana,Latin America,65.42058803,31.06,20.3,42.23999999
Haiti,Caribbean,24.98529408,21.6,8.4,18.12000001
Honduras,Latin America,18.70294108,25.74,18.7,37.78000002
Jamaica,Caribbean,35.76176474,25.46,42.7,53.82
Mexico,Latin America,29.7382353,26.32,49.1,58.63999999
Nicaragua,Latin America,36.67058808,21.64,47.6,46.98000002
Panama,Latin America,57.46470597,27.54,61.6,49.06000001
Paraguay,Latin America,33.57647063,23.36,52.6,56.66000002
Peru,Latin America,26.57647037,25.86,68.3,55.12000002
Dominican Rep.,Caribbean,46.33823509,18.26,30.5,42.38
St. Kitts and Nevis,Caribbean,76.04999995,43.6,46.5,50.19999997
Saint Vincent and the Grenadines,Caribbean,74.0588233,37.12,28.3,51.72
St. Lucia,Caribbean,73.71764697,12.46,44.3,53.83999999
Suriname,Latin America,68.30588204,13.08,39.7,43.43999997
Trinidad and Tobago,Caribbean,87.19411752,11.8,65.2,60.23999997
Uruguay,Latin America,52.31176469,30.88,64.7,72.47999997
Venezuela,Latin America,54.16176481,10.32,38.2,48.45999999
