country,electrificationRate,latinAmericaAndCaribbean,global,oecd
Panama,28.20804405,19.97784996,21.65368652,23.25537872
Suriname,27.48018837,19.97784996,21.65368652,23.25537872
Chile,25.22264481,19.97784996,21.65368652,23.25537872
Cuba,24.02193832,19.97784996,21.65368652,23.25537872
Mexico,23.86088562,19.97784996,21.65368652,23.25537872
Dominican Rep.,22.58387375,19.97784996,21.65368652,23.25537872
Costa Rica,22.04206657,19.97784996,21.65368652,23.25537872
Barbados,21.71222878,19.97784996,21.65368652,23.25537872
Peru,21.22262383,19.97784996,21.65368652,23.25537872
Uruguay,20.8782196,19.97784996,21.65368652,23.25537872
Paraguay,20.49111557,19.97784996,21.65368652,23.25537872
Argentina,20.03548813,19.97784996,21.65368652,23.25537872
Brazil,19.70845413,19.97784996,21.65368652,23.25537872
Grenada,19.56268311,19.97784996,21.65368652,23.25537872
Colombia,18.73699951,19.97784996,21.65368652,23.25537872
El Salvador,18.68817902,19.97784996,21.65368652,23.25537872
Ecuador,18.57583618,19.97784996,21.65368652,23.25537872
Belize,15.70919895,19.97784996,21.65368652,23.25537872
Honduras,15.22251797,19.97784996,21.65368652,23.25537872
Venezuela,14.15746593,19.97784996,21.65368652,23.25537872
Nicaragua,12.07159901,19.97784996,21.65368652,23.25537872
Jamaica,11.08745193,19.97784996,21.65368652,23.25537872
Trinidad and Tobago,11.02429962,19.97784996,21.65368652,23.25537872
Bolivia,10.88550949,19.97784996,21.65368652,23.25537872
Guyana,10.30421448,19.97784996,21.65368652,23.25537872
Guatemala,6.839918613,19.97784996,21.65368652,23.25537872
Haiti,0.993251503,19.97784996,21.65368652,23.25537872
