country,nonConventionalRenewables,nonFuelRemainder
Paraguay,0,99.47808838
Costa Rica,10.93738079,87.89024353
Colombia,0.518680513,81.82480621
Ecuador,0.31929484,79.37465668
Venezuela,0.019806243,78.16594696
Belize,1.487490416,67.19239044
Brazil,16.25408745,64.23685455
Guatemala,4.438042164,60.07803345
Panama,9.115956306,57.70264435
El Salvador,17.78630447,52.38584518
Peru,4.610180378,49.81162643
Suriname,0.525076509,39.07061386
Uruguay,35.81705856,38.52415466
Honduras,15.26147842,37.84693909
Nicaragua,13.69722462,31.15387154
Bolivia,6.923251629,24.99745178
Chile,28.03171349,24.93242836
Argentina,12.98797989,24.03277397
Haiti,0.410491973,19.09264946
Mexico,11.99902821,14.82926846
Dominican Rep.,8.600000381,6.699999809
Jamaica,9.200839996,3.206352949
Cuba,1.318029881,0.65601325
Trinidad and Tobago,0,0
Guyana,1.402902246,0
Grenada,1.812434793,0
Barbados,10.50387955,0
Latin America and the Caribbean,12.53097057,48.59765625
Global,11.71469688,24.8014679
