year,emissions,temperature
1850,2.668249963,-0.058676471
1851,5.355921978,0.048823529
1852,8.070161178,0.078823529
1853,10.81183067,0.046323529
1854,13.60292918,0.048823529
1855,16.40869287,0.048823529
1856,19.24616655,-0.051176471
1857,22.10759148,-0.146176471
1858,24.99149759,-0.038676471
1859,27.90366912,0.068823529
1860,30.76839525,-0.056176471
1861,33.62024401,-0.091176471
1862,36.46428015,-0.153676471
1863,39.32391839,0.001323529
1864,42.20579427,-0.048676471
1865,45.11235796,0.033823529
1866,48.02170531,0.051323529
1867,50.95657128,0.048823529
1868,53.89964907,0.061323529
1869,56.87275851,0.058823529
1870,60.05987016,0.021323529
1871,63.38119742,-0.006176471
1872,66.8287193,0.023823529
1873,70.37847465,0.016323529
1874,73.93666185,-0.021176471
1875,77.59730958,-0.006176471
1876,81.31061188,-0.043676471
1877,85.07424951,0.271323529
1878,88.87641926,0.331323529
1879,92.75374197,0.083823529
1880,96.74168834,0.031323529
1881,100.8056482,0.116323529
1882,104.9525519,0.063823529
1883,109.1961733,-0.001176471
1884,113.4831681,-0.128676471
1885,117.8074311,-0.133676471
1886,122.1658251,-0.113676471
1887,126.5949323,-0.168676471
1888,131.1604277,-0.011176471
1889,135.7505462,0.111323529
1890,140.5673417,-0.146176471
1891,145.5449234,-0.038676471
1892,150.5953749,-0.121176471
1893,155.6760614,-0.118676471
1894,160.851632,-0.101176471
1895,166.1555207,-0.058676471
1896,171.5454888,0.088823529
1897,177.0498206,0.088823529
1898,182.6688003,-0.113676471
1899,188.46759,0.016323529
1900,194.4799603,0.116323529
1901,200.6486685,0.063823529
1902,206.91645,-0.078676471
1903,213.4251824,-0.168676471
1904,220.0047896,-0.238676471
1905,226.7753191,-0.053676471
1906,233.7051231,0.023823529
1907,240.9933253,-0.133676471
1908,248.2029663,-0.173676471
1909,255.5586649,-0.221176471
1910,263.0296219,-0.191176471
1911,270.5326347,-0.208676471
1912,278.1624058,-0.136176471
1913,286.0492606,-0.113676471
1914,293.5649159,0.078823529
1915,301.0240503,0.136323529
1916,308.7065194,-0.086176471
1917,316.5371461,-0.213676471
1918,324.3066809,-0.061176471
1919,331.624261,-0.006176471
1920,339.5820893,0.033823529
1921,347.2217484,0.073823529
1922,355.0758925,-0.008676471
1923,363.4038175,0.016323529
1924,371.7826356,0.018823529
1925,380.2174508,0.056323529
1926,388.6031291,0.186323529
1927,397.3416552,0.081323529
1928,406.0718018,0.091323529
1929,415.0895174,-0.071176471
1930,423.9747643,0.136323529
1931,432.591975,0.198823529
1932,440.9326079,0.153823529
1933,449.5274301,-0.011176471
1934,458.4843638,0.136323529
1935,467.6670354,0.088823529
1936,477.2888624,0.136323529
1937,487.238336,0.283823529
1938,496.9657525,0.286323529
1939,506.9507843,0.271323529
1940,517.4404993,0.371323529
1941,528.0953604,0.356323529
1942,538.7220799,0.321323529
1943,549.4083078,0.348823529
1944,560.1562868,0.471323529
1945,570.0043296,0.348823529
1946,580.2095864,0.196323529
1947,590.8981311,0.241323529
1948,601.7961973,0.181323529
1949,612.4660056,0.173823529
1950,624.1041861,0.096323529
1951,636.3883518,0.251323529
1952,648.8424924,0.323823529
1953,661.5650352,0.388823529
1954,674.5220056,0.196323529
1955,688.2071678,0.138823529
1956,702.4681098,0.076323529
1957,717.0607292,0.296323529
1958,731.9669153,0.306323529
1959,747.4260637,0.286323529
1960,762.8421262,0.231323529
1961,778.035401,0.308823529
1962,793.4239138,0.261323529
1963,809.198324,0.296323529
1964,825.3436219,0.046323529
1965,841.8249543,0.153823529
1966,858.7190919,0.206323529
1967,875.922912,0.238823529
1968,893.7659877,0.171323529
1969,912.4879423,0.313823529
1970,932.2932457,0.273823529
1971,952.6133863,0.153823529
1972,973.5433606,0.261323529
1973,995.2995977,0.403823529
1974,1016.875301,0.183823529
1975,1038.368758,0.241323529
1976,1060.693445,0.148823529
1977,1083.452469,0.453823529
1978,1106.780363,0.348823529
1979,1130.504821,0.436323529
1980,1154.259095,0.541323529
1981,1177.541637,0.586323529
1982,1200.689708,0.396323529
1983,1224.126741,0.571323529
1984,1248.237628,0.408823529
1985,1273.099156,0.401323529
1986,1298.333317,0.441323529
1987,1324.307841,0.578823529
1988,1351.192878,0.633823529
1989,1378.483965,0.523823529
1990,1406.161672,0.698823529
1991,1434.269793,0.676323529
1992,1461.660148,0.473823529
1993,1489.294418,0.521323529
1994,1517.066661,0.576323529
1995,1545.291002,0.726323529
1996,1574.171371,0.613823529
1997,1604.913935,0.758823529
1998,1633.593647,0.901323529
1999,1662.532673,0.666323529
2000,1692.702581,0.668823529
2001,1722.920747,0.811323529
2002,1754.331813,0.881323529
2003,1787.172191,0.878823529
2004,1821.187325,0.803823529
2005,1855.791931,0.943823529
2006,1891.646507,0.903823529
2007,1927.746731,0.921323529
2008,1964.666392,0.796323529
2009,2001.994297,0.926323529
2010,2040.465059,0.996323529
2011,2079.737316,0.881323529
2012,2119.941147,0.906323529
2013,2160.546995,0.936323529
2014,2201.833044,1.006323529
2015,2243.290895,1.148823529
2016,2284.211198,1.263823529
2017,2325.47923,1.178823529
2018,2367.591916,1.101323529
2019,2410.637538,1.226323529
