country,region,airQuality,wasteManagement,heavyMetals,sanitationAndDrinkingWater
,América Latina,39.49058813,25.295,52.62,54.407
,Caribe,65.16357461,27.78461538,43.13076923,52.01230768
,OCDE ingresos altos no ALyC,63.06176484,56.39333333,85.77878788,89.0369697
Antigua y Barbuda,Caribe,77.83529418,35.6,48.5,56.90000001
Argentina,América Latina,47.62647064,26.62,72.8,68.33999998
Bahamas,Caribe,76.40588251,8.68,53.9,63.77999995
Barbados,Caribe,85.84411773,46.04,65.7,59.83999999
Belice,América Latina,41.26764702,19.56,54.3,50.37999999
Bolivia,América Latina,22.96764687,24.48,43.3,46.50000002
Brasil,América Latina,36.22941173,26.24,57.4,59.40000002
Chile,América Latina,29.22058803,30.98,94.0,80.12000003
Colombia,América Latina,39.64411759,27.0,65.3,59.69999998
Costa Rica,América Latina,49.63823524,31.16,64.4,67.95999995
Cuba,Caribe,52.52647068,23.46,45.0,58.77999999
Dominica,Caribe,62.02058787,38.36,44.8,51.31999998
Ecuador,América Latina,37.26764681,32.38,62.3,63.48000001
El Salvador,América Latina,22.88823505,27.38,39.6,50.02000001
Granada,Caribe,74.38823528,38.76,36.9,55.22
Guatemala,América Latina,20.13235265,24.3,38.2,31.38
Guyana,América Latina,65.42058803,31.06,20.3,42.23999999
Haití,Caribe,24.98529408,21.6,8.4,18.12000001
Honduras,América Latina,18.70294108,25.74,18.7,37.78000002
Jamaica,Caribe,35.76176474,25.46,42.7,53.82
México,América Latina,29.7382353,26.32,49.1,58.63999999
Nicaragua,América Latina,36.67058808,21.64,47.6,46.98000002
Panamá,América Latina,57.46470597,27.54,61.6,49.06000001
Paraguay,América Latina,33.57647063,23.36,52.6,56.66000002
Perú,América Latina,26.57647037,25.86,68.3,55.12000002
Rep. Dominicana,Caribe,46.33823509,18.26,30.5,42.38
San Cristóbal y Nieves,Caribe,76.04999995,43.6,46.5,50.19999997
San Vicente y las Granadinas,Caribe,74.0588233,37.12,28.3,51.72
Santa Lucía,Caribe,73.71764697,12.46,44.3,53.83999999
Surinam,América Latina,68.30588204,13.08,39.7,43.43999997
Trinidad y Tobago,Caribe,87.19411752,11.8,65.2,60.23999997
Uruguay,América Latina,52.31176469,30.88,64.7,72.47999997
Venezuela,América Latina,54.16176481,10.32,38.2,48.45999999
