country,indirect,fugitive,averageLAC
México,32.16537153,29.49741867,29.48071667
Argentina,24.94422029,25.529447,29.48071667
Cuba,40.77641998,8.007628023,29.48071667
Venezuela,9.911384676,29.50874579,29.48071667
Colombia,24.33408887,14.00068927,29.48071667
Guyana,0,27.49939878,29.48071667
Ecuador,10.39866376,10.80388912,29.48071667
Bolivia,8.730032901,9.010482168,29.48071667
Brasil,6.988290443,8.681958741,29.48071667
Trinidad y Tobago,3.0519344,8.591736671,29.48071667
Perú,5.45565138,6.115956189,29.48071667
Uruguay,7.266965964,0,29.48071667
