region,year,settlements,crops,grazing,seminatural,natural
América do Sul,1850,0.03261218531,0.7591704111,3.333665956,88.18881598,7.685735472
América do Sul,1860,0.04821728895,0.7798834122,3.861531108,87.66240953,7.647958664
América do Sul,1870,0.06096951168,0.7937611439,4.724706723,86.82739246,7.593170159
América do Sul,1880,0.07897029486,0.9339137071,5.528530198,85.98991375,7.468672052
América do Sul,1890,0.1204089524,1.111105636,7.508920139,83.82170284,7.43786243
América do Sul,1900,0.1567351964,1.249487937,10.80838528,80.44131249,7.344079099
América do Sul,1910,0.231182212,1.782322092,14.93795591,75.85710203,7.191437757
América do Sul,1920,0.33165533,2.91189279,19.29993887,70.35663692,7.099876087
América do Sul,1930,0.4904709068,4.626571656,23.38763489,64.47630697,7.019015581
América do Sul,1940,0.5670656186,5.770547334,27.35347183,59.34640028,6.962514941
América do Sul,1950,0.748573756,5.482205679,30.73920567,56.15581778,6.874197112
América do Sul,1960,1.052579578,6.727608887,33.06924771,52.40049326,6.750070563
América do Sul,1970,1.410713431,7.579135147,34.76408877,49.53855226,6.707510388
América do Sul,1980,1.786327702,9.639287133,36.00212912,45.91051565,6.661740394
América do Sul,1990,2.208665373,10.29783746,36.53475585,44.32965297,6.629088356
América do Sul,2000,2.538881331,11.70827104,37.32553873,41.85690874,6.570400169
América do Sul,2010,2.792794028,13.67494258,35.53081821,41.42265099,6.578794188
América do Sul,2017,2.966180582,15.72063577,33.8239942,40.92333846,6.565850993
América Central,1850,0.2025114673,1.25544455,10.75064674,87.25771197,0.533685273
América Central,1860,0.2382841509,1.486454194,11.21752484,86.52405155,0.533685273
América Central,1870,0.2701343355,1.727212701,11.6375544,85.83538797,0.5297105967
América Central,1880,0.3320320586,2.169792489,11.92744115,85.0410237,0.5297105967
América Central,1890,0.4668825425,3.494841364,15.5518589,79.95670655,0.5297106524
América Central,1900,0.6564716154,5.292892103,31.42319203,62.46435967,0.1630845856
América Central,1910,0.8200337035,6.813142444,34.33928737,57.87716333,0.1503731517
América Central,1920,0.9105933269,7.141061413,34.15757833,57.64438854,0.1463783925
América Central,1930,1.126822369,10.31297133,36.95788483,51.46870325,0.1336182237
América Central,1940,1.494915684,11.50399125,39.61817996,47.260662,0.1222510962
América Central,1950,2.270220135,14.26948774,44.81419831,38.53827654,0.1078172711
América Central,1960,3.138745483,17.30413023,47.52108813,31.9549523,0.08108385291
América Central,1970,4.582147806,15.26279185,48.38410757,31.68986892,0.08108385291
América Central,1980,6.083656153,15.37425995,47.71359269,30.74846038,0.08003082789
América Central,1990,7.680065694,18.93429864,44.77260419,28.53698516,0.0760463255
América Central,2000,9.329530329,19.95874941,43.28848634,27.35573146,0.06750245383
América Central,2010,10.59264346,19.7522723,42.70452409,26.87908299,0.07147715957
América Central,2017,11.41181006,18.56041128,43.29621724,26.66266289,0.06889852434
Caribe,1850,1.206351671,4.66279276,0.8453738393,92.97381023,0.3116715023
Caribe,1860,1.491039761,5.666007249,0.8794188973,91.65321543,0.3103186654
Caribe,1870,2.000056707,6.650582838,1.315534362,89.72357292,0.3102531693
Caribe,1880,2.857816095,7.656282364,1.125512863,88.05013551,0.3102531693
Caribe,1890,3.783433022,9.113909538,0.7812037158,86.01120055,0.3102531693
Caribe,1900,4.939819882,10.02331569,0.3968204071,84.32979086,0.3102531693
Caribe,1910,6.497168409,11.2239573,0.7850106243,81.18776629,0.3060973727
Caribe,1920,8.482132645,12.10050521,2.583016882,76.52824789,0.3060973727
Caribe,1930,10.56710341,13.61829935,9.571678582,65.93682128,0.3060973727
Caribe,1940,13.69422913,13.4729127,12.92319221,59.60390683,0.305759135
Caribe,1950,17.95988441,22.87142424,18.68207999,40.18123988,0.3053714789
Caribe,1960,22.57117041,33.37311231,18.6068607,25.14421902,0.304637561
Caribe,1970,27.48522525,42.71253676,10.1780566,19.31954383,0.304637561
Caribe,1980,31.94857345,42.58812137,7.325561572,17.83313957,0.30460404
Caribe,1990,35.45316911,40.49306065,6.52807527,17.22109093,0.30460404
Caribe,2000,37.31055355,39.64060031,5.30726588,17.43697623,0.30460404
Caribe,2010,38.28209566,38.01413122,6.260931496,17.13823758,0.30460404
Caribe,2017,38.25037227,36.95610331,7.977016699,16.54885002,0.2676577051
Europa (menos a Rússia),1850,8.065891865,42.50073077,9.832128652,36.40267266,3.198576057
Europa (menos a Rússia),1860,8.753697959,44.17878935,9.628877761,34.24390656,3.194728376
Europa (menos a Rússia),1870,9.632369766,45.42849689,9.59233802,32.15346384,3.193331478
Europa (menos a Rússia),1880,10.8793132,46.35915804,9.398561555,30.16973427,3.193232933
Europa (menos a Rússia),1890,11.99710255,46.75770478,9.242187234,28.80997887,3.193026568
Europa (menos a Rússia),1900,13.34477938,46.83085505,8.923156278,27.70820914,3.193000157
Europa (menos a Rússia),1910,14.87773728,46.48668483,8.702872445,26.74639565,3.186309793
Europa (menos a Rússia),1920,14.81827012,47.03392009,8.671409142,26.30061532,3.175785329
Europa (menos a Rússia),1930,15.88551595,46.66680956,8.843716462,25.44001516,3.163942866
Europa (menos a Rússia),1940,16.49206709,46.68027007,8.608743606,25.07260748,3.146311757
Europa (menos a Rússia),1950,17.19698087,46.20485949,8.455031757,25.00021298,3.142914894
Europa (menos a Rússia),1960,18.63474365,45.33133089,8.063665401,24.86180624,3.108453811
Europa (menos a Rússia),1970,19.95083369,43.72348558,7.984349819,25.23440975,3.106921162
Europa (menos a Rússia),1980,20.64716885,42.80113868,7.707353754,25.73909164,3.105247072
Europa (menos a Rússia),1990,20.78231644,42.54238289,7.518863924,26.05104328,3.105393471
Europa (menos a Rússia),2000,20.51705092,41.92658895,7.046796602,27.36760347,3.141960058
Europa (menos a Rússia),2010,20.30580077,41.15689713,7.085321359,28.30984894,3.142131794
Europa (menos a Rússia),2017,20.3192497,41.40950085,6.553549732,28.60615567,3.111544045
