year,latinAmericaCaribbean,northAmerica,asiaPacific,europeCentralAsia,global,africa
1970,1,1,1,1,1,1
1971,1.010071635,0.997004926,1.037109613,1.012722611,0.991002738,0.954619706
1972,0.995231092,0.981814325,1.048386693,1.032878637,0.97929883,0.946834147
1973,0.952122271,0.960215986,1.041134,1.056278348,0.967828393,0.991811752
1974,0.895563483,0.920816004,1.049811482,1.075769544,0.953454316,0.993849337
1975,0.833978295,0.899868131,1.059803605,1.086851835,0.935558021,0.966180801
1976,0.780728042,0.892258525,1.060154557,1.094471812,0.914892197,0.924301982
1977,0.730437815,0.898321033,1.041612744,1.109426975,0.885352433,0.872671187
1978,0.695593476,0.907552719,1.025618553,1.128089547,0.856840491,0.807315409
1979,0.674653351,0.911322236,1.014466405,1.138832211,0.833474815,0.769254327
1980,0.650498867,0.908661425,1.006715178,1.138179779,0.815080941,0.769081891
1981,0.625138044,0.900886953,0.990261555,1.130956054,0.798368752,0.795767426
1982,0.58292377,0.896391451,0.96717304,1.134491205,0.772813857,0.764077783
1983,0.533732355,0.89530623,0.937090278,1.120039105,0.745181859,0.731503248
1984,0.496977597,0.888905406,0.922515929,1.120508552,0.718320251,0.684761226
1985,0.469418317,0.887670994,0.924585342,1.119430184,0.697531164,0.637356937
1986,0.443168283,0.88246417,0.942524135,1.139536738,0.681256652,0.597940087
1987,0.406477779,0.874895751,0.947575867,1.167714238,0.663224876,0.573022664
1988,0.377652615,0.865777731,0.94403851,1.214125276,0.645466983,0.560417175
1989,0.359970152,0.852738261,0.930612445,1.269585967,0.635743439,0.551636934
1990,0.349957585,0.852314472,0.900934875,1.305446863,0.626811206,0.535341203
1991,0.337526113,0.843305647,0.865267336,1.307410717,0.616091371,0.524957597
1992,0.323694855,0.845488727,0.828573346,1.287479043,0.601198494,0.525530636
1993,0.30579263,0.845954716,0.787922084,1.252536178,0.581092954,0.52879715
1994,0.286838621,0.851541758,0.756363928,1.217116237,0.562008977,0.537990272
1995,0.266828328,0.829824984,0.723442197,1.185171247,0.540360987,0.532089829
1996,0.254086286,0.804505289,0.708067775,1.148186803,0.530421376,0.533140004
1997,0.24046503,0.779770315,0.689327955,1.119247675,0.517500758,0.523589492
1998,0.22588177,0.760023177,0.666941404,1.090750456,0.50466454,0.514812827
1999,0.208280995,0.740255475,0.645040751,1.073508501,0.486643791,0.507354975
2000,0.197551712,0.721602261,0.62266022,1.064591646,0.472215384,0.498478204
2001,0.185563818,0.707939446,0.612744987,1.050613165,0.456713706,0.477969408
2002,0.174334988,0.711318493,0.615051925,1.047533631,0.444983929,0.454182953
2003,0.162074894,0.718898773,0.622018754,1.041609645,0.435156554,0.434670746
2004,0.154989913,0.736451328,0.630619526,1.048771024,0.429278314,0.430759013
2005,0.153081402,0.736880243,0.628762245,1.054472685,0.422031522,0.423475087
2006,0.150125802,0.736199439,0.62679863,1.058301568,0.412951529,0.417608917
2007,0.145484611,0.735673964,0.599801183,1.055778265,0.401428044,0.417640328
2008,0.13593334,0.735583425,0.558495939,1.0443362,0.387193918,0.421065122
2009,0.119460844,0.733446658,0.500529051,1.044281602,0.368771255,0.422097743
2010,0.103764877,0.726909697,0.46797657,1.055393219,0.351531506,0.411133915
2011,0.088097505,0.723160148,0.44423908,1.03018105,0.334410399,0.393256366
2012,0.081147529,0.709925771,0.439966291,0.986053109,0.323710889,0.36957404
2013,0.077500343,0.702641726,0.446490586,0.922752798,0.317382634,0.345145404
2014,0.077751584,0.707846344,0.459181368,0.906011164,0.316690207,0.324928701
2015,0.07849206,0.729642689,0.468838751,0.884297431,0.316275328,0.31293574
2016,0.074066423,0.754335225,0.447551459,0.86114502,0.311454087,0.320542216
2017,0.068550363,0.775017619,0.443357646,0.834874868,0.308852702,0.344458759
2018,0.064136319,0.796477795,0.446796507,0.822915316,0.308975667,0.34
