country,year,region,cleanEnergy
Antigua and Barbuda,2000,Caribbean,0
Antigua and Barbuda,2005,Caribbean,0
Antigua and Barbuda,2010,Caribbean,0.000007629394531
Antigua and Barbuda,2015,Caribbean,2.857139587
Antigua and Barbuda,2022,Caribbean,5.555557251
Argentina,2000,Latin America,39.09867859
Argentina,2005,Latin America,38.92198563
Argentina,2010,Latin America,32.22222137
Argentina,2015,Latin America,27.49277687
Argentina,2022,Latin America,32.12889099
Australia,2000,OECD,7.678826809
Australia,2005,OECD,7.302592754
Australia,2010,OECD,7.857514858
Australia,2015,OECD,12.64617157
Australia,2022,OECD,32.02705002
Austria,2000,OECD,70.27162933
Austria,2005,OECD,59.73279572
Austria,2010,OECD,59.73164368
Austria,2015,OECD,69.50469208
Austria,2022,OECD,70.75485992
Bahamas,2000,Caribbean,0
Bahamas,2005,Caribbean,0
Bahamas,2010,Caribbean,0
Bahamas,2015,Caribbean,0
Bahamas,2022,Caribbean,0
Barbados,2000,Caribbean,0
Barbados,2005,Caribbean,0
Barbados,2010,Caribbean,0
Barbados,2015,Caribbean,0.9615325928
Barbados,2022,Caribbean,7.339447021
Belgium,2000,OECD,58.75106049
Belgium,2005,OECD,57.02772903
Belgium,2010,OECD,53.86517715
Belgium,2015,OECD,51.22022629
Belgium,2022,OECD,67.12343597
Belize,2000,Latin America,69.2307663
Belize,2005,Latin America,43.75
Belize,2010,Latin America,61.90476227
Belize,2015,Latin America,66.66666412
Belize,2022,Latin America,29.03225327
Bolivia,2000,Latin America,50.25773239
Bolivia,2005,Latin America,39.67280197
Bolivia,2010,Latin America,32.48120499
Bolivia,2015,Latin America,27.22222137
Bolivia,2022,Latin America,31.62467384
Brazil,2000,Latin America,88.97200012
Brazil,2005,Latin America,86.18850708
Brazil,2010,Latin America,81.42497253
Brazil,2015,Latin America,68.16007233
Brazil,2022,Latin America,81.72689056
Canada,2000,OECD,71.10231018
Canada,2005,OECD,73.31990814
Canada,2010,OECD,74.19731903
Canada,2015,OECD,77.62297821
Canada,2022,OECD,80.13643646
Chile,2000,Latin America,47.50642776
Chile,2005,Latin America,50.21730423
Chile,2010,Latin America,36.98935699
Chile,2015,Latin America,38.16027832
Chile,2022,Latin America,52.95602036
Colombia,2000,Latin America,74.18827057
Colombia,2005,Latin America,79.01482391
Colombia,2010,Latin America,66.49510193
Colombia,2015,Latin America,61.58778763
Colombia,2022,Latin America,69.38152313
Costa Rica,2000,Latin America,98.83382416
Costa Rica,2005,Latin America,95.84859467
Costa Rica,2010,Latin America,91.79810333
Costa Rica,2015,Latin America,97.3073349
Costa Rica,2022,Latin America,98.47634125
Cuba,2000,Caribbean,0.5988001823
Cuba,2005,Caribbean,0.456028223
Cuba,2010,Caribbean,0.6321854591
Cuba,2015,Caribbean,0.9808695316
Cuba,2022,Caribbean,2.247806787
Czech Republic,2000,OECD,21.05624008
Czech Republic,2005,OECD,33.11363602
Czech Republic,2010,OECD,37.2565155
Czech Republic,2015,OECD,38.13795471
Czech Republic,2022,OECD,43.45593643
Denmark,2000,OECD,11.91073608
Denmark,2005,OECD,18.37583542
Denmark,2010,OECD,20.23226166
